ward,precinct,total,Paul J. Montes II,Paul J. Montes II Percent,Dennis Deer,Dennis Deer Percent,Lupe Aguirre,Lupe Aguirre Percent,Darryl D. Smith,Darryl D. Smith Percent,Eddie Johnson III,Eddie Johnson III Percent,precinct_id
1,3,200,29,14.5,86,43.0,54,27.0,9,4.5,22,11.0,01003
1,4,198,27,13.64,67,33.84,81,40.91,9,4.55,14,7.07,01004
1,5,5,1,20.0,3,60.0,1,20.0,0,0.0,0,0.0,01005
1,6,164,25,15.24,56,34.15,61,37.2,10,6.1,12,7.32,01006
1,10,155,21,13.55,66,42.58,54,34.84,7,4.52,7,4.52,01010
1,12,159,19,11.95,69,43.4,52,32.7,7,4.4,12,7.55,01012
1,14,44,4,9.09,18,40.91,14,31.82,3,6.82,5,11.36,01014
1,15,34,5,14.71,16,47.06,11,32.35,0,0.0,2,5.88,01015
1,33,196,31,15.82,62,31.63,77,39.29,14,7.14,12,6.12,01033
1,35,202,34,16.83,64,31.68,85,42.08,9,4.46,10,4.95,01035
1,36,158,18,11.39,67,42.41,55,34.81,5,3.16,13,8.23,01036
1,37,193,23,11.92,76,39.38,80,41.45,7,3.63,7,3.63,01037
1,39,155,27,17.42,49,31.61,67,43.23,5,3.23,7,4.52,01039
1,40,216,28,12.96,49,22.69,88,40.74,14,6.48,37,17.13,01040
2,1,61,4,6.56,25,40.98,25,40.98,6,9.84,1,1.64,02001
2,3,209,19,9.09,99,47.37,70,33.49,10,4.78,11,5.26,02003
2,4,138,16,11.59,59,42.75,48,34.78,3,2.17,12,8.7,02004
2,5,198,34,17.17,70,35.35,78,39.39,7,3.54,9,4.55,02005
2,14,201,27,13.43,81,40.3,65,32.34,7,3.48,21,10.45,02014
2,16,9,0,0.0,3,33.33,5,55.56,0,0.0,1,11.11,02016
2,17,234,22,9.4,116,49.57,77,32.91,8,3.42,11,4.7,02017
2,21,197,32,16.24,86,43.65,61,30.96,10,5.08,8,4.06,02021
3,1,53,9,16.98,12,22.64,3,5.66,11,20.75,18,33.96,03001
3,3,209,41,19.62,53,25.36,25,11.96,37,17.7,53,25.36,03003
3,5,134,15,11.19,38,28.36,12,8.96,35,26.12,34,25.37,03005
3,6,224,49,21.88,73,32.59,61,27.23,17,7.59,24,10.71,03006
3,8,177,17,9.6,29,16.38,18,10.17,46,25.99,67,37.85,03008
3,10,108,14,12.96,23,21.3,8,7.41,33,30.56,30,27.78,03010
3,13,275,46,16.73,115,41.82,63,22.91,24,8.73,27,9.82,03013
3,14,206,28,13.59,61,29.61,48,23.3,25,12.14,44,21.36,03014
3,16,209,16,7.66,52,24.88,10,4.78,61,29.19,70,33.49,03016
3,17,228,40,17.54,56,24.56,47,20.61,38,16.67,47,20.61,03017
3,18,173,18,10.4,33,19.08,34,19.65,37,21.39,51,29.48,03018
3,21,155,15,9.68,42,27.1,30,19.35,24,15.48,44,28.39,03021
3,22,221,35,15.84,86,38.91,60,27.15,15,6.79,25,11.31,03022
3,24,66,11,16.67,11,16.67,4,6.06,14,21.21,26,39.39,03024
3,25,316,47,14.87,121,38.29,84,26.58,26,8.23,38,12.03,03025
3,26,299,80,26.76,113,37.79,42,14.05,31,10.37,33,11.04,03026
3,27,106,12,11.32,34,32.08,33,31.13,9,8.49,18,16.98,03027
3,28,179,20,11.17,34,18.99,16,8.94,53,29.61,56,31.28,03028
3,29,85,9,10.59,17,20.0,5,5.88,24,28.24,30,35.29,03029
3,32,218,33,15.14,80,36.7,41,18.81,28,12.84,36,16.51,03032
3,33,204,36,17.65,73,35.78,55,26.96,14,6.86,26,12.75,03033
3,34,254,41,16.14,88,34.65,48,18.9,28,11.02,49,19.29,03034
3,36,128,12,9.38,33,25.78,8,6.25,35,27.34,40,31.25,03036
3,37,61,3,4.92,13,21.31,7,11.48,18,29.51,20,32.79,03037
3,39,257,34,13.23,110,42.8,69,26.85,15,5.84,29,11.28,03039
3,40,261,26,9.96,71,27.2,34,13.03,50,19.16,80,30.65,03040
4,13,61,6,9.84,23,37.7,25,40.98,3,4.92,4,6.56,04013
6,4,137,18,13.14,28,20.44,9,6.57,34,24.82,48,35.04,06004
6,5,114,9,7.89,30,26.32,7,6.14,41,35.96,27,23.68,06005
6,7,7,2,28.57,2,28.57,0,0.0,3,42.86,0,0.0,06007
6,9,163,19,11.66,38,23.31,10,6.13,46,28.22,50,30.67,06009
6,10,24,2,8.33,7,29.17,0,0.0,9,37.5,6,25.0,06010
6,11,170,17,10.0,48,28.24,8,4.71,45,26.47,52,30.59,06011
6,12,85,9,10.59,6,7.06,1,1.18,27,31.76,42,49.41,06012
6,15,134,9,6.72,18,13.43,10,7.46,35,26.12,62,46.27,06015
6,18,123,12,9.76,23,18.7,15,12.2,33,26.83,40,32.52,06018
6,21,100,10,10.0,24,24.0,3,3.0,36,36.0,27,27.0,06021
6,22,114,9,7.89,20,17.54,7,6.14,38,33.33,40,35.09,06022
6,23,83,3,3.61,24,28.92,4,4.82,33,39.76,19,22.89,06023
6,24,113,11,9.73,16,14.16,7,6.19,52,46.02,27,23.89,06024
6,25,106,8,7.55,19,17.92,7,6.6,33,31.13,39,36.79,06025
6,26,130,9,6.92,27,20.77,6,4.62,42,32.31,46,35.38,06026
6,27,94,10,10.64,24,25.53,3,3.19,31,32.98,26,27.66,06027
6,28,94,5,5.32,20,21.28,5,5.32,33,35.11,31,32.98,06028
6,48,68,7,10.29,6,8.82,4,5.88,28,41.18,23,33.82,06048
11,2,13,2,15.38,1,7.69,2,15.38,3,23.08,5,38.46,11002
11,6,214,29,13.55,57,26.64,85,39.72,9,4.21,34,15.89,11006
11,7,82,10,12.2,28,34.15,17,20.73,9,10.98,18,21.95,11007
15,2,112,5,4.46,34,30.36,8,7.14,42,37.5,23,20.54,15002
15,3,93,7,7.53,17,18.28,8,8.6,33,35.48,28,30.11,15003
15,7,108,7,6.48,33,30.56,2,1.85,35,32.41,31,28.7,15007
15,17,148,10,6.76,43,29.05,6,4.05,41,27.7,48,32.43,15017
15,18,89,10,11.24,28,31.46,2,2.25,24,26.97,25,28.09,15018
15,20,112,6,5.36,34,30.36,11,9.82,28,25.0,33,29.46,15020
15,21,120,6,5.0,34,28.33,5,4.17,44,36.67,31,25.83,15021
15,22,106,8,7.55,25,23.58,3,2.83,42,39.62,28,26.42,15022
15,23,124,13,10.48,37,29.84,5,4.03,43,34.68,26,20.97,15023
15,24,105,4,3.81,24,22.86,6,5.71,43,40.95,28,26.67,15024
16,3,112,12,10.71,29,25.89,5,4.46,46,41.07,20,17.86,16003
16,4,121,8,6.61,25,20.66,10,8.26,41,33.88,37,30.58,16004
16,5,107,8,7.48,40,37.38,5,4.67,35,32.71,19,17.76,16005
16,6,144,13,9.03,44,30.56,6,4.17,51,35.42,30,20.83,16006
16,9,160,13,8.13,37,23.13,4,2.5,47,29.38,59,36.88,16009
16,10,83,7,8.43,22,26.51,7,8.43,28,33.73,19,22.89,16010
16,14,112,4,3.57,28,25.0,2,1.79,48,42.86,30,26.79,16014
16,15,162,10,6.17,45,27.78,8,4.94,48,29.63,51,31.48,16015
16,16,138,15,10.87,45,32.61,2,1.45,37,26.81,39,28.26,16016
16,20,117,7,5.98,37,31.62,7,5.98,42,35.9,24,20.51,16020
16,21,47,4,8.51,17,36.17,4,8.51,14,29.79,8,17.02,16021
16,22,100,10,10.0,15,15.0,8,8.0,44,44.0,23,23.0,16022
16,24,78,10,12.82,28,35.9,5,6.41,23,29.49,12,15.38,16024
16,25,169,15,8.88,38,22.49,9,5.33,64,37.87,43,25.44,16025
16,26,134,9,6.72,36,26.87,10,7.46,50,37.31,29,21.64,16026
16,27,126,5,3.97,15,11.9,5,3.97,83,65.87,18,14.29,16027
16,28,148,3,2.03,21,14.19,5,3.38,70,47.3,49,33.11,16028
16,29,121,10,8.26,19,15.7,11,9.09,40,33.06,41,33.88,16029
16,30,111,8,7.21,17,15.32,4,3.6,41,36.94,41,36.94,16030
16,31,172,7,4.07,56,32.56,8,4.65,61,35.47,40,23.26,16031
16,33,119,11,9.24,24,20.17,6,5.04,40,33.61,38,31.93,16033
16,34,111,10,9.01,30,27.03,7,6.31,33,29.73,31,27.93,16034
16,36,111,1,0.9,27,24.32,3,2.7,55,49.55,25,22.52,16036
17,3,164,16,9.76,36,21.95,8,4.88,49,29.88,55,33.54,17003
17,5,141,9,6.38,36,25.53,5,3.55,45,31.91,46,32.62,17005
17,6,138,17,12.32,32,23.19,19,13.77,40,28.99,30,21.74,17006
17,8,127,12,9.45,36,28.35,12,9.45,33,25.98,34,26.77,17008
17,11,117,12,10.26,52,44.44,5,4.27,18,15.38,30,25.64,17011
17,13,156,15,9.62,40,25.64,9,5.77,50,32.05,42,26.92,17013
17,16,14,1,7.14,3,21.43,3,21.43,1,7.14,6,42.86,17016
17,17,151,15,9.93,37,24.5,18,11.92,45,29.8,36,23.84,17017
17,19,98,10,10.2,16,16.33,4,4.08,40,40.82,28,28.57,17019
17,23,124,16,12.9,46,37.1,5,4.03,25,20.16,32,25.81,17023
17,25,120,8,6.67,30,25.0,12,10.0,36,30.0,34,28.33,17025
17,28,126,14,11.11,31,24.6,5,3.97,39,30.95,37,29.37,17028
17,31,98,5,5.1,33,33.67,3,3.06,25,25.51,32,32.65,17031
17,32,126,8,6.35,26,20.63,10,7.94,38,30.16,44,34.92,17032
17,33,101,8,7.92,23,22.77,7,6.93,20,19.8,43,42.57,17033
17,34,130,10,7.69,53,40.77,6,4.62,25,19.23,36,27.69,17034
17,35,122,11,9.02,37,30.33,4,3.28,32,26.23,38,31.15,17035
17,36,176,8,4.55,70,39.77,5,2.84,55,31.25,38,21.59,17036
17,37,149,8,5.37,41,27.52,5,3.36,48,32.21,47,31.54,17037
17,40,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17040
18,5,120,9,7.5,36,30.0,5,4.17,33,27.5,37,30.83,18005
18,27,148,18,12.16,33,22.3,12,8.11,38,25.68,47,31.76,18027
18,33,120,12,10.0,28,23.33,6,5.0,34,28.33,40,33.33,18033
18,39,139,9,6.47,30,21.58,23,16.55,32,23.02,45,32.37,18039
18,47,141,8,5.67,37,26.24,12,8.51,32,22.7,52,36.88,18047
18,48,151,24,15.89,36,23.84,13,8.61,42,27.81,36,23.84,18048
18,49,113,8,7.08,35,30.97,8,7.08,29,25.66,33,29.2,18049
18,50,129,17,13.18,24,18.6,15,11.63,35,27.13,38,29.46,18050
20,2,66,6,9.09,19,28.79,2,3.03,21,31.82,18,27.27,20002
20,4,12,1,8.33,4,33.33,0,0.0,4,33.33,3,25.0,20004
20,6,75,7,9.33,24,32.0,3,4.0,19,25.33,22,29.33,20006
20,7,163,8,4.91,24,14.72,17,10.43,56,34.36,58,35.58,20007
20,11,210,20,9.52,42,20.0,14,6.67,62,29.52,72,34.29,20011
20,12,115,13,11.3,21,18.26,9,7.83,28,24.35,44,38.26,20012
20,13,209,21,10.05,37,17.7,9,4.31,76,36.36,66,31.58,20013
20,21,24,3,12.5,6,25.0,1,4.17,8,33.33,6,25.0,20021
20,23,181,20,11.05,37,20.44,8,4.42,51,28.18,65,35.91,20023
20,25,115,8,6.96,19,16.52,9,7.83,44,38.26,35,30.43,20025
20,27,96,7,7.29,18,18.75,3,3.13,34,35.42,34,35.42,20027
20,28,121,15,12.4,18,14.88,9,7.44,31,25.62,48,39.67,20028
20,29,259,17,6.56,70,27.03,8,3.09,81,31.27,83,32.05,20029
20,30,85,9,10.59,16,18.82,3,3.53,20,23.53,37,43.53,20030
20,31,195,15,7.69,61,31.28,20,10.26,51,26.15,48,24.62,20031
20,32,150,10,6.67,29,19.33,13,8.67,48,32.0,50,33.33,20032
20,35,56,7,12.5,9,16.07,5,8.93,18,32.14,17,30.36,20035
20,36,56,9,16.07,9,16.07,0,0.0,17,30.36,21,37.5,20036
20,37,67,5,7.46,12,17.91,4,5.97,11,16.42,35,52.24,20037
20,38,64,3,4.69,8,12.5,3,4.69,34,53.13,16,25.0,20038
20,39,19,0,0.0,6,31.58,0,0.0,5,26.32,8,42.11,20039
22,19,61,8,13.11,31,50.82,6,9.84,6,9.84,10,16.39,22019
22,21,176,19,10.8,81,46.02,10,5.68,30,17.05,36,20.45,22021
24,1,139,14,10.07,74,53.24,4,2.88,24,17.27,23,16.55,24001
24,2,138,12,8.7,72,52.17,2,1.45,28,20.29,24,17.39,24002
24,3,130,6,4.62,66,50.77,5,3.85,31,23.85,22,16.92,24003
24,4,113,11,9.73,39,34.51,4,3.54,31,27.43,28,24.78,24004
24,5,75,4,5.33,38,50.67,6,8.0,10,13.33,17,22.67,24005
24,6,149,17,11.41,79,53.02,5,3.36,13,8.72,35,23.49,24006
24,8,72,10,13.89,33,45.83,5,6.94,11,15.28,13,18.06,24008
24,9,115,15,13.04,49,42.61,12,10.43,18,15.65,21,18.26,24009
24,10,70,10,14.29,22,31.43,6,8.57,19,27.14,13,18.57,24010
24,11,138,5,3.62,84,60.87,1,0.72,21,15.22,27,19.57,24011
24,12,76,9,11.84,44,57.89,5,6.58,10,13.16,8,10.53,24012
24,13,58,1,1.72,34,58.62,4,6.9,10,17.24,9,15.52,24013
24,14,111,17,15.32,33,29.73,8,7.21,20,18.02,33,29.73,24014
24,15,62,7,11.29,37,59.68,1,1.61,12,19.35,5,8.06,24015
24,17,121,13,10.74,46,38.02,7,5.79,27,22.31,28,23.14,24017
24,18,164,10,6.1,77,46.95,3,1.83,27,16.46,47,28.66,24018
24,19,191,19,9.95,78,40.84,15,7.85,43,22.51,36,18.85,24019
24,20,113,6,5.31,42,37.17,6,5.31,23,20.35,36,31.86,24020
24,21,66,3,4.55,34,51.52,4,6.06,12,18.18,13,19.7,24021
24,22,173,20,11.56,73,42.2,12,6.94,27,15.61,41,23.7,24022
24,23,117,17,14.53,48,41.03,3,2.56,17,14.53,32,27.35,24023
24,24,163,25,15.34,60,36.81,8,4.91,32,19.63,38,23.31,24024
24,25,111,6,5.41,66,59.46,7,6.31,13,11.71,19,17.12,24025
24,26,254,13,5.12,156,61.42,8,3.15,30,11.81,47,18.5,24026
24,27,159,14,8.81,78,49.06,6,3.77,25,15.72,36,22.64,24027
24,28,122,12,9.84,66,54.1,5,4.1,20,16.39,19,15.57,24028
24,29,124,12,9.68,60,48.39,6,4.84,18,14.52,28,22.58,24029
24,30,88,5,5.68,44,50.0,3,3.41,15,17.05,21,23.86,24030
24,31,156,17,10.9,84,53.85,4,2.56,19,12.18,32,20.51,24031
24,32,80,8,10.0,40,50.0,4,5.0,12,15.0,16,20.0,24032
24,33,82,8,9.76,39,47.56,2,2.44,12,14.63,21,25.61,24033
24,34,128,10,7.81,62,48.44,7,5.47,25,19.53,24,18.75,24034
24,35,120,16,13.33,47,39.17,8,6.67,23,19.17,26,21.67,24035
24,36,184,20,10.87,97,52.72,8,4.35,25,13.59,34,18.48,24036
24,37,84,3,3.57,47,55.95,6,7.14,17,20.24,11,13.1,24037
24,38,131,12,9.16,61,46.56,10,7.63,23,17.56,25,19.08,24038
24,39,189,23,12.17,82,43.39,37,19.58,20,10.58,27,14.29,24039
24,40,139,15,10.79,56,40.29,4,2.88,25,17.99,39,28.06,24040
24,41,125,11,8.8,55,44.0,7,5.6,28,22.4,24,19.2,24041
25,3,169,19,11.24,63,37.28,64,37.87,10,5.92,13,7.69,25003
25,4,156,16,10.26,34,21.79,33,21.15,31,19.87,42,26.92,25004
25,6,60,22,36.67,22,36.67,11,18.33,3,5.0,2,3.33,25006
25,10,168,28,16.67,63,37.5,47,27.98,8,4.76,22,13.1,25010
25,14,86,31,36.05,23,26.74,11,12.79,7,8.14,14,16.28,25014
25,16,144,24,16.67,58,40.28,45,31.25,10,6.94,7,4.86,25016
25,18,71,15,21.13,25,35.21,18,25.35,8,11.27,5,7.04,25018
25,20,123,7,5.69,26,21.14,7,5.69,27,21.95,56,45.53,25020
25,21,157,17,10.83,55,35.03,50,31.85,16,10.19,19,12.1,25021
25,25,159,27,16.98,65,40.88,50,31.45,6,3.77,11,6.92,25025
25,27,125,21,16.8,37,29.6,44,35.2,7,5.6,16,12.8,25027
25,29,184,22,11.96,31,16.85,27,14.67,38,20.65,66,35.87,25029
25,31,180,34,18.89,68,37.78,48,26.67,10,5.56,20,11.11,25031
27,1,2,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,27001
27,2,165,28,16.97,53,32.12,28,16.97,29,17.58,27,16.36,27002
27,7,213,36,16.9,65,30.52,80,37.56,12,5.63,20,9.39,27007
27,10,224,24,10.71,99,44.2,8,3.57,38,16.96,55,24.55,27010
27,11,33,2,6.06,16,48.48,7,21.21,2,6.06,6,18.18,27011
27,13,281,29,10.32,71,25.27,41,14.59,68,24.2,72,25.62,27013
27,14,81,4,4.94,31,38.27,5,6.17,19,23.46,22,27.16,27014
27,16,100,10,10.0,41,41.0,33,33.0,7,7.0,9,9.0,27016
27,17,149,14,9.4,35,23.49,21,14.09,36,24.16,43,28.86,27017
27,18,119,14,11.76,20,16.81,16,13.45,37,31.09,32,26.89,27018
27,25,165,14,8.48,48,29.09,27,16.36,29,17.58,47,28.48,27025
27,27,166,17,10.24,55,33.13,26,15.66,39,23.49,29,17.47,27027
27,30,90,12,13.33,31,34.44,12,13.33,19,21.11,16,17.78,27030
27,32,137,14,10.22,35,25.55,23,16.79,35,25.55,30,21.9,27032
27,33,137,29,21.17,49,35.77,25,18.25,13,9.49,21,15.33,27033
27,39,143,10,6.99,58,40.56,9,6.29,24,16.78,42,29.37,27039
27,40,182,20,10.99,60,32.97,49,26.92,28,15.38,25,13.74,27040
27,41,177,20,11.3,68,38.42,10,5.65,37,20.9,42,23.73,27041
27,43,91,8,8.79,17,18.68,12,13.19,28,30.77,26,28.57,27043
27,45,209,32,15.31,85,40.67,60,28.71,7,3.35,25,11.96,27045
27,49,127,12,9.45,45,35.43,7,5.51,22,17.32,41,32.28,27049
27,50,163,19,11.66,52,31.9,7,4.29,44,26.99,41,25.15,27050
28,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28001
28,3,9,1,11.11,4,44.44,1,11.11,1,11.11,2,22.22,28003
