ward,precinct,total,Devlin Schoop,Devlin Schoop Percent,Arthur Wesley Willis,Arthur Wesley Willis Percent,precinct_id
9,1,182,73,40.11,109,59.89,09001
9,2,168,59,35.12,109,64.88,09002
9,3,109,55,50.46,54,49.54,09003
9,4,133,52,39.1,81,60.9,09004
9,5,182,78,42.86,104,57.14,09005
9,6,174,64,36.78,110,63.22,09006
9,7,137,59,43.07,78,56.93,09007
9,8,160,59,36.88,101,63.13,09008
9,9,211,91,43.13,120,56.87,09009
9,10,136,53,38.97,83,61.03,09010
9,11,132,52,39.39,80,60.61,09011
9,13,11,6,54.55,5,45.45,09013
9,14,40,18,45.0,22,55.0,09014
9,15,103,40,38.83,63,61.17,09015
9,16,172,66,38.37,106,61.63,09016
9,17,123,54,43.9,69,56.1,09017
9,18,119,51,42.86,68,57.14,09018
9,19,171,75,43.86,96,56.14,09019
9,20,207,88,42.51,119,57.49,09020
9,21,165,67,40.61,98,59.39,09021
9,22,198,90,45.45,108,54.55,09022
9,26,136,47,34.56,89,65.44,09026
9,27,172,96,55.81,76,44.19,09027
9,28,97,41,42.27,56,57.73,09028
9,29,136,48,35.29,88,64.71,09029
9,30,133,70,52.63,63,47.37,09030
9,31,116,46,39.66,70,60.34,09031
9,32,196,84,42.86,112,57.14,09032
9,33,120,48,40.0,72,60.0,09033
9,34,128,44,34.38,84,65.63,09034
9,35,78,28,35.9,50,64.1,09035
9,37,244,154,63.11,90,36.89,09037
9,38,162,73,45.06,89,54.94,09038
9,39,212,92,43.4,120,56.6,09039
9,40,227,98,43.17,129,56.83,09040
9,41,147,58,39.46,89,60.54,09041
9,43,151,69,45.7,82,54.3,09043
9,44,180,85,47.22,95,52.78,09044
9,45,130,51,39.23,79,60.77,09045
9,46,182,81,44.51,101,55.49,09046
19,28,167,99,59.28,68,40.72,19028
19,43,42,16,38.1,26,61.9,19043
21,1,215,82,38.14,133,61.86,21001
21,2,50,12,24.0,38,76.0,21002
21,3,215,81,37.67,134,62.33,21003
21,5,233,116,49.79,117,50.21,21005
21,6,148,56,37.84,92,62.16,21006
21,7,213,77,36.15,136,63.85,21007
21,8,205,92,44.88,113,55.12,21008
21,9,223,90,40.36,133,59.64,21009
21,10,171,73,42.69,98,57.31,21010
21,11,165,62,37.58,103,62.42,21011
21,12,165,66,40.0,99,60.0,21012
21,13,104,48,46.15,56,53.85,21013
21,14,248,106,42.74,142,57.26,21014
21,16,169,64,37.87,105,62.13,21016
21,17,23,13,56.52,10,43.48,21017
21,18,210,91,43.33,119,56.67,21018
21,19,209,104,49.76,105,50.24,21019
21,20,18,5,27.78,13,72.22,21020
21,21,173,71,41.04,102,58.96,21021
21,22,179,83,46.37,96,53.63,21022
21,23,163,78,47.85,85,52.15,21023
21,24,210,106,50.48,104,49.52,21024
21,25,174,84,48.28,90,51.72,21025
21,27,174,84,48.28,90,51.72,21027
21,29,203,80,39.41,123,60.59,21029
21,32,182,82,45.05,100,54.95,21032
21,33,44,16,36.36,28,63.64,21033
21,34,20,10,50.0,10,50.0,21034
21,35,242,154,63.64,88,36.36,21035
21,36,191,95,49.74,96,50.26,21036
21,37,170,71,41.76,99,58.24,21037
21,38,163,48,29.45,115,70.55,21038
21,39,121,57,47.11,64,52.89,21039
21,40,179,117,65.36,62,34.64,21040
21,41,186,70,37.63,116,62.37,21041
21,42,211,105,49.76,106,50.24,21042
21,44,134,50,37.31,84,62.69,21044
21,45,163,52,31.9,111,68.1,21045
21,46,198,56,28.28,142,71.72,21046
21,48,104,41,39.42,63,60.58,21048
21,49,227,80,35.24,147,64.76,21049
21,50,158,64,40.51,94,59.49,21050
21,52,22,10,45.45,12,54.55,21052
34,1,232,100,43.1,132,56.9,34001
34,2,162,77,47.53,85,52.47,34002
34,3,174,68,39.08,106,60.92,34003
34,4,123,68,55.28,55,44.72,34004
34,5,167,77,46.11,90,53.89,34005
34,6,216,110,50.93,106,49.07,34006
34,7,218,89,40.83,129,59.17,34007
34,8,156,54,34.62,102,65.38,34008
34,9,134,49,36.57,85,63.43,34009
34,10,196,84,42.86,112,57.14,34010
34,11,135,71,52.59,64,47.41,34011
34,12,195,103,52.82,92,47.18,34012
34,13,214,152,71.03,62,28.97,34013
34,14,138,62,44.93,76,55.07,34014
34,15,142,62,43.66,80,56.34,34015
34,16,160,81,50.63,79,49.38,34016
34,18,148,75,50.68,73,49.32,34018
34,19,161,71,44.1,90,55.9,34019
34,20,236,117,49.58,119,50.42,34020
34,21,240,110,45.83,130,54.17,34021
34,22,200,90,45.0,110,55.0,34022
34,23,159,83,52.2,76,47.8,34023
34,24,163,75,46.01,88,53.99,34024
34,25,294,134,45.58,160,54.42,34025
34,26,214,102,47.66,112,52.34,34026
34,27,159,71,44.65,88,55.35,34027
34,28,97,48,49.48,49,50.52,34028
34,29,152,75,49.34,77,50.66,34029
34,30,216,89,41.2,127,58.8,34030
34,31,143,62,43.36,81,56.64,34031
34,32,166,89,53.61,77,46.39,34032
34,33,153,49,32.03,104,67.97,34033
34,34,220,101,45.91,119,54.09,34034
34,35,189,109,57.67,80,42.33,34035
34,36,187,88,47.06,99,52.94,34036
34,37,104,42,40.38,62,59.62,34037
34,38,70,28,40.0,42,60.0,34038
34,39,118,53,44.92,65,55.08,34039
34,40,211,112,53.08,99,46.92,34040
34,41,130,66,50.77,64,49.23,34041
34,42,222,106,47.75,116,52.25,34042
34,43,208,84,40.38,124,59.62,34043
34,44,203,98,48.28,105,51.72,34044
34,45,196,96,48.98,100,51.02,34045
34,46,144,74,51.39,70,48.61,34046
34,47,156,91,58.33,65,41.67,34047
34,48,244,117,47.95,127,52.05,34048
34,49,120,46,38.33,74,61.67,34049
34,50,126,48,38.1,78,61.9,34050
34,51,228,111,48.68,117,51.32,34051
34,52,159,60,37.74,99,62.26,34052
34,53,104,42,40.38,62,59.62,34053
