ward,precinct,total,Robin Kelly,Robin Kelly Percent,Carrie M. Austin,Carrie M. Austin Percent,precinct_id
5,1,202,144,71.29,58,28.71,05001
5,6,210,163,77.62,47,22.38,05006
5,10,29,20,68.97,9,31.03,05010
5,11,204,160,78.43,44,21.57,05011
5,14,260,189,72.69,71,27.31,05014
5,18,98,78,79.59,20,20.41,05018
5,23,450,366,81.33,84,18.67,05023
5,25,221,177,80.09,44,19.91,05025
5,26,262,221,84.35,41,15.65,05026
5,28,318,240,75.47,78,24.53,05028
5,29,266,200,75.19,66,24.81,05029
5,31,196,146,74.49,50,25.51,05031
5,32,333,253,75.98,80,24.02,05032
5,35,47,38,80.85,9,19.15,05035
5,36,137,109,79.56,28,20.44,05036
5,37,324,268,82.72,56,17.28,05037
5,38,240,186,77.5,54,22.5,05038
5,40,202,153,75.74,49,24.26,05040
5,41,186,136,73.12,50,26.88,05041
7,1,26,20,76.92,6,23.08,07001
7,2,178,154,86.52,24,13.48,07002
7,3,265,211,79.62,54,20.38,07003
7,4,228,169,74.12,59,25.88,07004
7,5,181,127,70.17,54,29.83,07005
7,6,266,212,79.7,54,20.3,07006
7,7,174,129,74.14,45,25.86,07007
7,8,168,133,79.17,35,20.83,07008
7,9,365,271,74.25,94,25.75,07009
7,10,232,178,76.72,54,23.28,07010
7,11,168,129,76.79,39,23.21,07011
7,12,181,131,72.38,50,27.62,07012
7,13,150,115,76.67,35,23.33,07013
7,14,212,161,75.94,51,24.06,07014
7,15,215,175,81.4,40,18.6,07015
7,16,162,114,70.37,48,29.63,07016
7,17,158,126,79.75,32,20.25,07017
7,18,163,112,68.71,51,31.29,07018
7,19,222,175,78.83,47,21.17,07019
7,20,137,99,72.26,38,27.74,07020
7,21,158,119,75.32,39,24.68,07021
7,22,172,118,68.6,54,31.4,07022
7,23,250,199,79.6,51,20.4,07023
7,24,177,137,77.4,40,22.6,07024
7,25,125,88,70.4,37,29.6,07025
7,26,171,136,79.53,35,20.47,07026
7,27,181,158,87.29,23,12.71,07027
7,28,130,96,73.85,34,26.15,07028
7,29,163,129,79.14,34,20.86,07029
7,30,133,84,63.16,49,36.84,07030
7,31,111,79,71.17,32,28.83,07031
7,32,355,271,76.34,84,23.66,07032
7,33,337,264,78.34,73,21.66,07033
7,34,271,208,76.75,63,23.25,07034
7,35,202,151,74.75,51,25.25,07035
7,36,273,187,68.5,86,31.5,07036
7,37,227,182,80.18,45,19.82,07037
7,38,177,125,70.62,52,29.38,07038
7,39,195,148,75.9,47,24.1,07039
7,40,180,145,80.56,35,19.44,07040
7,41,189,135,71.43,54,28.57,07041
7,42,196,149,76.02,47,23.98,07042
7,43,194,152,78.35,42,21.65,07043
7,44,149,109,73.15,40,26.85,07044
7,45,159,119,74.84,40,25.16,07045
7,46,124,98,79.03,26,20.97,07046
8,4,179,133,74.3,46,25.7,08004
8,5,2,1,50.0,1,50.0,08005
8,7,286,204,71.33,82,28.67,08007
8,9,166,111,66.87,55,33.13,08009
8,17,219,154,70.32,65,29.68,08017
8,27,205,142,69.27,63,30.73,08027
8,28,235,177,75.32,58,24.68,08028
8,32,168,114,67.86,54,32.14,08032
8,36,240,174,72.5,66,27.5,08036
8,39,220,166,75.45,54,24.55,08039
8,42,273,201,73.63,72,26.37,08042
8,46,162,117,72.22,45,27.78,08046
8,49,12,9,75.0,3,25.0,08049
8,50,96,64,66.67,32,33.33,08050
8,53,121,84,69.42,37,30.58,08053
9,1,223,138,61.88,85,38.12,09001
9,2,187,119,63.64,68,36.36,09002
9,3,120,95,79.17,25,20.83,09003
9,4,154,95,61.69,59,38.31,09004
9,5,222,137,61.71,85,38.29,09005
9,6,200,106,53.0,94,47.0,09006
