ward,precinct,total,Amanda Moira Pillsbury,Amanda Moira Pillsbury Percent,Preston Jones Jr.,Preston Jones Jr. Percent,Keely Patricia Hillison,Keely Patricia Hillison Percent,Ioana Salajanu,Ioana Salajanu Percent,precinct_id
9,37,250,55,22.0,116,46.4,46,18.4,33,13.2,09037
9,38,164,23,14.02,106,64.63,27,16.46,8,4.88,09038
9,39,216,27,12.5,136,62.96,44,20.37,9,4.17,09039
9,40,232,27,11.64,169,72.84,23,9.91,13,5.6,09040
9,41,151,18,11.92,104,68.87,23,15.23,6,3.97,09041
9,42,221,21,9.5,162,73.3,25,11.31,13,5.88,09042
9,43,151,32,21.19,81,53.64,32,21.19,6,3.97,09043
9,44,181,21,11.6,126,69.61,22,12.15,12,6.63,09044
9,45,133,21,15.79,78,58.65,28,21.05,6,4.51,09045
9,46,187,28,14.97,112,59.89,34,18.18,13,6.95,09046
9,47,244,34,13.93,168,68.85,26,10.66,16,6.56,09047
9,48,210,31,14.76,138,65.71,32,15.24,9,4.29,09048
9,49,200,24,12.0,148,74.0,23,11.5,5,2.5,09049
9,50,294,36,12.24,211,71.77,36,12.24,11,3.74,09050
9,51,203,28,13.79,141,69.46,28,13.79,6,2.96,09051
10,1,131,28,21.37,58,44.27,31,23.66,14,10.69,10001
10,2,127,49,38.58,30,23.62,23,18.11,25,19.69,10002
10,3,110,46,41.82,32,29.09,21,19.09,11,10.0,10003
10,4,108,32,29.63,42,38.89,25,23.15,9,8.33,10004
10,5,92,36,39.13,25,27.17,20,21.74,11,11.96,10005
10,6,101,44,43.56,23,22.77,17,16.83,17,16.83,10006
10,7,85,29,34.12,26,30.59,12,14.12,18,21.18,10007
10,8,72,21,29.17,32,44.44,15,20.83,4,5.56,10008
10,9,111,45,40.54,25,22.52,24,21.62,17,15.32,10009
10,10,129,51,39.53,33,25.58,21,16.28,24,18.6,10010
10,11,143,63,44.06,45,31.47,24,16.78,11,7.69,10011
10,12,77,24,31.17,18,23.38,18,23.38,17,22.08,10012
10,13,133,48,36.09,41,30.83,20,15.04,24,18.05,10013
10,14,149,61,40.94,36,24.16,30,20.13,22,14.77,10014
10,15,385,57,14.81,236,61.3,72,18.7,20,5.19,10015
10,16,85,26,30.59,28,32.94,18,21.18,13,15.29,10016
10,17,158,55,34.81,49,31.01,19,12.03,35,22.15,10017
10,18,82,36,43.9,24,29.27,12,14.63,10,12.2,10018
10,19,113,46,40.71,23,20.35,25,22.12,19,16.81,10019
10,20,126,49,38.89,29,23.02,26,20.63,22,17.46,10020
10,21,101,44,43.56,31,30.69,13,12.87,13,12.87,10021
10,22,81,23,28.4,27,33.33,23,28.4,8,9.88,10022
10,23,105,47,44.76,22,20.95,20,19.05,16,15.24,10023
10,24,107,39,36.45,34,31.78,19,17.76,15,14.02,10024
10,25,43,11,25.58,15,34.88,14,32.56,3,6.98,10025
10,26,83,40,48.19,21,25.3,10,12.05,12,14.46,10026
10,27,136,33,24.26,65,47.79,27,19.85,11,8.09,10027
10,28,128,45,35.16,30,23.44,32,25.0,21,16.41,10028
10,29,103,48,46.6,18,17.48,20,19.42,17,16.5,10029
10,30,114,42,36.84,27,23.68,24,21.05,21,18.42,10030
10,31,88,40,45.45,23,26.14,12,13.64,13,14.77,10031
10,32,112,51,45.54,27,24.11,13,11.61,21,18.75,10032
10,33,94,43,45.74,26,27.66,10,10.64,15,15.96,10033
10,34,75,26,34.67,22,29.33,16,21.33,11,14.67,10034
10,35,137,60,43.8,37,27.01,21,15.33,19,13.87,10035
10,36,38,14,36.84,17,44.74,6,15.79,1,2.63,10036
11,1,199,56,28.14,88,44.22,26,13.07,29,14.57,11001
11,2,13,1,7.69,4,30.77,6,46.15,2,15.38,11002
11,3,147,40,27.21,64,43.54,20,13.61,23,15.65,11003
11,4,187,53,28.34,83,44.39,27,14.44,24,12.83,11004
11,5,244,66,27.05,103,42.21,36,14.75,39,15.98,11005
11,6,199,49,24.62,88,44.22,27,13.57,35,17.59,11006
11,7,148,30,20.27,77,52.03,23,15.54,18,12.16,11007
11,8,163,54,33.13,62,38.04,22,13.5,25,15.34,11008
11,9,153,52,33.99,50,32.68,27,17.65,24,15.69,11009
11,10,164,63,38.41,66,40.24,14,8.54,21,12.8,11010
11,11,193,56,29.02,82,42.49,29,15.03,26,13.47,11011
11,12,281,104,37.01,129,45.91,38,13.52,10,3.56,11012
11,13,255,81,31.76,126,49.41,34,13.33,14,5.49,11013
11,14,70,20,28.57,33,47.14,11,15.71,6,8.57,11014
11,15,74,18,24.32,35,47.3,7,9.46,14,18.92,11015
11,16,124,35,28.23,62,50.0,18,14.52,9,7.26,11016
11,17,228,57,25.0,97,42.54,36,15.79,38,16.67,11017
11,18,146,46,31.51,68,46.58,23,15.75,9,6.16,11018
11,19,228,69,30.26,97,42.54,31,13.6,31,13.6,11019
11,20,133,49,36.84,59,44.36,14,10.53,11,8.27,11020
11,21,301,92,30.56,135,44.85,44,14.62,30,9.97,11021
11,22,215,67,31.16,96,44.65,26,12.09,26,12.09,11022
11,23,140,45,32.14,60,42.86,18,12.86,17,12.14,11023
11,24,309,86,27.83,174,56.31,37,11.97,12,3.88,11024
11,25,211,61,28.91,98,46.45,26,12.32,26,12.32,11025
11,26,253,60,23.72,146,57.71,20,7.91,27,10.67,11026
11,27,68,19,27.94,27,39.71,8,11.76,14,20.59,11027
11,28,83,35,42.17,29,34.94,14,16.87,5,6.02,11028
11,29,283,75,26.5,156,55.12,29,10.25,23,8.13,11029
11,30,83,21,25.3,44,53.01,12,14.46,6,7.23,11030
11,31,201,86,42.79,65,32.34,30,14.93,20,9.95,11031
11,32,107,23,21.5,60,56.07,12,11.21,12,11.21,11032
11,33,174,41,23.56,84,48.28,17,9.77,32,18.39,11033
11,34,57,15,26.32,23,40.35,11,19.3,8,14.04,11034
11,35,47,18,38.3,19,40.43,5,10.64,5,10.64,11035
11,36,70,27,38.57,25,35.71,8,11.43,10,14.29,11036
11,37,43,9,20.93,26,60.47,5,11.63,3,6.98,11037
11,38,87,12,13.79,44,50.57,14,16.09,17,19.54,11038
12,1,187,76,40.64,53,28.34,35,18.72,23,12.3,12001
12,2,136,45,33.09,48,35.29,22,16.18,21,15.44,12002
12,3,235,88,37.45,75,31.91,35,14.89,37,15.74,12003
12,4,208,67,32.21,64,30.77,37,17.79,40,19.23,12004
12,5,161,63,39.13,41,25.47,32,19.88,25,15.53,12005
12,6,161,61,37.89,53,32.92,28,17.39,19,11.8,12006
12,7,142,56,39.44,50,35.21,13,9.15,23,16.2,12007
12,8,186,81,43.55,48,25.81,33,17.74,24,12.9,12008
12,9,147,70,47.62,36,24.49,21,14.29,20,13.61,12009
12,10,182,80,43.96,41,22.53,23,12.64,38,20.88,12010
12,11,167,69,41.32,57,34.13,22,13.17,19,11.38,12011
12,12,149,66,44.3,44,29.53,28,18.79,11,7.38,12012
12,13,171,72,42.11,51,29.82,30,17.54,18,10.53,12013
12,14,147,55,37.41,46,31.29,29,19.73,17,11.56,12014
12,15,140,52,37.14,43,30.71,28,20.0,17,12.14,12015
12,16,121,56,46.28,33,27.27,22,18.18,10,8.26,12016
12,17,151,76,50.33,28,18.54,25,16.56,22,14.57,12017
12,18,109,52,47.71,23,21.1,18,16.51,16,14.68,12018
12,19,156,61,39.1,48,30.77,23,14.74,24,15.38,12019
12,20,189,78,41.27,65,34.39,33,17.46,13,6.88,12020
12,21,160,65,40.63,55,34.38,22,13.75,18,11.25,12021
12,22,122,46,37.7,42,34.43,21,17.21,13,10.66,12022
12,23,189,78,41.27,51,26.98,34,17.99,26,13.76,12023
13,1,150,45,30.0,55,36.67,35,23.33,15,10.0,13001
13,2,180,60,33.33,79,43.89,27,15.0,14,7.78,13002
13,3,143,63,44.06,36,25.17,25,17.48,19,13.29,13003
13,4,171,65,38.01,54,31.58,36,21.05,16,9.36,13004
13,5,206,107,51.94,64,31.07,23,11.17,12,5.83,13005
13,6,182,73,40.11,58,31.87,36,19.78,15,8.24,13006
13,7,118,55,46.61,43,36.44,16,13.56,4,3.39,13007
13,8,136,58,42.65,41,30.15,26,19.12,11,8.09,13008
13,9,141,53,37.59,56,39.72,19,13.48,13,9.22,13009
13,10,155,68,43.87,41,26.45,29,18.71,17,10.97,13010
13,11,187,69,36.9,72,38.5,34,18.18,12,6.42,13011
13,12,144,62,43.06,48,33.33,24,16.67,10,6.94,13012
13,13,199,43,21.61,113,56.78,28,14.07,15,7.54,13013
13,14,139,60,43.17,47,33.81,21,15.11,11,7.91,13014
13,15,281,113,40.21,101,35.94,35,12.46,32,11.39,13015
13,16,107,35,32.71,54,50.47,9,8.41,9,8.41,13016
13,17,154,60,38.96,57,37.01,21,13.64,16,10.39,13017
13,18,128,50,39.06,29,22.66,25,19.53,24,18.75,13018
13,19,148,43,29.05,72,48.65,22,14.86,11,7.43,13019
13,20,101,44,43.56,34,33.66,16,15.84,7,6.93,13020
13,21,176,65,36.93,75,42.61,26,14.77,10,5.68,13021
13,22,180,80,44.44,48,26.67,35,19.44,17,9.44,13022
13,23,130,40,30.77,61,46.92,20,15.38,9,6.92,13023
13,24,179,67,37.43,74,41.34,16,8.94,22,12.29,13024
13,25,157,68,43.31,48,30.57,22,14.01,19,12.1,13025
13,26,156,51,32.69,72,46.15,19,12.18,14,8.97,13026
13,27,177,55,31.07,67,37.85,37,20.9,18,10.17,13027
13,28,142,47,33.1,54,38.03,24,16.9,17,11.97,13028
13,29,127,46,36.22,49,38.58,20,15.75,12,9.45,13029
13,30,162,55,33.95,75,46.3,21,12.96,11,6.79,13030
13,31,192,77,40.1,68,35.42,26,13.54,21,10.94,13031
13,32,141,63,44.68,39,27.66,29,20.57,10,7.09,13032
13,33,192,70,36.46,80,41.67,26,13.54,16,8.33,13033
13,34,277,56,20.22,191,68.95,19,6.86,11,3.97,13034
13,35,192,73,38.02,84,43.75,18,9.38,17,8.85,13035
13,36,109,46,42.2,34,31.19,11,10.09,18,16.51,13036
13,37,232,57,24.57,110,47.41,44,18.97,21,9.05,13037
13,38,155,58,37.42,58,37.42,27,17.42,12,7.74,13038
13,39,179,66,36.87,71,39.66,26,14.53,16,8.94,13039
13,40,176,76,43.18,55,31.25,22,12.5,23,13.07,13040
13,41,182,71,39.01,67,36.81,27,14.84,17,9.34,13041
13,42,173,58,33.53,70,40.46,30,17.34,15,8.67,13042
13,43,202,72,35.64,89,44.06,22,10.89,19,9.41,13043
13,44,228,47,20.61,160,70.18,8,3.51,13,5.7,13044
13,45,236,85,36.02,100,42.37,35,14.83,16,6.78,13045
13,46,202,63,31.19,98,48.51,20,9.9,21,10.4,13046
13,47,171,65,38.01,73,42.69,19,11.11,14,8.19,13047
13,48,181,67,37.02,77,42.54,24,13.26,13,7.18,13048
14,1,211,87,41.23,59,27.96,40,18.96,25,11.85,14001
14,2,219,76,34.7,75,34.25,39,17.81,29,13.24,14002
14,3,149,54,36.24,53,35.57,16,10.74,26,17.45,14003
14,4,194,77,39.69,62,31.96,37,19.07,18,9.28,14004
14,5,221,74,33.48,91,41.18,32,14.48,24,10.86,14005
14,6,94,29,30.85,47,50.0,9,9.57,9,9.57,14006
14,7,178,68,38.2,66,37.08,22,12.36,22,12.36,14007
14,8,164,69,42.07,53,32.32,19,11.59,23,14.02,14008
14,9,218,81,37.16,79,36.24,34,15.6,24,11.01,14009
14,10,111,35,31.53,38,34.23,17,15.32,21,18.92,14010
14,11,122,27,22.13,74,60.66,10,8.2,11,9.02,14011
14,12,188,80,42.55,61,32.45,21,11.17,26,13.83,14012
14,13,164,68,41.46,66,40.24,18,10.98,12,7.32,14013
14,14,184,76,41.3,69,37.5,21,11.41,18,9.78,14014
14,15,169,57,33.73,58,34.32,28,16.57,26,15.38,14015
14,16,117,48,41.03,35,29.91,21,17.95,13,11.11,14016
14,17,145,57,39.31,49,33.79,17,11.72,22,15.17,14017
14,18,77,33,42.86,26,33.77,12,15.58,6,7.79,14018
14,19,181,70,38.67,61,33.7,31,17.13,19,10.5,14019
14,20,110,40,36.36,34,30.91,20,18.18,16,14.55,14020
14,21,179,69,38.55,50,27.93,33,18.44,27,15.08,14021
14,22,216,79,36.57,70,32.41,39,18.06,28,12.96,14022
14,23,147,59,40.14,47,31.97,21,14.29,20,13.61,14023
14,24,244,94,38.52,82,33.61,43,17.62,25,10.25,14024
14,25,102,43,42.16,34,33.33,13,12.75,12,11.76,14025
14,26,138,59,42.75,42,30.43,21,15.22,16,11.59,14026
14,27,163,62,38.04,52,31.9,31,19.02,18,11.04,14027
14,28,125,57,45.6,36,28.8,20,16.0,12,9.6,14028
14,29,159,45,28.3,78,49.06,25,15.72,11,6.92,14029
14,30,98,39,39.8,31,31.63,15,15.31,13,13.27,14030
14,31,90,47,52.22,18,20.0,16,17.78,9,10.0,14031
15,1,155,89,57.42,33,21.29,12,7.74,21,13.55,15001
15,2,99,18,18.18,56,56.57,15,15.15,10,10.1,15002
15,3,107,28,26.17,56,52.34,17,15.89,6,5.61,15003
15,4,151,72,47.68,39,25.83,22,14.57,18,11.92,15004
15,5,128,75,58.59,20,15.63,20,15.63,13,10.16,15005
15,6,127,56,44.09,29,22.83,21,16.54,21,16.54,15006
15,7,105,18,17.14,66,62.86,16,15.24,5,4.76,15007
15,8,140,58,41.43,31,22.14,28,20.0,23,16.43,15008
15,9,177,75,42.37,43,24.29,38,21.47,21,11.86,15009
15,10,170,68,40.0,46,27.06,28,16.47,28,16.47,15010
15,11,162,69,42.59,43,26.54,34,20.99,16,9.88,15011
15,12,161,79,49.07,36,22.36,32,19.88,14,8.7,15012
15,13,136,64,47.06,32,23.53,17,12.5,23,16.91,15013
15,14,124,57,45.97,31,25.0,15,12.1,21,16.94,15014
15,15,99,47,47.47,29,29.29,16,16.16,7,7.07,15015
15,16,163,70,42.94,55,33.74,27,16.56,11,6.75,15016
15,17,119,21,17.65,67,56.3,29,24.37,2,1.68,15017
15,18,83,17,20.48,46,55.42,12,14.46,8,9.64,15018
15,19,148,45,30.41,62,41.89,25,16.89,16,10.81,15019
15,20,102,13,12.75,58,56.86,22,21.57,9,8.82,15020
15,21,110,17,15.45,65,59.09,20,18.18,8,7.27,15021
15,22,102,24,23.53,58,56.86,18,17.65,2,1.96,15022
15,23,126,27,21.43,74,58.73,18,14.29,7,5.56,15023
15,24,96,17,17.71,61,63.54,15,15.63,3,3.13,15024
16,1,170,76,44.71,42,24.71,31,18.24,21,12.35,16001
16,2,132,28,21.21,75,56.82,24,18.18,5,3.79,16002
16,3,102,28,27.45,51,50.0,21,20.59,2,1.96,16003
16,4,109,15,13.76,65,59.63,25,22.94,4,3.67,16004
16,5,98,23,23.47,51,52.04,19,19.39,5,5.1,16005
16,6,120,22,18.33,62,51.67,26,21.67,10,8.33,16006
16,7,113,27,23.89,58,51.33,19,16.81,9,7.96,16007
16,8,85,31,36.47,36,42.35,14,16.47,4,4.71,16008
16,9,152,18,11.84,101,66.45,24,15.79,9,5.92,16009
16,10,106,27,25.47,54,50.94,16,15.09,9,8.49,16010
16,11,94,28,29.79,45,47.87,16,17.02,5,5.32,16011
16,12,91,20,21.98,54,59.34,9,9.89,8,8.79,16012
16,13,105,35,33.33,34,32.38,23,21.9,13,12.38,16013
16,14,99,14,14.14,68,68.69,11,11.11,6,6.06,16014
16,15,148,30,20.27,78,52.7,29,19.59,11,7.43,16015
16,16,123,28,22.76,74,60.16,16,13.01,5,4.07,16016
16,17,122,41,33.61,47,38.52,26,21.31,8,6.56,16017
16,18,115,29,25.22,51,44.35,21,18.26,14,12.17,16018
16,19,103,25,24.27,53,51.46,15,14.56,10,9.71,16019
16,20,108,19,17.59,63,58.33,21,19.44,5,4.63,16020
16,21,102,19,18.63,55,53.92,19,18.63,9,8.82,16021
16,22,96,25,26.04,50,52.08,17,17.71,4,4.17,16022
16,23,110,33,30.0,51,46.36,21,19.09,5,4.55,16023
16,24,67,14,20.9,36,53.73,17,25.37,0,0.0,16024
16,25,160,29,18.13,91,56.88,30,18.75,10,6.25,16025
16,26,115,30,26.09,65,56.52,14,12.17,6,5.22,16026
16,27,99,20,20.2,53,53.54,20,20.2,6,6.06,16027
16,28,113,24,21.24,57,50.44,26,23.01,6,5.31,16028
16,29,103,19,18.45,54,52.43,22,21.36,8,7.77,16029
16,30,93,18,19.35,53,56.99,13,13.98,9,9.68,16030
16,31,154,28,18.18,85,55.19,25,16.23,16,10.39,16031
16,32,135,44,32.59,29,21.48,33,24.44,29,21.48,16032
16,33,109,25,22.94,64,58.72,10,9.17,10,9.17,16033
16,34,104,15,14.42,61,58.65,18,17.31,10,9.62,16034
16,35,163,65,39.88,46,28.22,40,24.54,12,7.36,16035
16,36,94,19,20.21,55,58.51,16,17.02,4,4.26,16036
17,1,146,54,36.99,57,39.04,19,13.01,16,10.96,17001
17,2,142,20,14.08,79,55.63,32,22.54,11,7.75,17002
17,3,152,32,21.05,94,61.84,22,14.47,4,2.63,17003
17,4,216,32,14.81,131,60.65,48,22.22,5,2.31,17004
17,5,135,23,17.04,77,57.04,29,21.48,6,4.44,17005
17,6,126,31,24.6,68,53.97,20,15.87,7,5.56,17006
17,7,106,34,32.08,32,30.19,29,27.36,11,10.38,17007
17,8,114,23,20.18,62,54.39,25,21.93,4,3.51,17008
17,9,133,23,17.29,77,57.89,30,22.56,3,2.26,17009
17,10,220,39,17.73,134,60.91,35,15.91,12,5.45,17010
17,11,121,27,22.31,74,61.16,17,14.05,3,2.48,17011
17,12,187,59,31.55,81,43.32,32,17.11,15,8.02,17012
17,13,129,38,29.46,77,59.69,10,7.75,4,3.1,17013
17,14,164,51,31.1,68,41.46,26,15.85,19,11.59,17014
17,15,155,30,19.35,89,57.42,27,17.42,9,5.81,17015
17,16,124,29,23.39,57,45.97,25,20.16,13,10.48,17016
17,17,148,31,20.95,81,54.73,25,16.89,11,7.43,17017
17,18,212,37,17.45,131,61.79,38,17.92,6,2.83,17018
17,19,91,13,14.29,59,64.84,18,19.78,1,1.1,17019
17,20,242,40,16.53,166,68.6,25,10.33,11,4.55,17020
17,21,248,39,15.73,153,61.69,39,15.73,17,6.85,17021
17,22,150,21,14.0,94,62.67,25,16.67,10,6.67,17022
17,23,117,10,8.55,85,72.65,20,17.09,2,1.71,17023
17,24,196,33,16.84,130,66.33,28,14.29,5,2.55,17024
17,25,106,28,26.42,60,56.6,13,12.26,5,4.72,17025
17,26,180,29,16.11,113,62.78,30,16.67,8,4.44,17026
17,27,166,26,15.66,110,66.27,21,12.65,9,5.42,17027
17,28,124,17,13.71,83,66.94,22,17.74,2,1.61,17028
17,29,144,33,22.92,76,52.78,28,19.44,7,4.86,17029
17,30,102,34,33.33,41,40.2,22,21.57,5,4.9,17030
17,31,88,15,17.05,50,56.82,19,21.59,4,4.55,17031
17,32,113,26,23.01,68,60.18,14,12.39,5,4.42,17032
17,33,95,20,21.05,48,50.53,22,23.16,5,5.26,17033
17,34,125,16,12.8,89,71.2,13,10.4,7,5.6,17034
17,35,110,16,14.55,72,65.45,18,16.36,4,3.64,17035
17,36,170,32,18.82,105,61.76,30,17.65,3,1.76,17036
17,37,145,22,15.17,94,64.83,26,17.93,3,2.07,17037
17,38,138,22,15.94,97,70.29,17,12.32,2,1.45,17038
17,39,174,31,17.82,101,58.05,32,18.39,10,5.75,17039
17,40,200,38,19.0,129,64.5,25,12.5,8,4.0,17040
17,41,231,34,14.72,140,60.61,41,17.75,16,6.93,17041
18,1,132,27,20.45,76,57.58,19,14.39,10,7.58,18001
18,2,127,41,32.28,40,31.5,26,20.47,20,15.75,18002
18,3,127,41,32.28,48,37.8,25,19.69,13,10.24,18003
18,4,232,27,11.64,159,68.53,39,16.81,7,3.02,18004
18,5,117,28,23.93,66,56.41,22,18.8,1,0.85,18005
18,6,143,40,27.97,53,37.06,39,27.27,11,7.69,18006
18,7,161,24,14.91,96,59.63,33,20.5,8,4.97,18007
18,8,188,30,15.96,120,63.83,24,12.77,14,7.45,18008
18,9,217,24,11.06,131,60.37,48,22.12,14,6.45,18009
18,10,276,33,11.96,185,67.03,45,16.3,13,4.71,18010
18,11,141,31,21.99,71,50.35,28,19.86,11,7.8,18011
18,12,179,35,19.55,97,54.19,35,19.55,12,6.7,18012
18,13,200,29,14.5,141,70.5,24,12.0,6,3.0,18013
18,14,194,19,9.79,135,69.59,28,14.43,12,6.19,18014
18,15,196,63,32.14,81,41.33,36,18.37,16,8.16,18015
18,16,161,29,18.01,97,60.25,24,14.91,11,6.83,18016
18,17,176,47,26.7,91,51.7,25,14.2,13,7.39,18017
18,18,200,24,12.0,128,64.0,37,18.5,11,5.5,18018
18,19,214,32,14.95,139,64.95,29,13.55,14,6.54,18019
18,20,159,29,18.24,93,58.49,31,19.5,6,3.77,18020
18,21,214,37,17.29,125,58.41,39,18.22,13,6.07,18021
18,22,245,50,20.41,149,60.82,38,15.51,8,3.27,18022
18,23,153,29,18.95,89,58.17,27,17.65,8,5.23,18023
18,24,136,56,41.18,31,22.79,35,25.74,14,10.29,18024
18,25,150,58,38.67,48,32.0,32,21.33,12,8.0,18025
18,26,249,30,12.05,160,64.26,43,17.27,16,6.43,18026
18,27,136,31,22.79,71,52.21,19,13.97,15,11.03,18027
18,28,143,40,27.97,65,45.45,23,16.08,15,10.49,18028
18,29,182,31,17.03,103,56.59,31,17.03,17,9.34,18029
18,30,155,55,35.48,50,32.26,29,18.71,21,13.55,18030
18,31,196,35,17.86,105,53.57,42,21.43,14,7.14,18031
18,32,233,36,15.45,143,61.37,39,16.74,15,6.44,18032
18,33,151,28,18.54,94,62.25,26,17.22,3,1.99,18033
18,34,245,40,16.33,168,68.57,30,12.24,7,2.86,18034
18,35,256,37,14.45,169,66.02,34,13.28,16,6.25,18035
18,36,182,50,27.47,88,48.35,31,17.03,13,7.14,18036
18,37,230,35,15.22,139,60.43,38,16.52,18,7.83,18037
18,38,176,33,18.75,109,61.93,29,16.48,5,2.84,18038
18,39,135,40,29.63,64,47.41,20,14.81,11,8.15,18039
18,40,199,70,35.18,70,35.18,39,19.6,20,10.05,18040
18,41,229,33,14.41,151,65.94,36,15.72,9,3.93,18041
18,42,139,29,20.86,71,51.08,31,22.3,8,5.76,18042
18,43,105,45,42.86,27,25.71,18,17.14,15,14.29,18043
18,44,142,41,28.87,61,42.96,34,23.94,6,4.23,18044
18,45,129,48,37.21,48,37.21,23,17.83,10,7.75,18045
18,46,190,65,34.21,68,35.79,37,19.47,20,10.53,18046
18,47,136,28,20.59,73,53.68,27,19.85,8,5.88,18047
18,48,144,38,26.39,73,50.69,25,17.36,8,5.56,18048
18,49,106,21,19.81,71,66.98,14,13.21,0,0.0,18049
18,50,129,27,20.93,70,54.26,21,16.28,11,8.53,18050
19,1,178,52,29.21,75,42.13,43,24.16,8,4.49,19001
19,2,334,72,21.56,186,55.69,42,12.57,34,10.18,19002
19,3,113,42,37.17,42,37.17,22,19.47,7,6.19,19003
19,4,199,70,35.18,73,36.68,42,21.11,14,7.04,19004
19,5,264,57,21.59,149,56.44,42,15.91,16,6.06,19005
19,6,190,75,39.47,49,25.79,43,22.63,23,12.11,19006
19,7,188,67,35.64,65,34.57,44,23.4,12,6.38,19007
19,8,170,79,46.47,40,23.53,35,20.59,16,9.41,19008
19,9,159,57,35.85,65,40.88,31,19.5,6,3.77,19009
19,10,309,66,21.36,174,56.31,48,15.53,21,6.8,19010
19,11,146,66,45.21,43,29.45,29,19.86,8,5.48,19011
19,12,131,62,47.33,43,32.82,20,15.27,6,4.58,19012
19,13,318,40,12.58,190,59.75,55,17.3,33,10.38,19013
19,14,244,58,23.77,114,46.72,44,18.03,28,11.48,19014
19,15,198,97,48.99,48,24.24,39,19.7,14,7.07,19015
19,16,194,84,43.3,71,36.6,25,12.89,14,7.22,19016
19,17,162,62,38.27,59,36.42,32,19.75,9,5.56,19017
19,18,216,50,23.15,109,50.46,40,18.52,17,7.87,19018
19,19,285,70,24.56,130,45.61,51,17.89,34,11.93,19019
19,20,222,53,23.87,118,53.15,27,12.16,24,10.81,19020
19,21,150,62,41.33,38,25.33,39,26.0,11,7.33,19021
19,22,238,65,27.31,110,46.22,46,19.33,17,7.14,19022
19,23,205,87,42.44,57,27.8,48,23.41,13,6.34,19023
19,24,137,42,30.66,56,40.88,31,22.63,8,5.84,19024
19,25,217,64,29.49,97,44.7,39,17.97,17,7.83,19025
19,26,215,57,26.51,95,44.19,43,20.0,20,9.3,19026
19,27,253,58,22.92,135,53.36,27,10.67,33,13.04,19027
19,28,273,46,16.85,158,57.88,45,16.48,24,8.79,19028
19,29,150,71,47.33,41,27.33,31,20.67,7,4.67,19029
19,30,155,65,41.94,42,27.1,34,21.94,14,9.03,19030
19,31,205,69,33.66,96,46.83,25,12.2,15,7.32,19031
19,32,169,71,42.01,45,26.63,38,22.49,15,8.88,19032
19,33,169,74,43.79,49,28.99,38,22.49,8,4.73,19033
19,34,209,55,26.32,107,51.2,32,15.31,15,7.18,19034
19,35,230,67,29.13,109,47.39,43,18.7,11,4.78,19035
19,36,277,51,18.41,153,55.23,42,15.16,31,11.19,19036
19,37,245,46,18.78,143,58.37,37,15.1,19,7.76,19037
19,38,223,39,17.49,129,57.85,33,14.8,22,9.87,19038
19,39,64,14,21.88,33,51.56,11,17.19,6,9.38,19039
19,40,240,56,23.33,120,50.0,35,14.58,29,12.08,19040
19,41,161,74,45.96,46,28.57,32,19.88,9,5.59,19041
19,42,176,37,21.02,102,57.95,19,10.8,18,10.23,19042
19,43,305,44,14.43,213,69.84,33,10.82,15,4.92,19043
19,44,181,77,42.54,61,33.7,33,18.23,10,5.52,19044
19,45,208,86,41.35,75,36.06,34,16.35,13,6.25,19045
19,46,210,66,31.43,88,41.9,42,20.0,14,6.67,19046
19,47,363,62,17.08,221,60.88,51,14.05,29,7.99,19047
19,48,256,40,15.63,162,63.28,34,13.28,20,7.81,19048
19,49,330,45,13.64,237,71.82,29,8.79,19,5.76,19049
19,50,147,48,32.65,52,35.37,34,23.13,13,8.84,19050
19,51,238,94,39.5,83,34.87,47,19.75,14,5.88,19051
19,52,180,86,47.78,45,25.0,34,18.89,15,8.33,19052
19,53,202,81,40.1,71,35.15,38,18.81,12,5.94,19053
19,54,117,63,53.85,23,19.66,16,13.68,15,12.82,19054
19,55,143,50,34.97,50,34.97,30,20.98,13,9.09,19055
19,56,252,54,21.43,139,55.16,32,12.7,27,10.71,19056
19,57,210,43,20.48,120,57.14,24,11.43,23,10.95,19057
20,1,194,35,18.04,115,59.28,33,17.01,11,5.67,20001
20,2,71,14,19.72,46,64.79,7,9.86,4,5.63,20002
20,3,151,23,15.23,76,50.33,31,20.53,21,13.91,20003
20,4,69,12,17.39,34,49.28,14,20.29,9,13.04,20004
20,5,203,32,15.76,105,51.72,40,19.7,26,12.81,20005
20,6,70,17,24.29,35,50.0,10,14.29,8,11.43,20006
20,7,149,26,17.45,81,54.36,29,19.46,13,8.72,20007
20,8,185,33,17.84,105,56.76,35,18.92,12,6.49,20008
20,9,250,42,16.8,136,54.4,47,18.8,25,10.0,20009
20,10,133,33,24.81,65,48.87,27,20.3,8,6.02,20010
20,11,195,38,19.49,109,55.9,32,16.41,16,8.21,20011
20,12,106,23,21.7,53,50.0,21,19.81,9,8.49,20012
20,13,185,49,26.49,90,48.65,34,18.38,12,6.49,20013
20,14,90,30,33.33,36,40.0,14,15.56,10,11.11,20014
20,15,114,46,40.35,33,28.95,17,14.91,18,15.79,20015
20,16,198,29,14.65,108,54.55,40,20.2,21,10.61,20016
20,17,86,23,26.74,46,53.49,11,12.79,6,6.98,20017
20,18,124,20,16.13,75,60.48,22,17.74,7,5.65,20018
20,19,134,27,20.15,72,53.73,25,18.66,10,7.46,20019
20,20,104,47,45.19,18,17.31,22,21.15,17,16.35,20020
20,21,95,16,16.84,54,56.84,20,21.05,5,5.26,20021
