ward,precinct,total,Brian Terrence Sexton,Brian Terrence Sexton Percent,Peter Michael Gonzalez,Peter Michael Gonzalez Percent,precinct_id
1,1,185,31,16.76,106,57.3,01001
1,2,148,26,17.57,92,62.16,01002
1,3,202,40,19.8,92,45.54,01003
1,4,189,33,17.46,111,58.73,01004
1,5,165,44,26.67,74,44.85,01005
1,6,160,30,18.75,89,55.63,01006
1,7,123,23,18.7,66,53.66,01007
1,8,157,34,21.66,74,47.13,01008
1,9,160,23,14.38,97,60.63,01009
1,10,161,33,20.5,79,49.07,01010
1,11,187,38,20.32,83,44.39,01011
1,12,214,44,20.56,92,42.99,01012
1,13,92,15,16.3,53,57.61,01013
1,14,172,40,23.26,86,50.0,01014
1,15,170,27,15.88,100,58.82,01015
1,16,207,33,15.94,120,57.97,01016
1,17,174,23,13.22,95,54.6,01017
1,18,186,26,13.98,97,52.15,01018
1,19,214,37,17.29,110,51.4,01019
1,20,155,27,17.42,82,52.9,01020
1,21,171,38,22.22,75,43.86,01021
1,22,126,13,10.32,82,65.08,01022
1,23,272,43,15.81,147,54.04,01023
1,24,168,22,13.1,108,64.29,01024
1,25,165,19,11.52,89,53.94,01025
1,26,111,22,19.82,67,60.36,01026
1,27,174,33,18.97,91,52.3,01027
1,28,72,10,13.89,53,73.61,01028
1,29,200,49,24.5,86,43.0,01029
1,30,212,32,15.09,125,58.96,01030
1,31,199,40,20.1,113,56.78,01031
1,32,158,31,19.62,73,46.2,01032
1,33,196,57,29.08,93,47.45,01033
1,34,182,52,28.57,89,48.9,01034
1,35,198,44,22.22,93,46.97,01035
1,36,164,23,14.02,84,51.22,01036
1,37,179,32,17.88,97,54.19,01037
1,38,158,26,16.46,86,54.43,01038
1,39,147,30,20.41,80,54.42,01039
1,40,197,39,19.8,114,57.87,01040
1,41,131,20,15.27,69,52.67,01041
1,42,52,9,17.31,28,53.85,01042
1,43,112,22,19.64,60,53.57,01043
1,44,176,29,16.48,92,52.27,01044
2,1,168,32,19.05,86,51.19,02001
2,2,148,44,29.73,65,43.92,02002
2,3,205,56,27.32,85,41.46,02003
2,4,141,33,23.4,69,48.94,02004
2,5,198,35,17.68,109,55.05,02005
2,6,147,22,14.97,93,63.27,02006
2,7,159,36,22.64,88,55.35,02007
2,8,176,29,16.48,102,57.95,02008
2,9,97,29,29.9,51,52.58,02009
2,10,142,35,24.65,70,49.3,02010
2,11,175,59,33.71,72,41.14,02011
2,12,180,57,31.67,95,52.78,02012
2,13,164,45,27.44,88,53.66,02013
2,14,196,38,19.39,100,51.02,02014
2,15,184,47,25.54,74,40.22,02015
2,16,163,45,27.61,83,50.92,02016
2,17,235,49,20.85,104,44.26,02017
2,18,157,45,28.66,75,47.77,02018
2,19,113,29,25.66,71,62.83,02019
2,20,126,35,27.78,53,42.06,02020
2,21,197,33,16.75,101,51.27,02021
2,22,149,50,33.56,66,44.3,02022
2,23,128,38,29.69,42,32.81,02023
2,24,149,45,30.2,78,52.35,02024
2,25,168,43,25.6,81,48.21,02025
2,26,120,32,26.67,64,53.33,02026
2,27,131,37,28.24,69,52.67,02027
2,28,160,45,28.13,73,45.63,02028
2,29,173,48,27.75,78,45.09,02029
2,30,144,41,28.47,68,47.22,02030
2,31,223,58,26.01,108,48.43,02031
2,32,131,37,28.24,60,45.8,02032
2,33,275,69,25.09,138,50.18,02033
2,34,194,53,27.32,94,48.45,02034
2,35,154,43,27.92,75,48.7,02035
2,36,127,28,22.05,66,51.97,02036
2,37,157,40,25.48,84,53.5,02037
2,38,125,33,26.4,65,52.0,02038
2,39,99,28,28.28,52,52.53,02039
2,40,160,42,26.25,93,58.13,02040
2,41,107,44,41.12,46,42.99,02041
2,42,132,37,28.03,68,51.52,02042
2,43,154,33,21.43,83,53.9,02043
2,44,96,26,27.08,45,46.88,02044
2,45,174,48,27.59,84,48.28,02045
2,46,82,27,32.93,33,40.24,02046
3,1,284,93,32.75,154,54.23,03001
3,2,334,119,35.63,173,51.8,03002
3,3,171,60,35.09,97,56.73,03003
3,4,250,93,37.2,127,50.8,03004
3,5,119,35,29.41,72,60.5,03005
3,6,212,53,25.0,120,56.6,03006
3,7,183,70,38.25,82,44.81,03007
3,8,153,61,39.87,62,40.52,03008
3,9,214,70,32.71,119,55.61,03009
3,10,109,40,36.7,58,53.21,03010
3,11,212,81,38.21,101,47.64,03011
3,12,269,109,40.52,124,46.1,03012
3,13,254,66,25.98,130,51.18,03013
3,14,186,56,30.11,89,47.85,03014
3,15,196,72,36.73,97,49.49,03015
3,16,189,62,32.8,94,49.74,03016
3,17,202,59,29.21,99,49.01,03017
3,18,268,94,35.07,139,51.87,03018
