ward,precinct,total,Tom Sam Sianis,Tom Sam Sianis Percent,Timothy John Leeming,Timothy John Leeming Percent,Corri Diane Fetman,Corri Diane Fetman Percent,precinct_id
1,1,181,56,30.94,65,35.91,60,33.15,01001
1,2,148,46,31.08,41,27.7,61,41.22,01002
1,3,208,66,31.73,78,37.5,64,30.77,01003
1,4,189,55,29.1,74,39.15,60,31.75,01004
1,5,166,39,23.49,67,40.36,60,36.14,01005
1,6,160,56,35.0,57,35.63,47,29.38,01006
1,7,128,41,32.03,53,41.41,34,26.56,01007
1,8,161,46,28.57,67,41.61,48,29.81,01008
1,9,159,62,38.99,56,35.22,41,25.79,01009
1,10,154,48,31.17,71,46.1,35,22.73,01010
1,11,197,49,24.87,93,47.21,55,27.92,01011
1,12,219,63,28.77,92,42.01,64,29.22,01012
1,13,90,25,27.78,31,34.44,34,37.78,01013
1,14,177,52,29.38,73,41.24,52,29.38,01014
1,15,172,58,33.72,56,32.56,58,33.72,01015
1,16,204,53,25.98,94,46.08,57,27.94,01016
1,17,164,42,25.61,72,43.9,50,30.49,01017
1,18,197,50,25.38,84,42.64,63,31.98,01018
1,19,211,60,28.44,91,43.13,60,28.44,01019
1,20,158,48,30.38,58,36.71,52,32.91,01020
1,21,177,47,26.55,65,36.72,65,36.72,01021
1,22,127,49,38.58,38,29.92,40,31.5,01022
1,23,279,95,34.05,88,31.54,96,34.41,01023
1,24,159,49,30.82,60,37.74,50,31.45,01024
1,25,166,46,27.71,64,38.55,56,33.73,01025
1,26,114,42,36.84,33,28.95,39,34.21,01026
1,27,182,62,34.07,60,32.97,60,32.97,01027
1,28,70,25,35.71,27,38.57,18,25.71,01028
1,29,204,62,30.39,78,38.24,64,31.37,01029
1,30,209,69,33.01,62,29.67,78,37.32,01030
1,31,208,73,35.1,59,28.37,76,36.54,01031
1,32,170,61,35.88,51,30.0,58,34.12,01032
1,33,203,70,34.48,70,34.48,63,31.03,01033
1,34,177,61,34.46,67,37.85,49,27.68,01034
1,35,204,81,39.71,61,29.9,62,30.39,01035
1,36,168,60,35.71,60,35.71,48,28.57,01036
1,37,182,50,27.47,69,37.91,63,34.62,01037
1,38,162,55,33.95,52,32.1,55,33.95,01038
1,39,147,46,31.29,55,37.41,46,31.29,01039
1,40,190,77,40.53,63,33.16,50,26.32,01040
1,41,130,30,23.08,60,46.15,40,30.77,01041
1,42,54,22,40.74,15,27.78,17,31.48,01042
1,43,110,41,37.27,33,30.0,36,32.73,01043
1,44,184,66,35.87,65,35.33,53,28.8,01044
2,1,171,60,35.09,57,33.33,54,31.58,02001
2,2,153,39,25.49,64,41.83,50,32.68,02002
2,3,207,61,29.47,78,37.68,68,32.85,02003
2,4,142,44,30.99,49,34.51,49,34.51,02004
2,5,203,73,35.96,68,33.5,62,30.54,02005
2,6,148,55,37.16,46,31.08,47,31.76,02006
2,7,157,57,36.31,59,37.58,41,26.11,02007
2,8,177,60,33.9,57,32.2,60,33.9,02008
2,9,111,35,31.53,45,40.54,31,27.93,02009
2,10,153,58,37.91,56,36.6,39,25.49,02010
2,11,182,55,30.22,63,34.62,64,35.16,02011
2,12,188,58,30.85,72,38.3,58,30.85,02012
2,13,170,54,31.76,71,41.76,45,26.47,02013
2,14,203,78,38.42,72,35.47,53,26.11,02014
2,15,186,64,34.41,75,40.32,47,25.27,02015
2,16,163,45,27.61,55,33.74,63,38.65,02016
2,17,245,85,34.69,104,42.45,56,22.86,02017
2,18,167,46,27.54,65,38.92,56,33.53,02018
2,19,116,30,25.86,47,40.52,39,33.62,02019
2,20,133,43,32.33,47,35.34,43,32.33,02020
2,21,205,78,38.05,82,40.0,45,21.95,02021
2,22,159,45,28.3,60,37.74,54,33.96,02022
2,23,132,35,26.52,54,40.91,43,32.58,02023
2,24,152,44,28.95,51,33.55,57,37.5,02024
2,25,175,57,32.57,68,38.86,50,28.57,02025
2,26,122,41,33.61,41,33.61,40,32.79,02026
2,27,136,39,28.68,43,31.62,54,39.71,02027
2,28,169,51,30.18,73,43.2,45,26.63,02028
2,29,179,71,39.66,51,28.49,57,31.84,02029
2,30,144,53,36.81,58,40.28,33,22.92,02030
2,31,236,62,26.27,111,47.03,63,26.69,02031
2,32,132,34,25.76,57,43.18,41,31.06,02032
2,33,280,88,31.43,129,46.07,63,22.5,02033
2,34,199,56,28.14,100,50.25,43,21.61,02034
2,35,153,47,30.72,61,39.87,45,29.41,02035
2,36,136,39,28.68,46,33.82,51,37.5,02036
2,37,166,52,31.33,53,31.93,61,36.75,02037
2,38,127,47,37.01,46,36.22,34,26.77,02038
2,39,109,37,33.94,30,27.52,42,38.53,02039
