ward,precinct,total,Melissa Conyears-Ervin,Melissa Conyears-Ervin Percent,precinct_id
1,8,118,118,100.0,01008
1,11,34,34,100.0,01011
1,12,226,226,100.0,01012
1,21,18,18,100.0,01021
1,32,33,33,100.0,01032
1,33,5,5,100.0,01033
1,37,32,32,100.0,01037
2,1,120,120,100.0,02001
2,6,150,150,100.0,02006
2,7,160,160,100.0,02007
2,8,171,171,100.0,02008
2,15,157,157,100.0,02015
2,17,196,196,100.0,02017
2,20,83,83,100.0,02020
2,25,179,179,100.0,02025
24,17,30,30,100.0,24017
24,19,166,166,100.0,24019
24,20,74,74,100.0,24020
24,32,69,69,100.0,24032
24,41,111,111,100.0,24041
26,4,9,9,100.0,26004
26,17,100,100,100.0,26017
26,19,40,40,100.0,26019
26,28,154,154,100.0,26028
26,46,84,84,100.0,26046
27,1,156,156,100.0,27001
27,3,93,93,100.0,27003
27,4,79,79,100.0,27004
27,5,110,110,100.0,27005
27,8,102,102,100.0,27008
27,10,132,132,100.0,27010
27,11,87,87,100.0,27011
27,13,176,176,100.0,27013
27,14,58,58,100.0,27014
27,15,67,67,100.0,27015
27,16,24,24,100.0,27016
27,17,134,134,100.0,27017
27,19,60,60,100.0,27019
27,22,86,86,100.0,27022
27,23,122,122,100.0,27023
27,24,74,74,100.0,27024
27,25,106,106,100.0,27025
27,26,139,139,100.0,27026
27,27,151,151,100.0,27027
27,29,88,88,100.0,27029
27,30,81,81,100.0,27030
27,31,122,122,100.0,27031
27,32,120,120,100.0,27032
27,33,85,85,100.0,27033
27,34,110,110,100.0,27034
27,35,142,142,100.0,27035
27,36,121,121,100.0,27036
27,37,9,9,100.0,27037
27,39,123,123,100.0,27039
27,40,137,137,100.0,27040
27,43,88,88,100.0,27043
27,44,91,91,100.0,27044
27,45,16,16,100.0,27045
27,49,115,115,100.0,27049
27,50,136,136,100.0,27050
28,1,0,0,0.0,28001
28,2,112,112,100.0,28002
28,3,103,103,100.0,28003
28,7,112,112,100.0,28007
28,9,119,119,100.0,28009
28,13,136,136,100.0,28013
28,15,45,45,100.0,28015
28,16,87,87,100.0,28016
28,17,96,96,100.0,28017
28,20,123,123,100.0,28020
28,21,113,113,100.0,28021
28,22,122,122,100.0,28022
28,23,146,146,100.0,28023
28,24,117,117,100.0,28024
28,25,209,209,100.0,28025
28,26,148,148,100.0,28026
28,30,33,33,100.0,28030
28,32,110,110,100.0,28032
28,33,157,157,100.0,28033
28,36,73,73,100.0,28036
28,37,173,173,100.0,28037
28,38,60,60,100.0,28038
28,40,176,176,100.0,28040
28,42,47,47,100.0,28042
28,44,97,97,100.0,28044
29,6,3,3,100.0,29006
32,2,161,161,100.0,32002
32,4,173,173,100.0,32004
32,5,175,175,100.0,32005
32,6,200,200,100.0,32006
32,29,160,160,100.0,32029
32,31,187,187,100.0,32031
32,32,194,194,100.0,32032
32,33,97,97,100.0,32033
32,34,169,169,100.0,32034
32,35,158,158,100.0,32035
32,36,177,177,100.0,32036
32,37,70,70,100.0,32037
37,2,84,84,100.0,37002
37,3,101,101,100.0,37003
37,4,97,97,100.0,37004
37,7,89,89,100.0,37007
37,8,84,84,100.0,37008
37,12,75,75,100.0,37012
37,13,111,111,100.0,37013
37,14,2,2,100.0,37014
37,19,106,106,100.0,37019
37,20,28,28,100.0,37020
37,21,125,125,100.0,37021
37,22,12,12,100.0,37022
37,27,2,2,100.0,37027
37,28,114,114,100.0,37028
37,30,4,4,100.0,37030
43,5,114,114,100.0,43005
43,7,120,120,100.0,43007
43,10,212,212,100.0,43010
43,11,96,96,100.0,43011
43,23,123,123,100.0,43023
