ward,precinct,total,Ram Villivalam,Ram Villivalam Percent,Ira I. Silverstein,Ira I. Silverstein Percent,Caroline McAteer-Fournier,Caroline McAteer-Fournier Percent,precinct_id
33,2,138,72,52.17,30,21.74,28,20.29,33002
33,7,54,12,22.22,13,24.07,18,33.33,33007
35,30,37,4,10.81,18,48.65,12,32.43,35030
39,1,240,122,50.83,35,14.58,59,24.58,39001
39,2,195,86,44.1,42,21.54,38,19.49,39002
39,4,230,103,44.78,54,23.48,53,23.04,39004
39,5,199,121,60.8,41,20.6,22,11.06,39005
39,6,214,131,61.21,44,20.56,31,14.49,39006
39,7,171,101,59.06,43,25.15,20,11.7,39007
39,8,214,132,61.68,49,22.9,26,12.15,39008
39,9,180,100,55.56,39,21.67,26,14.44,39009
39,10,117,71,60.68,30,25.64,13,11.11,39010
39,11,172,99,57.56,40,23.26,21,12.21,39011
39,12,123,70,56.91,30,24.39,16,13.01,39012
39,13,151,85,56.29,41,27.15,21,13.91,39013
39,14,170,110,64.71,34,20.0,22,12.94,39014
39,15,214,79,36.92,32,14.95,40,18.69,39015
39,16,136,62,45.59,41,30.15,20,14.71,39016
39,17,245,163,66.53,37,15.1,34,13.88,39017
39,18,244,141,57.79,69,28.28,27,11.07,39018
39,19,221,127,57.47,49,22.17,34,15.38,39019
39,24,22,10,45.45,8,36.36,3,13.64,39024
39,25,29,14,48.28,6,20.69,6,20.69,39025
39,26,203,85,41.87,41,20.2,64,31.53,39026
39,27,59,30,50.85,13,22.03,10,16.95,39027
39,29,116,35,30.17,36,31.03,34,29.31,39029
39,30,183,119,65.03,34,18.58,26,14.21,39030
39,31,24,12,50.0,3,12.5,8,33.33,39031
39,32,204,100,49.02,73,35.78,18,8.82,39032
39,33,241,128,53.11,83,34.44,25,10.37,39033
39,35,203,126,62.07,54,26.6,18,8.87,39035
39,36,62,28,45.16,19,30.65,13,20.97,39036
39,37,275,127,46.18,50,18.18,63,22.91,39037
39,38,157,79,50.32,33,21.02,37,23.57,39038
39,39,132,68,51.52,25,18.94,33,25.0,39039
39,40,190,89,46.84,27,14.21,50,26.32,39040
39,41,222,127,57.21,42,18.92,32,14.41,39041
39,42,283,108,38.16,39,13.78,54,19.08,39042
39,43,242,143,59.09,47,19.42,35,14.46,39043
39,44,169,90,53.25,27,15.98,37,21.89,39044
39,45,219,117,53.42,33,15.07,41,18.72,39045
40,4,116,74,63.79,26,22.41,12,10.34,40004
40,10,138,64,46.38,52,37.68,14,10.14,40010
40,29,0,0,0.0,0,0.0,0,0.0,40029
40,35,0,0,0.0,0,0.0,0,0.0,40035
40,39,49,15,30.61,18,36.73,11,22.45,40039
41,6,278,131,47.12,52,18.71,54,19.42,41006
41,9,187,94,50.27,37,19.79,40,21.39,41009
41,14,254,134,52.76,63,24.8,49,19.29,41014
41,19,260,150,57.69,48,18.46,41,15.77,41019
41,32,155,69,44.52,32,20.65,38,24.52,41032
41,39,236,93,39.41,58,24.58,51,21.61,41039
41,47,227,107,47.14,48,21.15,52,22.91,41047
45,32,17,5,29.41,4,23.53,5,29.41,45032
50,1,251,90,35.86,145,57.77,12,4.78,50001
50,2,145,52,35.86,84,57.93,5,3.45,50002
50,3,235,73,31.06,148,62.98,10,4.26,50003
50,4,239,132,55.23,85,35.56,19,7.95,50004
50,5,181,50,27.62,126,69.61,3,1.66,50005
50,6,255,125,49.02,88,34.51,35,13.73,50006
50,7,296,196,66.22,55,18.58,37,12.5,50007
50,8,29,13,44.83,9,31.03,3,10.34,50008
50,9,191,93,48.69,81,42.41,12,6.28,50009
50,10,177,58,32.77,109,61.58,4,2.26,50010
50,11,207,31,14.98,169,81.64,5,2.42,50011
50,12,119,49,41.18,58,48.74,10,8.4,50012
50,13,173,80,46.24,56,32.37,29,16.76,50013
50,14,75,15,20.0,50,66.67,8,10.67,50014
50,15,296,199,67.23,59,19.93,29,9.8,50015
50,16,86,19,22.09,57,66.28,7,8.14,50016
50,17,162,47,29.01,96,59.26,13,8.02,50017
50,18,94,4,4.26,86,91.49,3,3.19,50018
50,19,122,67,54.92,37,30.33,11,9.02,50019
50,20,212,125,58.96,60,28.3,24,11.32,50020
50,21,192,107,55.73,61,31.77,18,9.38,50021
50,22,179,49,27.37,121,67.6,7,3.91,50022
50,23,120,46,38.33,58,48.33,15,12.5,50023
50,24,232,37,15.95,187,80.6,8,3.45,50024
50,25,227,61,26.87,149,65.64,12,5.29,50025
50,26,161,65,40.37,64,39.75,16,9.94,50026
50,27,67,26,38.81,34,50.75,6,8.96,50027
50,28,171,73,42.69,69,40.35,17,9.94,50028
50,29,124,53,42.74,55,44.35,12,9.68,50029
50,30,145,70,48.28,62,42.76,9,6.21,50030
50,31,209,99,47.37,77,36.84,22,10.53,50031
50,32,178,86,48.31,56,31.46,25,14.04,50032
50,33,244,77,31.56,156,63.93,6,2.46,50033
50,34,324,171,52.78,117,36.11,31,9.57,50034
50,35,290,160,55.17,82,28.28,43,14.83,50035
50,36,223,120,53.81,75,33.63,19,8.52,50036
50,37,218,124,56.88,60,27.52,25,11.47,50037
50,38,117,46,39.32,58,49.57,11,9.4,50038
50,39,116,42,36.21,64,55.17,7,6.03,50039
50,40,291,50,17.18,231,79.38,5,1.72,50040
