ward,precinct,total,Michael Cabonargi,Michael Cabonargi Percent,precinct_id
40,4,101,101,100.0,40004
40,9,116,116,100.0,40009
40,10,101,101,100.0,40010
40,18,133,133,100.0,40018
40,22,223,223,100.0,40022
40,25,48,48,100.0,40025
40,26,230,230,100.0,40026
40,27,260,260,100.0,40027
40,28,237,237,100.0,40028
40,31,187,187,100.0,40031
40,33,268,268,100.0,40033
40,35,107,107,100.0,40035
40,36,201,201,100.0,40036
40,37,185,185,100.0,40037
40,39,43,43,100.0,40039
41,1,124,124,100.0,41001
41,2,134,134,100.0,41002
41,4,172,172,100.0,41004
41,5,148,148,100.0,41005
41,7,158,158,100.0,41007
41,8,154,154,100.0,41008
41,10,197,197,100.0,41010
41,11,98,98,100.0,41011
41,13,142,142,100.0,41013
41,15,190,190,100.0,41015
41,17,23,23,100.0,41017
41,18,126,126,100.0,41018
41,20,123,123,100.0,41020
41,23,53,53,100.0,41023
41,25,74,74,100.0,41025
41,28,105,105,100.0,41028
41,29,74,74,100.0,41029
41,31,178,178,100.0,41031
41,33,20,20,100.0,41033
41,34,138,138,100.0,41034
41,36,160,160,100.0,41036
41,37,170,170,100.0,41037
41,40,172,172,100.0,41040
41,41,116,116,100.0,41041
41,42,134,134,100.0,41042
41,43,140,140,100.0,41043
41,44,147,147,100.0,41044
41,45,67,67,100.0,41045
44,3,174,174,100.0,44003
44,4,188,188,100.0,44004
44,7,154,154,100.0,44007
44,24,170,170,100.0,44024
44,35,268,268,100.0,44035
46,1,172,172,100.0,46001
46,2,199,199,100.0,46002
46,4,200,200,100.0,46004
46,5,2,2,100.0,46005
46,6,140,140,100.0,46006
46,7,247,247,100.0,46007
46,8,146,146,100.0,46008
46,9,235,235,100.0,46009
46,11,168,168,100.0,46011
46,12,215,215,100.0,46012
46,13,187,187,100.0,46013
46,14,192,192,100.0,46014
46,15,200,200,100.0,46015
46,16,140,140,100.0,46016
46,17,254,254,100.0,46017
46,18,220,220,100.0,46018
46,20,162,162,100.0,46020
46,21,125,125,100.0,46021
46,22,116,116,100.0,46022
46,23,161,161,100.0,46023
46,24,166,166,100.0,46024
46,25,185,185,100.0,46025
46,26,210,210,100.0,46026
46,27,257,257,100.0,46027
46,29,174,174,100.0,46029
46,32,178,178,100.0,46032
46,34,216,216,100.0,46034
46,35,190,190,100.0,46035
46,37,157,157,100.0,46037
46,38,29,29,100.0,46038
46,40,211,211,100.0,46040
47,15,331,331,100.0,47015
47,19,305,305,100.0,47019
47,23,295,295,100.0,47023
47,30,155,155,100.0,47030
48,1,243,243,100.0,48001
48,2,111,111,100.0,48002
48,3,230,230,100.0,48003
48,4,228,228,100.0,48004
48,5,154,154,100.0,48005
48,6,275,275,100.0,48006
48,7,251,251,100.0,48007
48,8,138,138,100.0,48008
48,9,141,141,100.0,48009
48,10,344,344,100.0,48010
48,11,230,230,100.0,48011
48,12,285,285,100.0,48012
48,13,295,295,100.0,48013
48,14,123,123,100.0,48014
48,15,123,123,100.0,48015
48,16,216,216,100.0,48016
48,17,227,227,100.0,48017
48,18,159,159,100.0,48018
48,19,216,216,100.0,48019
48,20,308,308,100.0,48020
48,21,231,231,100.0,48021
48,22,258,258,100.0,48022
48,23,259,259,100.0,48023
48,24,210,210,100.0,48024
48,25,260,260,100.0,48025
48,26,92,92,100.0,48026
48,27,241,241,100.0,48027
48,28,221,221,100.0,48028
48,29,146,146,100.0,48029
48,30,227,227,100.0,48030
48,31,241,241,100.0,48031
48,32,223,223,100.0,48032
48,33,166,166,100.0,48033
48,34,199,199,100.0,48034
48,35,139,139,100.0,48035
48,36,158,158,100.0,48036
48,37,227,227,100.0,48037
48,38,295,295,100.0,48038
48,39,189,189,100.0,48039
48,40,234,234,100.0,48040
48,41,228,228,100.0,48041
48,42,322,322,100.0,48042
48,43,230,230,100.0,48043
48,44,310,310,100.0,48044
48,45,203,203,100.0,48045
48,46,144,144,100.0,48046
49,1,126,126,100.0,49001
49,2,145,145,100.0,49002
49,3,255,255,100.0,49003
49,4,265,265,100.0,49004
49,5,260,260,100.0,49005
49,6,217,217,100.0,49006
49,7,225,225,100.0,49007
49,8,158,158,100.0,49008
49,9,229,229,100.0,49009
49,10,251,251,100.0,49010
49,11,300,300,100.0,49011
49,12,326,326,100.0,49012
49,13,275,275,100.0,49013
49,14,200,200,100.0,49014
49,15,151,151,100.0,49015
49,16,243,243,100.0,49016
49,17,127,127,100.0,49017
49,18,313,313,100.0,49018
49,19,163,163,100.0,49019
49,20,355,355,100.0,49020
49,21,115,115,100.0,49021
49,22,242,242,100.0,49022
49,23,292,292,100.0,49023
49,24,149,149,100.0,49024
49,25,287,287,100.0,49025
49,26,250,250,100.0,49026
49,27,244,244,100.0,49027
49,28,295,295,100.0,49028
49,29,277,277,100.0,49029
49,30,279,279,100.0,49030
49,31,180,180,100.0,49031
49,32,222,222,100.0,49032
49,33,185,185,100.0,49033
50,1,138,138,100.0,50001
50,2,97,97,100.0,50002
50,3,141,141,100.0,50003
50,4,177,177,100.0,50004
50,5,92,92,100.0,50005
50,6,185,185,100.0,50006
50,7,246,246,100.0,50007
50,8,134,134,100.0,50008
50,9,137,137,100.0,50009
50,10,96,96,100.0,50010
50,11,101,101,100.0,50011
50,12,71,71,100.0,50012
50,13,131,131,100.0,50013
50,14,45,45,100.0,50014
50,15,215,215,100.0,50015
50,16,50,50,100.0,50016
