ward,precinct,total,Kelly M. Burke,Kelly M. Burke Percent,precinct_id
17,18,3,3,100.0,17018
18,9,126,126,100.0,18009
18,19,11,11,100.0,18019
18,26,60,60,100.0,18026
18,32,180,180,100.0,18032
18,34,233,233,100.0,18034
19,3,134,134,100.0,19003
19,5,302,302,100.0,19005
19,9,183,183,100.0,19009
19,12,162,162,100.0,19012
19,16,11,11,100.0,19016
19,18,34,34,100.0,19018
19,24,163,163,100.0,19024
19,30,8,8,100.0,19030
19,33,30,30,100.0,19033
19,55,158,158,100.0,19055
19,56,194,194,100.0,19056
21,3,0,0,0.0,21003
21,7,201,201,100.0,21007
21,9,201,201,100.0,21009
21,13,147,147,100.0,21013
21,15,44,44,100.0,21015
21,26,15,15,100.0,21026
21,29,117,117,100.0,21029
