ward,precinct,total,Debra A. Seaton,Debra A. Seaton Percent,Sheree D. Henry,Sheree D. Henry Percent,Ubi O'Neal,Ubi O'Neal Percent,precinct_id
9,1,194,115,59.28,60,30.93,19,9.79,09001
9,2,172,87,50.58,73,42.44,12,6.98,09002
9,3,118,67,56.78,40,33.9,11,9.32,09003
9,4,138,86,62.32,36,26.09,16,11.59,09004
9,5,197,113,57.36,67,34.01,17,8.63,09005
9,6,181,93,51.38,72,39.78,16,8.84,09006
9,7,149,103,69.13,31,20.81,15,10.07,09007
9,8,171,84,49.12,71,41.52,16,9.36,09008
9,9,226,133,58.85,75,33.19,18,7.96,09009
9,10,143,85,59.44,48,33.57,10,6.99,09010
9,11,142,83,58.45,47,33.1,12,8.45,09011
9,13,11,9,81.82,1,9.09,1,9.09,09013
9,14,41,26,63.41,13,31.71,2,4.88,09014
9,15,110,56,50.91,47,42.73,7,6.36,09015
9,16,181,107,59.12,56,30.94,18,9.94,09016
9,17,124,78,62.9,37,29.84,9,7.26,09017
9,18,129,84,65.12,35,27.13,10,7.75,09018
9,19,177,105,59.32,62,35.03,10,5.65,09019
9,20,216,132,61.11,63,29.17,21,9.72,09020
9,21,167,86,51.5,63,37.72,18,10.78,09021
9,22,209,133,63.64,66,31.58,10,4.78,09022
9,26,139,89,64.03,36,25.9,14,10.07,09026
9,27,178,111,62.36,56,31.46,11,6.18,09027
9,28,103,63,61.17,32,31.07,8,7.77,09028
9,29,149,82,55.03,51,34.23,16,10.74,09029
9,30,139,84,60.43,47,33.81,8,5.76,09030
9,31,131,95,72.52,26,19.85,10,7.63,09031
9,32,209,121,57.89,70,33.49,18,8.61,09032
9,33,133,77,57.89,41,30.83,15,11.28,09033
9,34,136,89,65.44,29,21.32,18,13.24,09034
9,35,82,44,53.66,30,36.59,8,9.76,09035
9,37,253,153,60.47,74,29.25,26,10.28,09037
9,38,172,114,66.28,51,29.65,7,4.07,09038
9,39,222,118,53.15,87,39.19,17,7.66,09039
9,40,238,150,63.03,69,28.99,19,7.98,09040
9,41,155,105,67.74,35,22.58,15,9.68,09041
9,43,158,95,60.13,49,31.01,14,8.86,09043
9,44,185,122,65.95,47,25.41,16,8.65,09044
9,45,139,81,58.27,44,31.65,14,10.07,09045
9,46,189,134,70.9,38,20.11,17,8.99,09046
19,28,177,111,62.71,49,27.68,17,9.6,19028
19,43,45,27,60.0,10,22.22,8,17.78,19043
21,1,223,116,52.02,83,37.22,24,10.76,21001
21,2,52,33,63.46,16,30.77,3,5.77,21002
21,3,222,122,54.95,82,36.94,18,8.11,21003
21,5,242,137,56.61,85,35.12,20,8.26,21005
21,6,156,90,57.69,54,34.62,12,7.69,21006
21,7,225,131,58.22,75,33.33,19,8.44,21007
21,8,217,133,61.29,66,30.41,18,8.29,21008
21,9,236,131,55.51,82,34.75,23,9.75,21009
21,10,179,104,58.1,52,29.05,23,12.85,21010
21,11,176,105,59.66,51,28.98,20,11.36,21011
21,12,169,93,55.03,56,33.14,20,11.83,21012
21,13,105,52,49.52,44,41.9,9,8.57,21013
21,14,256,141,55.08,94,36.72,21,8.2,21014
