ward,precinct,total,Lou Lang,Lou Lang Percent,precinct_id
40,4,98,98,100.0,40004
40,10,112,112,100.0,40010
40,29,0,0,0.0,40029
40,35,0,0,0.0,40035
40,39,38,38,100.0,40039
50,1,173,173,100.0,50001
50,2,114,114,100.0,50002
50,3,172,172,100.0,50003
50,4,194,194,100.0,50004
50,5,131,131,100.0,50005
50,6,215,215,100.0,50006
50,7,252,252,100.0,50007
50,8,24,24,100.0,50008
50,9,154,154,100.0,50009
50,10,128,128,100.0,50010
50,11,148,148,100.0,50011
50,12,93,93,100.0,50012
50,13,145,145,100.0,50013
50,14,54,54,100.0,50014
50,15,251,251,100.0,50015
50,16,65,65,100.0,50016
50,17,118,118,100.0,50017
50,18,67,67,100.0,50018
50,19,100,100,100.0,50019
50,20,173,173,100.0,50020
50,21,150,150,100.0,50021
50,22,122,122,100.0,50022
50,23,98,98,100.0,50023
50,25,136,136,100.0,50025
50,26,133,133,100.0,50026
50,27,55,55,100.0,50027
50,28,137,137,100.0,50028
50,29,91,91,100.0,50029
50,30,104,104,100.0,50030
50,31,174,174,100.0,50031
50,32,150,150,100.0,50032
50,33,178,178,100.0,50033
50,34,260,260,100.0,50034
50,35,243,243,100.0,50035
50,36,176,176,100.0,50036
50,37,195,195,100.0,50037
50,38,94,94,100.0,50038
50,39,84,84,100.0,50039
50,40,186,186,100.0,50040
