ward,precinct,total,Lindsay Huge,Lindsay Huge Percent,Michael A. Forti,Michael A. Forti Percent,Cyrus Hosseini,Cyrus Hosseini Percent,Athena A. Farmakis,Athena A. Farmakis Percent,precinct_id
42,1,184,59,32.07,84,45.65,3,1.63,38,20.65,42001
42,2,119,43,36.13,40,33.61,4,3.36,32,26.89,42002
42,4,221,87,39.37,67,30.32,13,5.88,54,24.43,42004
42,5,126,45,35.71,42,33.33,3,2.38,36,28.57,42005
42,6,253,72,28.46,106,41.9,7,2.77,68,26.88,42006
42,7,189,76,40.21,66,34.92,6,3.17,41,21.69,42007
42,8,165,53,32.12,78,47.27,3,1.82,31,18.79,42008
42,9,164,63,38.41,51,31.1,7,4.27,43,26.22,42009
42,10,198,56,28.28,81,40.91,4,2.02,57,28.79,42010
42,11,125,32,25.6,56,44.8,7,5.6,30,24.0,42011
42,12,104,33,31.73,40,38.46,4,3.85,27,25.96,42012
42,13,198,58,29.29,92,46.46,3,1.52,45,22.73,42013
42,14,140,48,34.29,45,32.14,3,2.14,44,31.43,42014
42,15,132,51,38.64,48,36.36,3,2.27,30,22.73,42015
42,17,196,76,38.78,63,32.14,7,3.57,50,25.51,42017
42,18,0,0,0.0,0,0.0,0,0.0,0,0.0,42018
42,19,215,74,34.42,93,43.26,5,2.33,43,20.0,42019
42,20,110,47,42.73,32,29.09,6,5.45,25,22.73,42020
42,22,68,13,19.12,29,42.65,0,0.0,26,38.24,42022
42,23,156,51,32.69,60,38.46,7,4.49,38,24.36,42023
42,24,154,54,35.06,59,38.31,4,2.6,37,24.03,42024
42,25,134,53,39.55,41,30.6,9,6.72,31,23.13,42025
42,26,154,70,45.45,35,22.73,8,5.19,41,26.62,42026
42,27,147,40,27.21,45,30.61,4,2.72,58,39.46,42027
42,28,218,82,37.61,74,33.94,10,4.59,52,23.85,42028
42,29,153,52,33.99,55,35.95,4,2.61,42,27.45,42029
42,30,172,63,36.63,63,36.63,5,2.91,41,23.84,42030
42,31,171,64,37.43,55,32.16,6,3.51,46,26.9,42031
42,32,105,43,40.95,26,24.76,4,3.81,32,30.48,42032
42,33,176,60,34.09,62,35.23,9,5.11,45,25.57,42033
42,34,143,59,41.26,62,43.36,4,2.8,18,12.59,42034
42,35,226,88,38.94,62,27.43,13,5.75,63,27.88,42035
42,36,16,6,37.5,6,37.5,0,0.0,4,25.0,42036
42,37,92,37,40.22,30,32.61,4,4.35,21,22.83,42037
42,38,125,53,42.4,32,25.6,1,0.8,39,31.2,42038
42,39,141,54,38.3,55,39.01,2,1.42,30,21.28,42039
42,40,182,76,41.76,54,29.67,6,3.3,46,25.27,42040
42,42,222,89,40.09,61,27.48,11,4.95,61,27.48,42042
43,1,99,33,33.33,35,35.35,4,4.04,27,27.27,43001
43,2,147,58,39.46,42,28.57,4,2.72,43,29.25,43002
