ward,precinct,total,Steven Landek,Steven Landek Percent,precinct_id
12,16,4,4,100.0,12016
13,26,0,0,0.0,13026
13,45,45,45,100.0,13045
22,3,163,163,100.0,22003
22,4,67,67,100.0,22004
22,5,85,85,100.0,22005
22,6,99,99,100.0,22006
22,7,78,78,100.0,22007
22,9,92,92,100.0,22009
22,10,3,3,100.0,22010
22,11,93,93,100.0,22011
22,13,50,50,100.0,22013
22,15,17,17,100.0,22015
22,16,2,2,100.0,22016
22,17,98,98,100.0,22017
22,18,40,40,100.0,22018
22,20,102,102,100.0,22020
22,24,128,128,100.0,22024
22,25,117,117,100.0,22025
