ward,precinct,total,Curtis J. Tarver II,Curtis J. Tarver II Percent,Angelique N. Collins,Angelique N. Collins Percent,Anne Marie Miles,Anne Marie Miles Percent,Adrienne Irmer,Adrienne Irmer Percent,Flynn Rush,Flynn Rush Percent,William Calloway,William Calloway Percent,Grace Chan McKibben,Grace Chan McKibben Percent,precinct_id
4,1,371,90,24.26,32,8.63,24,6.47,78,21.02,36,9.7,6,1.62,105,28.3,04001
4,5,296,151,51.01,50,16.89,9,3.04,25,8.45,30,10.14,9,3.04,22,7.43,04005
4,9,383,123,32.11,64,16.71,27,7.05,52,13.58,73,19.06,13,3.39,31,8.09,04009
4,10,360,156,43.33,56,15.56,14,3.89,50,13.89,54,15.0,10,2.78,20,5.56,04010
4,15,283,90,31.8,49,17.31,9,3.18,29,10.25,78,27.56,11,3.89,17,6.01,04015
4,22,298,78,26.17,21,7.05,20,6.71,60,20.13,42,14.09,11,3.69,66,22.15,04022
4,23,324,64,19.75,19,5.86,12,3.7,75,23.15,31,9.57,8,2.47,115,35.49,04023
4,27,349,106,30.37,21,6.02,21,6.02,65,18.62,47,13.47,9,2.58,80,22.92,04027
4,31,350,98,28.0,39,11.14,21,6.0,54,15.43,71,20.29,11,3.14,56,16.0,04031
4,34,235,80,34.04,24,10.21,17,7.23,41,17.45,45,19.15,8,3.4,20,8.51,04034
5,1,206,40,19.42,21,10.19,18,8.74,21,10.19,47,22.82,51,24.76,8,3.88,05001
5,3,272,41,15.07,16,5.88,18,6.62,57,20.96,19,6.99,7,2.57,114,41.91,05003
5,7,272,54,19.85,65,23.9,18,6.62,38,13.97,63,23.16,9,3.31,25,9.19,05007
5,8,315,65,20.63,14,4.44,36,11.43,80,25.4,10,3.17,1,0.32,109,34.6,05008
5,9,334,53,15.87,36,10.78,12,3.59,51,15.27,59,17.66,7,2.1,116,34.73,05009
5,11,323,71,21.98,15,4.64,33,10.22,74,22.91,31,9.6,17,5.26,82,25.39,05011
5,14,242,79,32.64,26,10.74,12,4.96,57,23.55,37,15.29,19,7.85,12,4.96,05014
5,17,110,27,24.55,22,20.0,19,17.27,5,4.55,21,19.09,10,9.09,6,5.45,05017
5,18,270,57,21.11,19,7.04,22,8.15,38,14.07,35,12.96,11,4.07,88,32.59,05018
5,19,316,54,17.09,14,4.43,12,3.8,49,15.51,13,4.11,3,0.95,171,54.11,05019
5,20,327,82,25.08,30,9.17,20,6.12,89,27.22,38,11.62,10,3.06,58,17.74,05020
5,21,140,22,15.71,15,10.71,17,12.14,28,20.0,19,13.57,2,1.43,37,26.43,05021
5,22,362,76,20.99,46,12.71,44,12.15,76,20.99,40,11.05,7,1.93,73,20.17,05022
5,23,473,83,17.55,36,7.61,37,7.82,112,23.68,61,12.9,14,2.96,130,27.48,05023
5,24,309,82,26.54,35,11.33,17,5.5,47,15.21,36,11.65,6,1.94,86,27.83,05024
5,25,286,80,27.97,37,12.94,26,9.09,59,20.63,48,16.78,17,5.94,19,6.64,05025
5,26,263,51,19.39,43,16.35,17,6.46,28,10.65,68,25.86,50,19.01,6,2.28,05026
5,27,245,35,14.29,10,4.08,23,9.39,68,27.76,10,4.08,3,1.22,96,39.18,05027
5,28,182,54,29.67,20,10.99,15,8.24,42,23.08,23,12.64,22,12.09,6,3.3,05028
5,29,282,56,19.86,24,8.51,17,6.03,45,15.96,70,24.82,57,20.21,13,4.61,05029
5,31,202,34,16.83,23,11.39,16,7.92,28,13.86,50,24.75,47,23.27,4,1.98,05031
5,32,336,90,26.79,32,9.52,40,11.9,57,16.96,67,19.94,43,12.8,7,2.08,05032
5,33,290,50,17.24,65,22.41,19,6.55,24,8.28,111,38.28,13,4.48,8,2.76,05033
5,34,304,58,19.08,7,2.3,28,9.21,82,26.97,9,2.96,5,1.64,115,37.83,05034
5,35,313,66,21.09,20,6.39,24,7.67,69,22.04,34,10.86,2,0.64,98,31.31,05035
5,37,330,53,16.06,22,6.67,40,12.12,83,25.15,32,9.7,19,5.76,81,24.55,05037
5,38,236,42,17.8,32,13.56,12,5.08,22,9.32,69,29.24,52,22.03,7,2.97,05038
5,39,255,47,18.43,11,4.31,18,7.06,55,21.57,31,12.16,2,0.78,91,35.69,05039
5,40,201,51,25.37,20,9.95,14,6.97,27,13.43,49,24.38,33,16.42,7,3.48,05040
5,41,181,46,25.41,21,11.6,25,13.81,20,11.05,23,12.71,8,4.42,38,20.99,05041
7,5,175,46,26.29,18,10.29,9,5.14,15,8.57,52,29.71,26,14.86,9,5.14,07005
7,6,268,81,30.22,34,12.69,17,6.34,21,7.84,76,28.36,26,9.7,13,4.85,07006
7,7,174,42,24.14,25,14.37,14,8.05,12,6.9,51,29.31,24,13.79,6,3.45,07007
7,8,167,57,34.13,20,11.98,12,7.19,13,7.78,37,22.16,18,10.78,10,5.99,07008
7,9,370,103,27.84,64,17.3,36,9.73,31,8.38,79,21.35,42,11.35,15,4.05,07009
7,11,158,43,27.22,18,11.39,8,5.06,10,6.33,52,32.91,23,14.56,4,2.53,07011
7,12,172,48,27.91,24,13.95,12,6.98,16,9.3,45,26.16,18,10.47,9,5.23,07012
7,13,141,39,27.66,24,17.02,20,14.18,12,8.51,24,17.02,12,8.51,10,7.09,07013
7,14,211,70,33.18,25,11.85,17,8.06,13,6.16,62,29.38,16,7.58,8,3.79,07014
7,16,146,59,40.41,13,8.9,13,8.9,9,6.16,36,24.66,13,8.9,3,2.05,07016
7,17,133,54,40.6,14,10.53,11,8.27,5,3.76,30,22.56,14,10.53,5,3.76,07017
7,18,164,52,31.71,15,9.15,12,7.32,15,9.15,46,28.05,21,12.8,3,1.83,07018
7,21,112,29,25.89,12,10.71,15,13.39,12,10.71,35,31.25,6,5.36,3,2.68,07021
7,22,172,43,25.0,40,23.26,20,11.63,17,9.88,34,19.77,15,8.72,3,1.74,07022
7,25,35,14,40.0,3,8.57,5,14.29,2,5.71,8,22.86,2,5.71,1,2.86,07025
7,32,194,76,39.18,55,28.35,10,5.15,13,6.7,27,13.92,10,5.15,3,1.55,07032
7,33,339,172,50.74,49,14.45,26,7.67,26,7.67,41,12.09,19,5.6,6,1.77,07033
7,34,268,127,47.39,39,14.55,12,4.48,14,5.22,43,16.04,27,10.07,6,2.24,07034
7,35,207,76,36.71,36,17.39,15,7.25,13,6.28,46,22.22,15,7.25,6,2.9,07035
7,37,212,72,33.96,35,16.51,17,8.02,10,4.72,38,17.92,27,12.74,13,6.13,07037
7,46,120,36,30.0,13,10.83,10,8.33,8,6.67,34,28.33,14,11.67,5,4.17,07046
10,1,159,32,20.13,20,12.58,27,16.98,25,15.72,29,18.24,17,10.69,9,5.66,10001
10,4,127,26,20.47,13,10.24,19,14.96,21,16.54,30,23.62,7,5.51,11,8.66,10004
10,6,113,18,15.93,9,7.96,26,23.01,15,13.27,13,11.5,12,10.62,20,17.7,10006
10,7,92,6,6.52,17,18.48,23,25.0,15,16.3,8,8.7,8,8.7,15,16.3,10007
10,8,81,18,22.22,17,20.99,11,13.58,5,6.17,16,19.75,8,9.88,6,7.41,10008
10,10,144,19,13.19,21,14.58,25,17.36,16,11.11,17,11.81,20,13.89,26,18.06,10010
10,11,157,23,14.65,26,16.56,30,19.11,23,14.65,16,10.19,18,11.46,21,13.38,10011
10,12,84,7,8.33,6,7.14,22,26.19,6,7.14,11,13.1,14,16.67,18,21.43,10012
10,14,157,31,19.75,24,15.29,22,14.01,24,15.29,16,10.19,19,12.1,21,13.38,10014
10,19,125,30,24.0,12,9.6,29,23.2,11,8.8,21,16.8,6,4.8,16,12.8,10019
10,20,148,37,25.0,16,10.81,28,18.92,19,12.84,9,6.08,20,13.51,19,12.84,10020
10,21,106,28,26.42,11,10.38,23,21.7,10,9.43,7,6.6,6,5.66,21,19.81,10021
10,22,85,12,14.12,10,11.76,21,24.71,13,15.29,11,12.94,8,9.41,10,11.76,10022
10,23,117,12,10.26,22,18.8,26,22.22,14,11.97,15,12.82,13,11.11,15,12.82,10023
10,25,48,10,20.83,7,14.58,7,14.58,8,16.67,7,14.58,5,10.42,4,8.33,10025
10,26,91,15,16.48,10,10.99,24,26.37,14,15.38,10,10.99,8,8.79,10,10.99,10026
10,28,153,23,15.03,16,10.46,24,15.69,39,25.49,20,13.07,15,9.8,16,10.46,10028
