ward,precinct,total,Daniel William Lipinski,Daniel William Lipinski Percent,Marie Newman,Marie Newman Percent,precinct_id
11,1,236,108,45.76,128,54.24,11001
11,4,222,119,53.6,103,46.4,11004
11,5,284,82,28.87,202,71.13,11005
11,8,208,88,42.31,120,57.69,11008
11,9,183,82,44.81,101,55.19,11009
11,10,210,105,50.0,105,50.0,11010
11,11,233,104,44.64,129,55.36,11011
11,12,338,226,66.86,112,33.14,11012
11,13,309,216,69.9,93,30.1,11013
11,15,104,39,37.5,65,62.5,11015
11,16,169,93,55.03,76,44.97,11016
11,17,294,106,36.05,188,63.95,11017
11,18,198,118,59.6,80,40.4,11018
11,19,288,108,37.5,180,62.5,11019
11,20,168,98,58.33,70,41.67,11020
11,21,373,231,61.93,142,38.07,11021
11,22,273,117,42.86,156,57.14,11022
11,23,182,111,60.99,71,39.01,11023
11,24,360,229,63.61,131,36.39,11024
11,25,268,104,38.81,164,61.19,11025
11,26,322,127,39.44,195,60.56,11026
11,27,87,44,50.57,43,49.43,11027
11,28,92,63,68.48,29,31.52,11028
11,29,326,197,60.43,129,39.57,11029
11,31,260,142,54.62,118,45.38,11031
11,32,138,93,67.39,45,32.61,11032
11,37,0,0,0.0,0,0.0,11037
12,1,226,88,38.94,138,61.06,12001
12,3,238,78,32.77,160,67.23,12003
12,4,235,93,39.57,142,60.43,12004
12,5,73,32,43.84,41,56.16,12005
12,8,5,0,0.0,5,100.0,12008
12,9,172,77,44.77,95,55.23,12009
12,19,172,68,39.53,104,60.47,12019
12,23,227,92,40.53,135,59.47,12023
13,1,202,123,60.89,79,39.11,13001
13,2,221,143,64.71,78,35.29,13002
13,3,156,86,55.13,70,44.87,13003
13,4,214,151,70.56,63,29.44,13004
13,5,231,133,57.58,98,42.42,13005
13,6,237,155,65.4,82,34.6,13006
13,7,145,116,80.0,29,20.0,13007
13,8,165,99,60.0,66,40.0,13008
13,9,174,91,52.3,83,47.7,13009
13,10,203,135,66.5,68,33.5,13010
13,11,236,146,61.86,90,38.14,13011
13,12,170,97,57.06,73,42.94,13012
13,13,222,147,66.22,75,33.78,13013
13,14,167,95,56.89,72,43.11,13014
13,15,308,174,56.49,134,43.51,13015
13,16,128,84,65.63,44,34.38,13016
13,17,187,118,63.1,69,36.9,13017
13,18,169,110,65.09,59,34.91,13018
13,20,125,92,73.6,33,26.4,13020
13,21,228,172,75.44,56,24.56,13021
13,22,236,164,69.49,72,30.51,13022
13,23,148,81,54.73,67,45.27,13023
13,24,197,127,64.47,70,35.53,13024
13,25,181,95,52.49,86,47.51,13025
13,26,182,120,65.93,62,34.07,13026
13,27,207,120,57.97,87,42.03,13027
13,28,161,99,61.49,62,38.51,13028
13,29,153,93,60.78,60,39.22,13029
13,30,173,104,60.12,69,39.88,13030
13,31,242,165,68.18,77,31.82,13031
13,32,185,139,75.14,46,24.86,13032
13,33,229,150,65.5,79,34.5,13033
13,34,307,220,71.66,87,28.34,13034
13,35,216,133,61.57,83,38.43,13035
13,36,119,75,63.03,44,36.97,13036
13,37,253,138,54.55,115,45.45,13037
13,38,200,131,65.5,69,34.5,13038
13,39,204,127,62.25,77,37.75,13039
13,40,210,130,61.9,80,38.1,13040
13,41,161,97,60.25,64,39.75,13041
13,42,238,163,68.49,75,31.51,13042
13,43,229,136,59.39,93,40.61,13043
13,44,240,164,68.33,76,31.67,13044
13,45,265,185,69.81,80,30.19,13045
13,46,226,131,57.96,95,42.04,13046
13,47,198,124,62.63,74,37.37,13047
13,48,219,168,76.71,51,23.29,13048
14,1,289,202,69.9,87,30.1,14001
14,4,257,168,65.37,89,34.63,14004
14,5,16,8,50.0,8,50.0,14005
14,7,196,89,45.41,107,54.59,14007
14,8,198,88,44.44,110,55.56,14008
14,9,281,172,61.21,109,38.79,14009
14,12,224,133,59.38,91,40.63,14012
14,18,100,65,65.0,35,35.0,14018
14,21,187,86,45.99,101,54.01,14021
14,22,259,119,45.95,140,54.05,14022
14,23,173,113,65.32,60,34.68,14023
14,24,303,196,64.69,107,35.31,14024
14,25,0,0,0.0,0,0.0,14025
14,26,143,61,42.66,82,57.34,14026
14,29,178,102,57.3,76,42.7,14029
15,1,163,67,41.1,96,58.9,15001
15,5,42,13,30.95,29,69.05,15005
15,8,59,25,42.37,34,57.63,15008
15,13,132,49,37.12,83,62.88,15013
15,14,124,30,24.19,94,75.81,15014
15,15,72,28,38.89,44,61.11,15015
15,16,167,82,49.1,85,50.9,15016
15,19,176,76,43.18,100,56.82,15019
16,1,90,51,56.67,39,43.33,16001
16,7,5,3,60.0,2,40.0,16007
16,23,109,42,38.53,67,61.47,16023
16,32,138,54,39.13,84,60.87,16032
16,35,58,25,43.1,33,56.9,16035
18,15,215,88,40.93,127,59.07,18015
18,24,159,94,59.12,65,40.88,18024
18,25,179,112,62.57,67,37.43,18025
18,30,186,94,50.54,92,49.46,18030
18,40,234,100,42.74,134,57.26,18040
18,43,135,81,60.0,54,40.0,18043
18,46,220,111,50.45,109,49.55,18046
19,1,261,167,63.98,94,36.02,19001
19,2,57,17,29.82,40,70.18,19002
19,3,157,107,68.15,50,31.85,19003
19,4,282,194,68.79,88,31.21,19004
19,5,112,44,39.29,68,60.71,19005
19,6,254,146,57.48,108,42.52,19006
19,7,259,157,60.62,102,39.38,19007
19,8,226,151,66.81,75,33.19,19008
19,9,205,136,66.34,69,33.66,19009
19,10,341,112,32.84,229,67.16,19010
19,11,197,151,76.65,46,23.35,19011
19,12,188,146,77.66,42,22.34,19012
19,15,273,194,71.06,79,28.94,19015
19,16,256,192,75.0,64,25.0,19016
19,17,232,137,59.05,95,40.95,19017
19,18,268,104,38.81,164,61.19,19018
19,19,373,128,34.32,245,65.68,19019
19,21,195,137,70.26,58,29.74,19021
19,22,316,130,41.14,186,58.86,19022
19,23,282,170,60.28,112,39.72,19023
19,24,190,143,75.26,47,24.74,19024
19,25,208,116,55.77,92,44.23,19025
19,26,304,120,39.47,184,60.53,19026
19,29,202,136,67.33,66,32.67,19029
19,30,195,130,66.67,65,33.33,19030
19,32,240,129,53.75,111,46.25,19032
19,33,218,159,72.94,59,27.06,19033
19,34,264,125,47.35,139,52.65,19034
19,35,298,128,42.95,170,57.05,19035
19,41,214,157,73.36,57,26.64,19041
19,44,239,158,66.11,81,33.89,19044
19,45,273,170,62.27,103,37.73,19045
19,46,297,175,58.92,122,41.08,19046
19,50,205,107,52.2,98,47.8,19050
19,51,330,173,52.42,157,47.58,19051
19,52,227,152,66.96,75,33.04,19052
19,53,268,143,53.36,125,46.64,19053
19,54,160,99,61.88,61,38.13,19054
19,55,193,128,66.32,65,33.68,19055
19,56,315,124,39.37,191,60.63,19056
19,57,229,68,29.69,161,70.31,19057
20,4,17,6,35.29,11,64.71,20004
20,15,68,23,33.82,45,66.18,20015
20,20,1,0,0.0,1,100.0,20020
22,1,131,48,36.64,83,63.36,22001
22,2,256,141,55.08,115,44.92,22002
22,8,270,129,47.78,141,52.22,22008
22,12,185,92,49.73,93,50.27,22012
22,23,269,92,34.2,177,65.8,22023
23,1,211,148,70.14,63,29.86,23001
23,2,191,121,63.35,70,36.65,23002
23,3,216,145,67.13,71,32.87,23003
23,4,231,148,64.07,83,35.93,23004
23,5,175,88,50.29,87,49.71,23005
23,6,188,100,53.19,88,46.81,23006
23,7,148,71,47.97,77,52.03,23007
23,8,229,117,51.09,112,48.91,23008
23,9,76,36,47.37,40,52.63,23009
23,10,215,113,52.56,102,47.44,23010
23,11,175,85,48.57,90,51.43,23011
23,12,216,156,72.22,60,27.78,23012
23,14,198,139,70.2,59,29.8,23014
23,15,113,59,52.21,54,47.79,23015
23,16,230,159,69.13,71,30.87,23016
23,17,65,35,53.85,30,46.15,23017
23,18,174,113,64.94,61,35.06,23018
23,19,92,48,52.17,44,47.83,23019
23,20,92,48,52.17,44,47.83,23020
23,21,236,154,65.25,82,34.75,23021
23,22,187,112,59.89,75,40.11,23022
23,23,209,136,65.07,73,34.93,23023
23,25,168,85,50.6,83,49.4,23025
23,26,185,95,51.35,90,48.65,23026
23,27,196,141,71.94,55,28.06,23027
23,28,195,123,63.08,72,36.92,23028
23,29,184,127,69.02,57,30.98,23029
23,30,212,107,50.47,105,49.53,23030
23,31,70,33,47.14,37,52.86,23031
23,32,173,81,46.82,92,53.18,23032
23,33,171,82,47.95,89,52.05,23033
23,34,90,36,40.0,54,60.0,23034
23,35,136,79,58.09,57,41.91,23035
23,36,198,137,69.19,61,30.81,23036
23,37,219,144,65.75,75,34.25,23037
23,38,172,113,65.7,59,34.3,23038
23,39,10,5,50.0,5,50.0,23039
