ward,precinct,total,Colleen Reardon Daly,Colleen Reardon Daly Percent,Noreen Patricia Connolly,Noreen Patricia Connolly Percent,Gerald Cleary,Gerald Cleary Percent,Jill Rose Quinn,Jill Rose Quinn Percent,Thomas J. Gabryszewski,Thomas J. Gabryszewski Percent,precinct_id
30,3,63,27,42.86,5,7.94,12,19.05,14,22.22,5,7.94,30003
30,15,188,86,45.74,34,18.09,34,18.09,23,12.23,11,5.85,30015
30,20,29,12,41.38,4,13.79,4,13.79,8,27.59,1,3.45,30020
30,32,132,50,37.88,19,14.39,28,21.21,20,15.15,15,11.36,30032
32,19,134,55,41.04,13,9.7,32,23.88,24,17.91,10,7.46,32019
32,21,171,70,40.94,16,9.36,50,29.24,26,15.2,9,5.26,32021
32,25,151,60,39.74,21,13.91,36,23.84,25,16.56,9,5.96,32025
33,2,263,121,46.01,34,12.93,45,17.11,46,17.49,17,6.46,33002
33,7,216,90,41.67,40,18.52,29,13.43,38,17.59,19,8.8,33007
33,18,243,98,40.33,52,21.4,35,14.4,50,20.58,8,3.29,33018
35,9,147,63,42.86,24,16.33,24,16.33,23,15.65,13,8.84,35009
35,22,207,87,42.03,33,15.94,34,16.43,46,22.22,7,3.38,35022
35,23,83,29,34.94,17,20.48,16,19.28,14,16.87,7,8.43,35023
35,29,111,38,34.23,32,28.83,19,17.12,17,15.32,5,4.5,35029
35,30,151,59,39.07,35,23.18,24,15.89,19,12.58,14,9.27,35030
35,31,199,76,38.19,37,18.59,36,18.09,38,19.1,12,6.03,35031
38,1,140,69,49.29,15,10.71,24,17.14,14,10.0,18,12.86,38001
38,31,173,75,43.35,25,14.45,29,16.76,20,11.56,24,13.87,38031
38,32,130,67,51.54,18,13.85,16,12.31,11,8.46,18,13.85,38032
38,41,178,87,48.88,28,15.73,28,15.73,22,12.36,13,7.3,38041
39,1,232,183,78.88,8,3.45,18,7.76,13,5.6,10,4.31,39001
39,2,159,78,49.06,24,15.09,35,22.01,10,6.29,12,7.55,39002
39,3,228,102,44.74,38,16.67,46,20.18,29,12.72,13,5.7,39003
39,4,219,181,82.65,8,3.65,13,5.94,6,2.74,11,5.02,39004
39,5,168,89,52.98,22,13.1,32,19.05,14,8.33,11,6.55,39005
39,6,188,91,48.4,27,14.36,28,14.89,28,14.89,14,7.45,39006
39,7,146,80,54.79,21,14.38,15,10.27,22,15.07,8,5.48,39007
39,8,178,97,54.49,20,11.24,24,13.48,24,13.48,13,7.3,39008
39,9,159,80,50.31,17,10.69,20,12.58,27,16.98,15,9.43,39009
39,10,96,37,38.54,14,14.58,19,19.79,21,21.88,5,5.21,39010
39,11,150,79,52.67,21,14.0,20,13.33,18,12.0,12,8.0,39011
39,12,216,103,47.69,33,15.28,41,18.98,26,12.04,13,6.02,39012
39,13,113,67,59.29,6,5.31,16,14.16,15,13.27,9,7.96,39013
39,14,151,89,58.94,18,11.92,14,9.27,20,13.25,10,6.62,39014
39,15,217,179,82.49,10,4.61,15,6.91,6,2.76,7,3.23,39015
39,16,110,44,40.0,22,20.0,13,11.82,23,20.91,8,7.27,39016
39,17,231,120,51.95,24,10.39,41,17.75,30,12.99,16,6.93,39017
39,18,175,89,50.86,25,14.29,36,20.57,13,7.43,12,6.86,39018
39,19,192,93,48.44,28,14.58,30,15.63,23,11.98,18,9.38,39019
39,20,217,125,57.6,25,11.52,22,10.14,22,10.14,23,10.6,39020
39,21,164,95,57.93,20,12.2,11,6.71,18,10.98,20,12.2,39021
39,22,126,57,45.24,26,20.63,14,11.11,22,17.46,7,5.56,39022
39,23,221,156,70.59,13,5.88,18,8.14,16,7.24,18,8.14,39023
39,24,231,146,63.2,20,8.66,29,12.55,20,8.66,16,6.93,39024
39,25,148,55,37.16,38,25.68,23,15.54,21,14.19,11,7.43,39025
39,26,154,113,73.38,14,9.09,11,7.14,8,5.19,8,5.19,39026
39,27,50,34,68.0,4,8.0,5,10.0,4,8.0,3,6.0,39027
39,28,262,127,48.47,40,15.27,54,20.61,25,9.54,16,6.11,39028
39,29,87,34,39.08,16,18.39,12,13.79,17,19.54,8,9.2,39029
39,30,218,97,44.5,28,12.84,46,21.1,42,19.27,5,2.29,39030
39,31,161,68,42.24,24,14.91,24,14.91,28,17.39,17,10.56,39031
39,32,38,19,50.0,6,15.79,9,23.68,1,2.63,3,7.89,39032
39,33,201,98,48.76,33,16.42,31,15.42,30,14.93,9,4.48,39033
39,34,176,78,44.32,26,14.77,27,15.34,28,15.91,17,9.66,39034
39,35,172,101,58.72,11,6.4,23,13.37,26,15.12,11,6.4,39035
39,36,48,29,60.42,2,4.17,6,12.5,7,14.58,4,8.33,39036
39,37,256,180,70.31,13,5.08,43,16.8,11,4.3,9,3.52,39037
39,38,130,60,46.15,20,15.38,29,22.31,13,10.0,8,6.15,39038
39,39,120,79,65.83,10,8.33,14,11.67,9,7.5,8,6.67,39039
39,40,172,124,72.09,11,6.4,16,9.3,15,8.72,6,3.49,39040
39,41,210,139,66.19,12,5.71,29,13.81,17,8.1,13,6.19,39041
39,42,281,219,77.94,10,3.56,30,10.68,8,2.85,14,4.98,39042
39,43,204,130,63.73,21,10.29,28,13.73,10,4.9,15,7.35,39043
39,44,151,94,62.25,14,9.27,29,19.21,11,7.28,3,1.99,39044
39,45,208,138,66.35,14,6.73,28,13.46,14,6.73,14,6.73,39045
40,1,153,63,41.18,30,19.61,22,14.38,20,13.07,18,11.76,40001
40,2,186,82,44.09,42,22.58,34,18.28,15,8.06,13,6.99,40002
40,3,268,154,57.46,30,11.19,39,14.55,38,14.18,7,2.61,40003
40,4,108,37,34.26,14,12.96,22,20.37,27,25.0,8,7.41,40004
40,5,230,110,47.83,31,13.48,41,17.83,39,16.96,9,3.91,40005
40,6,249,128,51.41,32,12.85,40,16.06,38,15.26,11,4.42,40006
40,7,251,127,50.6,25,9.96,55,21.91,27,10.76,17,6.77,40007
40,10,124,58,46.77,25,20.16,23,18.55,16,12.9,2,1.61,40010
40,11,217,96,44.24,46,21.2,41,18.89,25,11.52,9,4.15,40011
40,12,150,80,53.33,16,10.67,24,16.0,22,14.67,8,5.33,40012
40,13,200,97,48.5,23,11.5,31,15.5,39,19.5,10,5.0,40013
40,14,122,42,34.43,28,22.95,19,15.57,25,20.49,8,6.56,40014
40,15,172,81,47.09,32,18.6,25,14.53,23,13.37,11,6.4,40015
40,16,271,132,48.71,39,14.39,49,18.08,39,14.39,12,4.43,40016
40,17,198,89,44.95,27,13.64,42,21.21,28,14.14,12,6.06,40017
40,18,17,2,11.76,4,23.53,8,47.06,2,11.76,1,5.88,40018
40,19,220,93,42.27,46,20.91,34,15.45,32,14.55,15,6.82,40019
40,20,170,72,42.35,28,16.47,26,15.29,34,20.0,10,5.88,40020
40,21,174,86,49.43,23,13.22,36,20.69,23,13.22,6,3.45,40021
40,24,142,59,41.55,31,21.83,25,17.61,17,11.97,10,7.04,40024
