ward,precinct,total,Joshua Gray,Joshua Gray Percent,Bill Lowry,Bill Lowry Percent,Patricia Horton,Patricia Horton Percent,Charise A. Williams,Charise A. Williams Percent,Steven R. Wolfe,Steven R. Wolfe Percent,Erick M. Nickerson,Erick M. Nickerson Percent,Horace ''Washington'' Howard,Horace ''Washington'' Howard Percent,precinct_id
2,2,145,8,5.52,58,40.0,48,33.1,15,10.34,7,4.83,4,2.76,5,3.45,02002
2,9,107,9,8.41,38,35.51,25,23.36,14,13.08,11,10.28,1,0.93,9,8.41,02009
2,10,160,13,8.13,77,48.13,41,25.63,3,1.88,18,11.25,3,1.88,5,3.13,02010
2,11,191,18,9.42,87,45.55,37,19.37,22,11.52,19,9.95,3,1.57,5,2.62,02011
2,12,185,16,8.65,62,33.51,50,27.03,28,15.14,15,8.11,1,0.54,13,7.03,02012
2,13,169,11,6.51,81,47.93,42,24.85,6,3.55,18,10.65,5,2.96,6,3.55,02013
2,18,166,17,10.24,66,39.76,41,24.7,20,12.05,8,4.82,5,3.01,9,5.42,02018
2,19,135,7,5.19,61,45.19,42,31.11,8,5.93,6,4.44,6,4.44,5,3.7,02019
2,23,121,13,10.74,58,47.93,26,21.49,7,5.79,12,9.92,1,0.83,4,3.31,02023
2,27,121,10,8.26,45,37.19,39,32.23,10,8.26,12,9.92,2,1.65,3,2.48,02027
2,28,166,6,3.61,63,37.95,53,31.93,21,12.65,8,4.82,3,1.81,12,7.23,02028
2,29,165,15,9.09,65,39.39,42,25.45,17,10.3,13,7.88,3,1.82,10,6.06,02029
2,30,141,2,1.42,76,53.9,32,22.7,16,11.35,12,8.51,1,0.71,2,1.42,02030
2,31,239,12,5.02,105,43.93,66,27.62,14,5.86,33,13.81,2,0.84,7,2.93,02031
2,33,286,14,4.9,135,47.2,71,24.83,17,5.94,32,11.19,7,2.45,10,3.5,02033
2,34,186,11,5.91,90,48.39,40,21.51,17,9.14,21,11.29,3,1.61,4,2.15,02034
2,35,165,14,8.48,59,35.76,34,20.61,30,18.18,18,10.91,1,0.61,9,5.45,02035
2,36,141,9,6.38,48,34.04,52,36.88,11,7.8,12,8.51,0,0.0,9,6.38,02036
2,37,167,11,6.59,64,38.32,56,33.53,13,7.78,15,8.98,3,1.8,5,2.99,02037
2,38,131,9,6.87,69,52.67,25,19.08,9,6.87,12,9.16,6,4.58,1,0.76,02038
2,42,42,4,9.52,7,16.67,15,35.71,9,21.43,3,7.14,0,0.0,4,9.52,02042
2,44,104,4,3.85,42,40.38,28,26.92,10,9.62,14,13.46,0,0.0,6,5.77,02044
2,46,90,8,8.89,33,36.67,27,30.0,8,8.89,7,7.78,2,2.22,5,5.56,02046
3,1,268,30,11.19,50,18.66,65,24.25,76,28.36,21,7.84,2,0.75,24,8.96,03001
3,2,387,30,7.75,117,30.23,103,26.61,84,21.71,18,4.65,3,0.78,32,8.27,03002
3,4,284,24,8.45,78,27.46,49,17.25,79,27.82,28,9.86,3,1.06,23,8.1,03004
3,7,217,31,14.29,50,23.04,36,16.59,59,27.19,8,3.69,7,3.23,26,11.98,03007
3,9,247,28,11.34,56,22.67,52,21.05,76,30.77,14,5.67,1,0.4,20,8.1,03009
3,11,244,23,9.43,44,18.03,50,20.49,80,32.79,18,7.38,3,1.23,26,10.66,03011
3,12,314,28,8.92,71,22.61,70,22.29,95,30.25,22,7.01,4,1.27,24,7.64,03012
3,15,224,17,7.59,56,25.0,61,27.23,49,21.88,13,5.8,2,0.89,26,11.61,03015
3,18,119,5,4.2,21,17.65,20,16.81,54,45.38,9,7.56,0,0.0,10,8.4,03018
3,19,212,7,3.3,75,35.38,68,32.08,40,18.87,11,5.19,2,0.94,9,4.25,03019
3,20,252,30,11.9,42,16.67,66,26.19,59,23.41,13,5.16,12,4.76,30,11.9,03020
3,21,122,5,4.1,48,39.34,32,26.23,23,18.85,9,7.38,2,1.64,3,2.46,03021
3,23,194,22,11.34,35,18.04,60,30.93,37,19.07,13,6.7,4,2.06,23,11.86,03023
3,24,153,13,8.5,32,20.92,37,24.18,36,23.53,13,8.5,5,3.27,17,11.11,03024
3,27,130,9,6.92,30,23.08,34,26.15,37,28.46,7,5.38,0,0.0,13,10.0,03027
3,29,91,9,9.89,18,19.78,27,29.67,25,27.47,4,4.4,1,1.1,7,7.69,03029
3,30,233,25,10.73,53,22.75,48,20.6,66,28.33,15,6.44,5,2.15,21,9.01,03030
3,31,275,39,14.18,63,22.91,61,22.18,65,23.64,13,4.73,5,1.82,29,10.55,03031
3,35,93,9,9.68,25,26.88,19,20.43,25,26.88,4,4.3,2,2.15,9,9.68,03035
3,37,139,18,12.95,29,20.86,31,22.3,36,25.9,11,7.91,2,1.44,12,8.63,03037
3,38,272,12,4.41,56,20.59,93,34.19,61,22.43,19,6.99,3,1.1,28,10.29,03038
3,41,221,18,8.14,54,24.43,46,20.81,57,25.79,21,9.5,3,1.36,22,9.95,03041
4,1,346,41,11.85,151,43.64,45,13.01,61,17.63,16,4.62,0,0.0,32,9.25,04001
4,2,266,22,8.27,107,40.23,58,21.8,45,16.92,15,5.64,5,1.88,14,5.26,04002
4,3,225,21,9.33,68,30.22,51,22.67,31,13.78,20,8.89,4,1.78,30,13.33,04003
4,4,353,35,9.92,118,33.43,59,16.71,44,12.46,49,13.88,7,1.98,41,11.61,04004
4,5,292,34,11.64,108,36.99,48,16.44,58,19.86,27,9.25,3,1.03,14,4.79,04005
4,6,340,22,6.47,112,32.94,80,23.53,74,21.76,19,5.59,4,1.18,29,8.53,04006
4,7,389,39,10.03,154,39.59,63,16.2,65,16.71,38,9.77,3,0.77,27,6.94,04007
4,8,325,24,7.38,124,38.15,52,16.0,76,23.38,22,6.77,1,0.31,26,8.0,04008
4,9,386,29,7.51,165,42.75,76,19.69,69,17.88,21,5.44,2,0.52,24,6.22,04009
4,10,349,21,6.02,167,47.85,47,13.47,68,19.48,19,5.44,3,0.86,24,6.88,04010
4,11,237,35,14.77,64,27.0,53,22.36,39,16.46,24,10.13,2,0.84,20,8.44,04011
4,12,284,21,7.39,95,33.45,64,22.54,60,21.13,16,5.63,3,1.06,25,8.8,04012
4,13,89,4,4.49,37,41.57,18,20.22,16,17.98,1,1.12,0,0.0,13,14.61,04013
4,14,296,24,8.11,94,31.76,65,21.96,73,24.66,11,3.72,5,1.69,24,8.11,04014
4,15,339,39,11.5,110,32.45,52,15.34,63,18.58,33,9.73,1,0.29,41,12.09,04015
4,16,268,20,7.46,110,41.04,66,24.63,36,13.43,14,5.22,4,1.49,18,6.72,04016
4,17,273,24,8.79,76,27.84,75,27.47,59,21.61,13,4.76,3,1.1,23,8.42,04017
4,18,296,23,7.77,95,32.09,60,20.27,46,15.54,32,10.81,3,1.01,37,12.5,04018
4,19,182,24,13.19,66,36.26,31,17.03,21,11.54,11,6.04,4,2.2,25,13.74,04019
4,20,238,14,5.88,91,38.24,59,24.79,31,13.03,30,12.61,2,0.84,11,4.62,04020
4,21,223,13,5.83,98,43.95,55,24.66,29,13.0,10,4.48,3,1.35,15,6.73,04021
4,22,278,20,7.19,151,54.32,35,12.59,42,15.11,12,4.32,2,0.72,16,5.76,04022
4,23,383,29,7.57,208,54.31,45,11.75,61,15.93,14,3.66,2,0.52,24,6.27,04023
4,24,255,20,7.84,140,54.9,26,10.2,39,15.29,13,5.1,3,1.18,14,5.49,04024
4,25,227,16,7.05,91,40.09,52,22.91,35,15.42,11,4.85,3,1.32,19,8.37,04025
4,26,260,19,7.31,115,44.23,42,16.15,29,11.15,29,11.15,3,1.15,23,8.85,04026
4,27,319,31,9.72,131,41.07,42,13.17,62,19.44,12,3.76,3,0.94,38,11.91,04027
4,28,237,11,4.64,77,32.49,54,22.78,51,21.52,17,7.17,1,0.42,26,10.97,04028
4,29,241,22,9.13,74,30.71,53,21.99,47,19.5,23,9.54,2,0.83,20,8.3,04029
4,30,314,35,11.15,102,32.48,58,18.47,57,18.15,32,10.19,6,1.91,24,7.64,04030
