ward,precinct,total,Litricia Payne,Litricia Payne Percent,Erika Orr,Erika Orr Percent,precinct_id
5,12,75,34,45.33,41,54.67,05012
6,1,248,93,37.5,155,62.5,06001
6,2,211,96,45.5,115,54.5,06002
6,3,235,112,47.66,123,52.34,06003
6,4,116,60,51.72,56,48.28,06004
6,5,102,52,50.98,50,49.02,06005
6,6,225,125,55.56,100,44.44,06006
6,8,201,99,49.25,102,50.75,06008
6,10,107,47,43.93,60,56.07,06010
6,12,107,62,57.94,45,42.06,06012
6,13,144,63,43.75,81,56.25,06013
6,14,196,100,51.02,96,48.98,06014
6,15,25,14,56.0,11,44.0,06015
6,16,226,103,45.58,123,54.42,06016
6,17,112,50,44.64,62,55.36,06017
6,18,80,36,45.0,44,55.0,06018
6,19,157,77,49.04,80,50.96,06019
6,20,98,57,58.16,41,41.84,06020
6,21,4,2,50.0,2,50.0,06021
6,22,104,51,49.04,53,50.96,06022
6,25,96,46,47.92,50,52.08,06025
6,26,18,7,38.89,11,61.11,06026
6,27,92,40,43.48,52,56.52,06027
6,29,254,120,47.24,134,52.76,06029
6,30,14,7,50.0,7,50.0,06030
6,31,254,122,48.03,132,51.97,06031
6,33,189,95,50.26,94,49.74,06033
6,34,220,87,39.55,133,60.45,06034
6,35,198,98,49.49,100,50.51,06035
6,36,271,122,45.02,149,54.98,06036
6,37,261,116,44.44,145,55.56,06037
6,38,229,105,45.85,124,54.15,06038
6,39,161,78,48.45,83,51.55,06039
6,40,109,58,53.21,51,46.79,06040
6,41,216,104,48.15,112,51.85,06041
6,42,167,89,53.29,78,46.71,06042
6,43,165,92,55.76,73,44.24,06043
6,44,172,81,47.09,91,52.91,06044
6,45,218,85,38.99,133,61.01,06045
6,46,121,56,46.28,65,53.72,06046
6,47,143,65,45.45,78,54.55,06047
7,7,145,75,51.72,70,48.28,07007
7,10,214,109,50.93,105,49.07,07010
7,11,148,71,47.97,77,52.03,07011
7,12,154,70,45.45,84,54.55,07012
7,13,71,45,63.38,26,36.62,07013
7,14,183,103,56.28,80,43.72,07014
7,15,210,121,57.62,89,42.38,07015
7,16,150,69,46.0,81,54.0,07016
7,17,137,75,54.74,62,45.26,07017
7,18,136,67,49.26,69,50.74,07018
7,19,206,114,55.34,92,44.66,07019
7,20,125,55,44.0,70,56.0,07020
7,21,135,72,53.33,63,46.67,07021
7,22,158,72,45.57,86,54.43,07022
7,23,228,119,52.19,109,47.81,07023
7,24,153,71,46.41,82,53.59,07024
7,25,117,34,29.06,83,70.94,07025
7,26,162,66,40.74,96,59.26,07026
7,27,167,69,41.32,98,58.68,07027
7,28,120,51,42.5,69,57.5,07028
7,29,152,53,34.87,99,65.13,07029
7,30,128,49,38.28,79,61.72,07030
7,31,98,40,40.82,58,59.18,07031
7,32,324,139,42.9,185,57.1,07032
7,33,310,136,43.87,174,56.13,07033
7,34,246,112,45.53,134,54.47,07034
7,35,190,86,45.26,104,54.74,07035
7,36,260,133,51.15,127,48.85,07036
7,37,203,93,45.81,110,54.19,07037
7,38,163,67,41.1,96,58.9,07038
7,39,176,77,43.75,99,56.25,07039
7,40,166,66,39.76,100,60.24,07040
7,41,173,63,36.42,110,63.58,07041
7,42,179,72,40.22,107,59.78,07042
7,43,180,84,46.67,96,53.33,07043
7,44,140,73,52.14,67,47.86,07044
7,45,142,55,38.73,87,61.27,07045
7,46,98,42,42.86,56,57.14,07046
8,2,19,9,47.37,10,52.63,08002
8,3,272,146,53.68,126,46.32,08003
8,4,248,119,47.98,129,52.02,08004
8,5,265,113,42.64,152,57.36,08005
8,6,222,116,52.25,106,47.75,08006
8,7,275,146,53.09,129,46.91,08007
8,8,254,125,49.21,129,50.79,08008
8,9,162,92,56.79,70,43.21,08009
8,10,325,142,43.69,183,56.31,08010
8,11,191,103,53.93,88,46.07,08011
8,12,169,86,50.89,83,49.11,08012
8,13,213,121,56.81,92,43.19,08013
8,14,116,57,49.14,59,50.86,08014
8,15,175,86,49.14,89,50.86,08015
8,16,58,32,55.17,26,44.83,08016
8,17,205,118,57.56,87,42.44,08017
8,18,138,81,58.7,57,41.3,08018
8,19,270,133,49.26,137,50.74,08019
8,20,247,143,57.89,104,42.11,08020
8,21,247,137,55.47,110,44.53,08021
8,22,189,82,43.39,107,56.61,08022
8,23,165,90,54.55,75,45.45,08023
8,24,152,90,59.21,62,40.79,08024
8,25,172,98,56.98,74,43.02,08025
8,26,95,51,53.68,44,46.32,08026
8,27,245,118,48.16,127,51.84,08027
8,28,215,124,57.67,91,42.33,08028
8,29,251,113,45.02,138,54.98,08029
8,30,206,111,53.88,95,46.12,08030
8,31,159,84,52.83,75,47.17,08031
8,32,152,85,55.92,67,44.08,08032
8,33,186,112,60.22,74,39.78,08033
8,34,203,98,48.28,105,51.72,08034
8,35,236,113,47.88,123,52.12,08035
8,36,225,132,58.67,93,41.33,08036
8,37,200,79,39.5,121,60.5,08037
8,38,125,58,46.4,67,53.6,08038
8,39,191,97,50.79,94,49.21,08039
8,40,167,66,39.52,101,60.48,08040
8,41,214,93,43.46,121,56.54,08041
8,43,82,45,54.88,37,45.12,08043
8,44,121,65,53.72,56,46.28,08044
8,45,161,62,38.51,99,61.49,08045
8,46,156,71,45.51,85,54.49,08046
8,47,172,69,40.12,103,59.88,08047
8,48,179,73,40.78,106,59.22,08048
8,49,195,93,47.69,102,52.31,08049
8,50,225,125,55.56,100,44.44,08050
8,51,252,134,53.17,118,46.83,08051
8,52,302,154,50.99,148,49.01,08052
8,53,118,62,52.54,56,47.46,08053
8,54,115,49,42.61,66,57.39,08054
8,55,191,110,57.59,81,42.41,08055
8,56,232,109,46.98,123,53.02,08056
9,12,251,115,45.82,136,54.18,09012
9,13,228,105,46.05,123,53.95,09013
9,14,209,87,41.63,122,58.37,09014
9,23,246,105,42.68,141,57.32,09023
9,24,196,101,51.53,95,48.47,09024
9,25,182,91,50.0,91,50.0,09025
9,35,120,63,52.5,57,47.5,09035
9,36,169,85,50.3,84,49.7,09036
9,42,224,116,51.79,108,48.21,09042
9,47,239,102,42.68,137,57.32,09047
9,48,213,98,46.01,115,53.99,09048
9,49,193,91,47.15,102,52.85,09049
9,50,298,151,50.67,147,49.33,09050
9,51,204,97,47.55,107,52.45,09051
10,1,127,56,44.09,71,55.91,10001
10,2,133,43,32.33,90,67.67,10002
10,3,114,48,42.11,66,57.89,10003
10,4,108,39,36.11,69,63.89,10004
10,5,90,30,33.33,60,66.67,10005
10,6,99,35,35.35,64,64.65,10006
10,7,84,33,39.29,51,60.71,10007
10,8,71,38,53.52,33,46.48,10008
10,9,110,37,33.64,73,66.36,10009
10,10,128,49,38.28,79,61.72,10010
10,11,140,58,41.43,82,58.57,10011
10,12,75,35,46.67,40,53.33,10012
10,13,136,51,37.5,85,62.5,10013
10,14,140,56,40.0,84,60.0,10014
10,15,372,180,48.39,192,51.61,10015
10,16,84,32,38.1,52,61.9,10016
10,17,155,44,28.39,111,71.61,10017
10,18,84,33,39.29,51,60.71,10018
10,19,113,45,39.82,68,60.18,10019
10,20,123,45,36.59,78,63.41,10020
10,21,102,43,42.16,59,57.84,10021
10,22,76,29,38.16,47,61.84,10022
10,23,103,42,40.78,61,59.22,10023
10,24,106,49,46.23,57,53.77,10024
10,25,51,15,29.41,36,70.59,10025
10,26,86,28,32.56,58,67.44,10026
10,27,136,52,38.24,84,61.76,10027
10,28,132,45,34.09,87,65.91,10028
10,29,106,42,39.62,64,60.38,10029
10,30,113,32,28.32,81,71.68,10030
10,31,88,38,43.18,50,56.82,10031
10,32,112,37,33.04,75,66.96,10032
10,33,95,40,42.11,55,57.89,10033
10,34,76,30,39.47,46,60.53,10034
10,35,133,59,44.36,74,55.64,10035
10,36,38,12,31.58,26,68.42,10036
17,2,149,87,58.39,62,41.61,17002
17,4,217,100,46.08,117,53.92,17004
17,5,124,65,52.42,59,47.58,17005
17,9,127,65,51.18,62,48.82,17009
17,10,217,104,47.93,113,52.07,17010
17,15,165,77,46.67,88,53.33,17015
17,18,212,89,41.98,123,58.02,17018
17,20,244,105,43.03,139,56.97,17020
17,21,239,113,47.28,126,52.72,17021
17,22,143,82,57.34,61,42.66,17022
17,23,117,60,51.28,57,48.72,17023
17,24,188,99,52.66,89,47.34,17024
17,26,178,101,56.74,77,43.26,17026
17,27,166,87,52.41,79,47.59,17027
17,28,128,69,53.91,59,46.09,17028
17,29,141,70,49.65,71,50.35,17029
17,35,16,7,43.75,9,56.25,17035
17,38,140,70,50.0,70,50.0,17038
17,39,172,81,47.09,91,52.91,17039
17,40,199,93,46.73,106,53.27,17040
17,41,231,110,47.62,121,52.38,17041
18,20,152,55,36.18,97,63.82,18020
18,38,174,79,45.4,95,54.6,18038
21,2,79,46,58.23,33,41.77,21002
21,4,181,94,51.93,87,48.07,21004
21,13,85,42,49.41,43,50.59,21013
21,15,161,82,50.93,79,49.07,21015
21,17,123,63,51.22,60,48.78,21017
21,20,132,58,43.94,74,56.06,21020
21,26,164,80,48.78,84,51.22,21026
21,28,234,112,47.86,122,52.14,21028
21,30,158,83,52.53,75,47.47,21030
21,31,159,91,57.23,68,42.77,21031
21,33,120,47,39.17,73,60.83,21033
21,34,139,68,48.92,71,51.08,21034
21,43,189,92,48.68,97,51.32,21043
21,44,60,28,46.67,32,53.33,21044
21,47,158,80,50.63,78,49.37,21047
21,48,70,24,34.29,46,65.71,21048
21,51,186,92,49.46,94,50.54,21051
21,52,169,86,50.89,83,49.11,21052
21,53,147,84,57.14,63,42.86,21053
21,54,180,86,47.78,94,52.22,21054
