ward,precinct,total,Bushra Amiwala,Bushra Amiwala Percent,Larry Suffredin,Larry Suffredin Percent,Daniel Foster,Daniel Foster Percent,precinct_id
49,1,156,50,32.05,58,37.18,48,30.77,49001
49,3,276,85,30.8,153,55.43,38,13.77,49003
49,5,306,83,27.12,148,48.37,75,24.51,49005
49,6,231,87,37.66,108,46.75,36,15.58,49006
49,7,238,90,37.82,109,45.8,39,16.39,49007
49,8,183,47,25.68,99,54.1,37,20.22,49008
49,9,244,105,43.03,92,37.7,47,19.26,49009
49,10,289,105,36.33,143,49.48,41,14.19,49010
49,11,331,115,34.74,161,48.64,55,16.62,49011
49,12,354,141,39.83,164,46.33,49,13.84,49012
49,13,314,99,31.53,164,52.23,51,16.24,49013
49,14,217,57,26.27,106,48.85,54,24.88,49014
49,15,180,65,36.11,76,42.22,39,21.67,49015
49,16,276,96,34.78,128,46.38,52,18.84,49016
49,17,142,58,40.85,54,38.03,30,21.13,49017
49,19,184,54,29.35,76,41.3,54,29.35,49019
49,20,386,144,37.31,190,49.22,52,13.47,49020
49,21,139,34,24.46,77,55.4,28,20.14,49021
49,22,284,76,26.76,154,54.23,54,19.01,49022
49,23,309,135,43.69,125,40.45,49,15.86,49023
49,24,173,58,33.53,78,45.09,37,21.39,49024
49,25,325,116,35.69,144,44.31,65,20.0,49025
49,26,269,98,36.43,121,44.98,50,18.59,49026
49,27,268,123,45.9,98,36.57,47,17.54,49027
49,29,327,140,42.81,140,42.81,47,14.37,49029
49,30,298,98,32.89,135,45.3,65,21.81,49030
49,31,210,64,30.48,101,48.1,45,21.43,49031
49,32,249,93,37.35,105,42.17,51,20.48,49032
49,33,221,76,34.39,102,46.15,43,19.46,49033
50,1,176,35,19.89,100,56.82,41,23.3,50001
50,2,114,16,14.04,62,54.39,36,31.58,50002
50,3,180,29,16.11,109,60.56,42,23.33,50003
50,4,212,66,31.13,132,62.26,14,6.6,50004
50,5,123,12,9.76,83,67.48,28,22.76,50005
50,6,220,38,17.27,107,48.64,75,34.09,50006
50,7,282,72,25.53,167,59.22,43,15.25,50007
50,8,165,51,30.91,62,37.58,52,31.52,50008
50,9,167,35,20.96,103,61.68,29,17.37,50009
50,10,126,30,23.81,60,47.62,36,28.57,50010
50,11,126,16,12.7,81,64.29,29,23.02,50011
50,12,94,29,30.85,46,48.94,19,20.21,50012
50,13,162,66,40.74,47,29.01,49,30.25,50013
50,14,54,14,25.93,26,48.15,14,25.93,50014
50,15,256,55,21.48,154,60.16,47,18.36,50015
50,16,57,10,17.54,41,71.93,6,10.53,50016
50,18,51,3,5.88,37,72.55,11,21.57,50018
50,19,112,42,37.5,49,43.75,21,18.75,50019
50,20,190,46,24.21,112,58.95,32,16.84,50020
50,21,165,44,26.67,93,56.36,28,16.97,50021
50,22,119,35,29.41,51,42.86,33,27.73,50022
50,27,58,9,15.52,30,51.72,19,32.76,50027
50,28,155,62,40.0,53,34.19,40,25.81,50028
50,31,32,15,46.88,11,34.38,6,18.75,50031
50,32,16,4,25.0,8,50.0,4,25.0,50032
50,33,165,25,15.15,111,67.27,29,17.58,50033
50,34,264,57,21.59,155,58.71,52,19.7,50034
50,35,256,68,26.56,126,49.22,62,24.22,50035
50,36,198,43,21.72,119,60.1,36,18.18,50036
50,37,199,61,30.65,94,47.24,44,22.11,50037
50,38,91,24,26.37,49,53.85,18,19.78,50038
50,40,162,28,17.28,90,55.56,44,27.16,50040
