ward,precinct,total,Delia C. Ramirez,Delia C. Ramirez Percent,Alyx S. Pattison,Alyx S. Pattison Percent,Iris J. Millan,Iris J. Millan Percent,Anne Shaw,Anne Shaw Percent,precinct_id
1,1,228,111,48.68,39,17.11,45,19.74,33,14.47,01001
1,3,253,104,41.11,54,21.34,39,15.42,56,22.13,01003
1,4,237,104,43.88,33,13.92,50,21.1,50,21.1,01004
1,5,218,98,44.95,46,21.1,45,20.64,29,13.3,01005
1,6,204,86,42.16,38,18.63,50,24.51,30,14.71,01006
1,8,56,19,33.93,4,7.14,24,42.86,9,16.07,01008
1,10,214,86,40.19,55,25.7,36,16.82,37,17.29,01010
1,11,187,84,44.92,34,18.18,28,14.97,41,21.93,01011
1,14,231,88,38.1,65,28.14,52,22.51,26,11.26,01014
1,15,223,71,31.84,51,22.87,69,30.94,32,14.35,01015
1,17,168,93,55.36,20,11.9,37,22.02,18,10.71,01017
1,18,261,128,49.04,39,14.94,61,23.37,33,12.64,01018
1,20,191,98,51.31,30,15.71,30,15.71,33,17.28,01020
1,21,205,86,41.95,50,24.39,28,13.66,41,20.0,01021
1,22,161,70,43.48,28,17.39,35,21.74,28,17.39,01022
1,24,208,119,57.21,19,9.13,49,23.56,21,10.1,01024
1,25,194,100,51.55,32,16.49,41,21.13,21,10.82,01025
1,26,125,85,68.0,2,1.6,26,20.8,12,9.6,01026
1,27,216,89,41.2,37,17.13,52,24.07,38,17.59,01027
1,29,243,106,43.62,42,17.28,58,23.87,37,15.23,01029
1,30,273,133,48.72,33,12.09,71,26.01,36,13.19,01030
1,31,241,93,38.59,38,15.77,75,31.12,35,14.52,01031
1,32,161,83,51.55,17,10.56,32,19.88,29,18.01,01032
1,33,252,67,26.59,70,27.78,38,15.08,77,30.56,01033
1,35,250,93,37.2,67,26.8,40,16.0,50,20.0,01035
1,36,198,75,37.88,35,17.68,31,15.66,57,28.79,01036
1,37,175,62,35.43,46,26.29,29,16.57,38,21.71,01037
1,38,221,98,44.34,31,14.03,57,25.79,35,15.84,01038
1,39,202,86,42.57,37,18.32,45,22.28,34,16.83,01039
1,40,235,79,33.62,23,9.79,65,27.66,68,28.94,01040
1,44,210,109,51.9,32,15.24,38,18.1,31,14.76,01044
2,1,69,27,39.13,25,36.23,9,13.04,8,11.59,02001
2,3,252,99,39.29,67,26.59,36,14.29,50,19.84,02003
2,4,173,67,38.73,63,36.42,15,8.67,28,16.18,02004
2,5,236,90,38.14,55,23.31,41,17.37,50,21.19,02005
2,14,269,95,35.32,132,49.07,19,7.06,23,8.55,02014
2,15,26,8,30.77,12,46.15,6,23.08,0,0.0,02015
2,16,201,56,27.86,68,33.83,56,27.86,21,10.45,02016
2,17,39,16,41.03,14,35.9,5,12.82,4,10.26,02017
2,21,247,91,36.84,105,42.51,28,11.34,23,9.31,02021
26,1,190,72,37.89,22,11.58,59,31.05,37,19.47,26001
26,2,172,103,59.88,9,5.23,32,18.6,28,16.28,26002
26,3,198,102,51.52,34,17.17,29,14.65,33,16.67,26003
26,4,89,59,66.29,1,1.12,15,16.85,14,15.73,26004
26,5,163,86,52.76,9,5.52,37,22.7,31,19.02,26005
26,6,136,74,54.41,19,13.97,26,19.12,17,12.5,26006
26,8,87,52,59.77,8,9.2,17,19.54,10,11.49,26008
26,9,163,105,64.42,13,7.98,30,18.4,15,9.2,26009
26,10,159,83,52.2,19,11.95,40,25.16,17,10.69,26010
26,11,168,98,58.33,15,8.93,31,18.45,24,14.29,26011
26,12,169,93,55.03,27,15.98,25,14.79,24,14.2,26012
26,13,77,43,55.84,10,12.99,12,15.58,12,15.58,26013
26,14,123,94,76.42,5,4.07,15,12.2,9,7.32,26014
26,15,88,48,54.55,5,5.68,28,31.82,7,7.95,26015
26,16,78,54,69.23,1,1.28,18,23.08,5,6.41,26016
26,18,102,51,50.0,8,7.84,29,28.43,14,13.73,26018
26,19,51,28,54.9,6,11.76,13,25.49,4,7.84,26019
26,20,158,95,60.13,17,10.76,30,18.99,16,10.13,26020
26,21,175,98,56.0,11,6.29,36,20.57,30,17.14,26021
26,22,67,47,70.15,3,4.48,10,14.93,7,10.45,26022
26,23,98,68,69.39,4,4.08,15,15.31,11,11.22,26023
26,24,157,110,70.06,15,9.55,17,10.83,15,9.55,26024
26,25,144,87,60.42,6,4.17,32,22.22,19,13.19,26025
26,26,97,54,55.67,13,13.4,16,16.49,14,14.43,26026
26,27,230,127,55.22,26,11.3,43,18.7,34,14.78,26027
26,28,46,24,52.17,7,15.22,7,15.22,8,17.39,26028
26,29,101,55,54.46,11,10.89,19,18.81,16,15.84,26029
26,30,141,74,52.48,11,7.8,33,23.4,23,16.31,26030
26,31,82,57,69.51,2,2.44,19,23.17,4,4.88,26031
26,32,175,75,42.86,29,16.57,34,19.43,37,21.14,26032
26,33,178,103,57.87,11,6.18,38,21.35,26,14.61,26033
26,34,13,10,76.92,0,0.0,2,15.38,1,7.69,26034
26,35,171,100,58.48,10,5.85,41,23.98,20,11.7,26035
26,36,135,60,44.44,17,12.59,32,23.7,26,19.26,26036
26,38,63,37,58.73,3,4.76,10,15.87,13,20.63,26038
26,39,174,73,41.95,26,14.94,47,27.01,28,16.09,26039
26,40,110,56,50.91,9,8.18,33,30.0,12,10.91,26040
26,41,172,93,54.07,16,9.3,35,20.35,28,16.28,26041
26,42,130,68,52.31,5,3.85,33,25.38,24,18.46,26042
26,43,84,56,66.67,5,5.95,17,20.24,6,7.14,26043
26,44,105,63,60.0,4,3.81,26,24.76,12,11.43,26044
26,45,53,19,35.85,5,9.43,19,35.85,10,18.87,26045
26,47,91,61,67.03,4,4.4,18,19.78,8,8.79,26047
26,48,156,71,45.51,17,10.9,48,30.77,20,12.82,26048
26,49,74,42,56.76,4,5.41,20,27.03,8,10.81,26049
27,5,2,0,0.0,1,50.0,0,0.0,1,50.0,27005
27,7,238,102,42.86,40,16.81,57,23.95,39,16.39,27007
27,13,85,27,31.76,17,20.0,19,22.35,22,25.88,27013
27,24,14,8,57.14,1,7.14,2,14.29,3,21.43,27024
27,27,5,1,20.0,2,40.0,0,0.0,2,40.0,27027
27,40,30,6,20.0,8,26.67,9,30.0,7,23.33,27040
27,43,2,1,50.0,0,0.0,0,0.0,1,50.0,27043
31,4,39,18,46.15,4,10.26,8,20.51,9,23.08,31004
31,16,74,39,52.7,11,14.86,12,16.22,12,16.22,31016
35,3,154,87,56.49,16,10.39,24,15.58,27,17.53,35003
35,12,138,92,66.67,10,7.25,23,16.67,13,9.42,35012
35,13,133,65,48.87,4,3.01,49,36.84,15,11.28,35013
35,16,130,65,50.0,8,6.15,40,30.77,17,13.08,35016
