ward,precinct,total,Cecilia Anne Horan,Cecilia Anne Horan Percent,Keith L. Spence,Keith L. Spence Percent,precinct_id
1,1,183,169,92.35,14,7.65,01001
1,2,143,127,88.81,16,11.19,01002
1,3,208,192,92.31,16,7.69,01003
1,4,193,172,89.12,21,10.88,01004
1,5,168,157,93.45,11,6.55,01005
1,6,157,144,91.72,13,8.28,01006
1,7,121,110,90.91,11,9.09,01007
1,8,157,133,84.71,24,15.29,01008
1,9,162,146,90.12,16,9.88,01009
1,10,162,149,91.98,13,8.02,01010
1,11,198,183,92.42,15,7.58,01011
1,12,220,197,89.55,23,10.45,01012
1,13,92,75,81.52,17,18.48,01013
1,14,180,160,88.89,20,11.11,01014
1,15,174,149,85.63,25,14.37,01015
1,16,205,187,91.22,18,8.78,01016
1,17,166,147,88.55,19,11.45,01017
1,18,192,173,90.1,19,9.9,01018
1,19,216,191,88.43,25,11.57,01019
1,20,157,145,92.36,12,7.64,01020
1,21,173,156,90.17,17,9.83,01021
1,22,126,117,92.86,9,7.14,01022
1,23,275,254,92.36,21,7.64,01023
1,24,160,134,83.75,26,16.25,01024
1,25,163,145,88.96,18,11.04,01025
1,26,119,101,84.87,18,15.13,01026
1,27,177,165,93.22,12,6.78,01027
1,28,66,43,65.15,23,34.85,01028
1,29,208,190,91.35,18,8.65,01029
1,30,208,190,91.35,18,8.65,01030
1,31,203,178,87.68,25,12.32,01031
1,32,167,153,91.62,14,8.38,01032
1,33,206,187,90.78,19,9.22,01033
1,34,173,159,91.91,14,8.09,01034
1,35,208,181,87.02,27,12.98,01035
1,36,169,158,93.49,11,6.51,01036
1,37,186,169,90.86,17,9.14,01037
1,38,159,141,88.68,18,11.32,01038
1,39,148,137,92.57,11,7.43,01039
1,40,194,168,86.6,26,13.4,01040
1,41,131,124,94.66,7,5.34,01041
1,42,53,47,88.68,6,11.32,01042
1,43,110,93,84.55,17,15.45,01043
1,44,181,170,93.92,11,6.08,01044
2,1,166,156,93.98,10,6.02,02001
2,2,151,134,88.74,17,11.26,02002
2,3,206,193,93.69,13,6.31,02003
2,4,145,134,92.41,11,7.59,02004
2,5,208,188,90.38,20,9.62,02005
2,6,151,138,91.39,13,8.61,02006
2,7,160,136,85.0,24,15.0,02007
2,8,180,166,92.22,14,7.78,02008
2,9,107,95,88.79,12,11.21,02009
2,10,151,133,88.08,18,11.92,02010
2,11,182,164,90.11,18,9.89,02011
