ward,precinct,total,Linda Perez,Linda Perez Percent,Stephanie K. Miller,Stephanie K. Miller Percent,precinct_id
1,1,191,94,49.21,97,50.79,01001
1,2,148,92,62.16,56,37.84,01002
1,3,210,87,41.43,123,58.57,01003
1,4,196,99,50.51,97,49.49,01004
1,5,174,74,42.53,100,57.47,01005
1,6,168,90,53.57,78,46.43,01006
1,7,136,56,41.18,80,58.82,01007
1,8,160,81,50.63,79,49.38,01008
1,9,172,104,60.47,68,39.53,01009
1,10,174,58,33.33,116,66.67,01010
1,11,193,82,42.49,111,57.51,01011
1,12,229,97,42.36,132,57.64,01012
1,13,96,53,55.21,43,44.79,01013
1,14,179,85,47.49,94,52.51,01014
1,15,181,93,51.38,88,48.62,01015
1,16,209,105,50.24,104,49.76,01016
1,17,183,95,51.91,88,48.09,01017
1,18,204,109,53.43,95,46.57,01018
1,19,226,125,55.31,101,44.69,01019
1,20,165,76,46.06,89,53.94,01020
1,21,179,66,36.87,113,63.13,01021
1,22,136,61,44.85,75,55.15,01022
1,23,280,134,47.86,146,52.14,01023
1,24,171,91,53.22,80,46.78,01024
1,25,170,63,37.06,107,62.94,01025
1,26,119,84,70.59,35,29.41,01026
1,27,205,76,37.07,129,62.93,01027
1,28,71,39,54.93,32,45.07,01028
1,29,217,86,39.63,131,60.37,01029
1,30,227,121,53.3,106,46.7,01030
1,31,219,108,49.32,111,50.68,01031
1,32,169,84,49.7,85,50.3,01032
1,33,197,96,48.73,101,51.27,01033
1,34,185,93,50.27,92,49.73,01034
1,35,209,113,54.07,96,45.93,01035
1,36,165,73,44.24,92,55.76,01036
1,37,183,95,51.91,88,48.09,01037
1,38,163,76,46.63,87,53.37,01038
1,39,148,81,54.73,67,45.27,01039
1,40,206,115,55.83,91,44.17,01040
1,41,145,68,46.9,77,53.1,01041
1,42,54,29,53.7,25,46.3,01042
1,43,115,52,45.22,63,54.78,01043
1,44,179,72,40.22,107,59.78,01044
2,1,169,84,49.7,85,50.3,02001
2,3,210,96,45.71,114,54.29,02003
2,4,139,56,40.29,83,59.71,02004
2,5,201,98,48.76,103,51.24,02005
2,6,149,80,53.69,69,46.31,02006
2,7,159,77,48.43,82,51.57,02007
2,8,171,73,42.69,98,57.31,02008
2,14,201,85,42.29,116,57.71,02014
2,15,182,74,40.66,108,59.34,02015
2,16,165,70,42.42,95,57.58,02016
2,17,235,97,41.28,138,58.72,02017
2,20,61,34,55.74,27,44.26,02020
2,21,195,77,39.49,118,60.51,02021
2,25,177,79,44.63,98,55.37,02025
26,1,166,87,52.41,79,47.59,26001
26,2,35,19,54.29,16,45.71,26002
26,3,168,71,42.26,97,57.74,26003
26,4,95,73,76.84,22,23.16,26004
26,5,143,95,66.43,48,33.57,26005
26,6,121,84,69.42,37,30.58,26006
26,7,136,68,50.0,68,50.0,26007
26,8,79,58,73.42,21,26.58,26008
26,9,134,107,79.85,27,20.15,26009
26,10,56,38,67.86,18,32.14,26010
26,11,144,107,74.31,37,25.69,26011
26,12,150,100,66.67,50,33.33,26012
26,13,70,58,82.86,12,17.14,26013
26,14,108,76,70.37,32,29.63,26014
26,15,70,51,72.86,19,27.14,26015
26,16,77,61,79.22,16,20.78,26016
26,18,95,68,71.58,27,28.42,26018
26,19,91,59,64.84,32,35.16,26019
26,20,125,75,60.0,50,40.0,26020
26,21,155,95,61.29,60,38.71,26021
26,22,64,53,82.81,11,17.19,26022
26,23,92,73,79.35,19,20.65,26023
26,24,130,92,70.77,38,29.23,26024
26,25,125,84,67.2,41,32.8,26025
26,26,82,37,45.12,45,54.88,26026
26,27,189,120,63.49,69,36.51,26027
26,28,196,99,50.51,97,49.49,26028
26,29,91,62,68.13,29,31.87,26029
26,30,109,66,60.55,43,39.45,26030
26,31,68,56,82.35,12,17.65,26031
26,32,140,71,50.71,69,49.29,26032
26,33,145,90,62.07,55,37.93,26033
26,34,182,102,56.04,80,43.96,26034
26,35,144,110,76.39,34,23.61,26035
26,36,111,62,55.86,49,44.14,26036
26,37,133,83,62.41,50,37.59,26037
26,38,52,37,71.15,15,28.85,26038
26,39,139,70,50.36,69,49.64,26039
26,40,89,70,78.65,19,21.35,26040
26,41,145,93,64.14,52,35.86,26041
26,42,110,76,69.09,34,30.91,26042
26,43,68,56,82.35,12,17.65,26043
26,44,99,74,74.75,25,25.25,26044
26,45,55,31,56.36,24,43.64,26045
26,47,76,67,88.16,9,11.84,26047
26,48,125,71,56.8,54,43.2,26048
26,49,69,51,73.91,18,26.09,26049
27,1,143,62,43.36,81,56.64,27001
27,5,1,0,0.0,1,100.0,27005
27,7,199,95,47.74,104,52.26,27007
27,11,85,41,48.24,44,51.76,27011
27,13,272,123,45.22,149,54.78,27013
27,16,1,0,0.0,1,100.0,27016
27,24,12,3,25.0,9,75.0,27024
27,27,2,0,0.0,2,100.0,27027
27,33,41,16,39.02,25,60.98,27033
27,35,13,8,61.54,5,38.46,27035
27,40,189,75,39.68,114,60.32,27040
27,43,13,5,38.46,8,61.54,27043
27,45,15,9,60.0,6,40.0,27045
30,14,81,65,80.25,16,19.75,30014
30,19,132,101,76.52,31,23.48,30019
31,1,79,66,83.54,13,16.46,31001
31,2,91,67,73.63,24,26.37,31002
31,4,166,106,63.86,60,36.14,31004
31,5,133,89,66.92,44,33.08,31005
31,6,84,57,67.86,27,32.14,31006
31,7,187,81,43.32,106,56.68,31007
31,10,86,59,68.6,27,31.4,31010
31,13,125,103,82.4,22,17.6,31013
31,16,143,76,53.15,67,46.85,31016
31,17,76,47,61.84,29,38.16,31017
31,18,99,77,77.78,22,22.22,31018
31,20,95,75,78.95,20,21.05,31020
31,21,99,81,81.82,18,18.18,31021
31,22,86,65,75.58,21,24.42,31022
31,23,97,68,70.1,29,29.9,31023
31,24,145,103,71.03,42,28.97,31024
31,26,115,82,71.3,33,28.7,31026
31,27,114,89,78.07,25,21.93,31027
31,28,80,59,73.75,21,26.25,31028
31,29,114,88,77.19,26,22.81,31029
31,30,72,53,73.61,19,26.39,31030
31,32,61,44,72.13,17,27.87,31032
31,35,74,54,72.97,20,27.03,31035
31,36,133,89,66.92,44,33.08,31036
31,37,88,63,71.59,25,28.41,31037
31,38,86,72,83.72,14,16.28,31038
31,39,113,72,63.72,41,36.28,31039
31,40,112,72,64.29,40,35.71,31040
31,41,102,78,76.47,24,23.53,31041
32,1,218,111,50.92,107,49.08,32001
32,2,169,62,36.69,107,63.31,32002
32,3,262,122,46.56,140,53.44,32003
32,4,183,69,37.7,114,62.3,32004
32,5,190,93,48.95,97,51.05,32005
32,6,193,74,38.34,119,61.66,32006
32,9,171,61,35.67,110,64.33,32009
32,11,242,108,44.63,134,55.37,32011
32,12,181,95,52.49,86,47.51,32012
32,13,108,50,46.3,58,53.7,32013
32,14,231,84,36.36,147,63.64,32014
32,15,175,70,40.0,105,60.0,32015
32,16,201,69,34.33,132,65.67,32016
32,17,221,92,41.63,129,58.37,32017
32,19,23,17,73.91,6,26.09,32019
32,20,248,121,48.79,127,51.21,32020
32,21,31,15,48.39,16,51.61,32021
32,22,311,136,43.73,175,56.27,32022
32,24,93,32,34.41,61,65.59,32024
32,25,27,9,33.33,18,66.67,32025
32,26,259,94,36.29,165,63.71,32026
32,27,144,62,43.06,82,56.94,32027
32,28,236,101,42.8,135,57.2,32028
32,29,218,90,41.28,128,58.72,32029
32,30,120,49,40.83,71,59.17,32030
32,31,180,63,35.0,117,65.0,32031
32,32,198,77,38.89,121,61.11,32032
32,33,184,76,41.3,108,58.7,32033
32,34,173,69,39.88,104,60.12,32034
32,35,148,60,40.54,88,59.46,32035
32,36,191,69,36.13,122,63.87,32036
32,37,151,62,41.06,89,58.94,32037
32,38,153,77,50.33,76,49.67,32038
32,40,202,76,37.62,126,62.38,32040
32,41,174,79,45.4,95,54.6,32041
32,42,154,65,42.21,89,57.79,32042
32,43,202,85,42.08,117,57.92,32043
33,1,237,127,53.59,110,46.41,33001
33,3,290,146,50.34,144,49.66,33003
33,4,262,151,57.63,111,42.37,33004
33,5,148,81,54.73,67,45.27,33005
33,6,200,119,59.5,81,40.5,33006
33,8,353,136,38.53,217,61.47,33008
33,9,258,146,56.59,112,43.41,33009
33,10,196,104,53.06,92,46.94,33010
33,11,220,134,60.91,86,39.09,33011
33,12,204,119,58.33,85,41.67,33012
33,13,203,125,61.58,78,38.42,33013
33,14,89,51,57.3,38,42.7,33014
33,15,260,148,56.92,112,43.08,33015
33,16,296,169,57.09,127,42.91,33016
33,17,231,127,54.98,104,45.02,33017
33,19,203,117,57.64,86,42.36,33019
33,20,249,128,51.41,121,48.59,33020
33,21,250,141,56.4,109,43.6,33021
33,22,237,144,60.76,93,39.24,33022
33,23,247,122,49.39,125,50.61,33023
33,24,403,153,37.97,250,62.03,33024
33,25,261,123,47.13,138,52.87,33025
33,26,155,95,61.29,60,38.71,33026
33,27,223,124,55.61,99,44.39,33027
33,28,199,105,52.76,94,47.24,33028
35,1,180,94,52.22,86,47.78,35001
35,2,259,105,40.54,154,59.46,35002
35,3,182,114,62.64,68,37.36,35003
35,4,167,87,52.1,80,47.9,35004
35,5,162,88,54.32,74,45.68,35005
35,6,184,87,47.28,97,52.72,35006
35,7,198,99,50.0,99,50.0,35007
35,8,213,115,53.99,98,46.01,35008
35,10,280,131,46.79,149,53.21,35010
35,11,196,105,53.57,91,46.43,35011
35,12,127,100,78.74,27,21.26,35012
35,13,123,100,81.3,23,18.7,35013
35,14,133,101,75.94,32,24.06,35014
35,15,221,114,51.58,107,48.42,35015
35,16,101,86,85.15,15,14.85,35016
35,17,192,89,46.35,103,53.65,35017
35,18,129,106,82.17,23,17.83,35018
35,19,90,65,72.22,25,27.78,35019
35,20,152,97,63.82,55,36.18,35020
35,21,174,105,60.34,69,39.66,35021
35,23,108,64,59.26,44,40.74,35023
35,24,151,96,63.58,55,36.42,35024
35,25,205,91,44.39,114,55.61,35025
35,26,161,93,57.76,68,42.24,35026
