ward,precinct,total,Toya T. Harvey,Toya T. Harvey Percent,Tiesha L Smith,Tiesha L Smith Percent,precinct_id
9,1,191,123,64.4,68,35.6,09001
9,2,174,101,58.05,73,41.95,09002
9,3,116,65,56.03,51,43.97,09003
9,4,142,59,41.55,83,58.45,09004
9,5,192,98,51.04,94,48.96,09005
9,6,184,100,54.35,84,45.65,09006
9,7,147,79,53.74,68,46.26,09007
9,8,168,94,55.95,74,44.05,09008
9,9,219,117,53.42,102,46.58,09009
9,10,143,72,50.35,71,49.65,09010
9,11,137,59,43.07,78,56.93,09011
9,13,10,4,40.0,6,60.0,09013
9,14,39,17,43.59,22,56.41,09014
9,15,113,55,48.67,58,51.33,09015
9,16,175,87,49.71,88,50.29,09016
9,17,126,75,59.52,51,40.48,09017
9,18,130,65,50.0,65,50.0,09018
9,19,180,109,60.56,71,39.44,09019
9,20,215,116,53.95,99,46.05,09020
9,21,165,84,50.91,81,49.09,09021
9,22,216,113,52.31,103,47.69,09022
9,26,136,93,68.38,43,31.62,09026
9,27,174,111,63.79,63,36.21,09027
9,28,106,66,62.26,40,37.74,09028
9,29,149,74,49.66,75,50.34,09029
9,30,142,81,57.04,61,42.96,09030
9,31,124,85,68.55,39,31.45,09031
9,32,209,109,52.15,100,47.85,09032
9,33,131,61,46.56,70,53.44,09033
9,34,135,62,45.93,73,54.07,09034
9,35,86,45,52.33,41,47.67,09035
9,37,256,184,71.88,72,28.13,09037
9,38,170,104,61.18,66,38.82,09038
9,39,216,118,54.63,98,45.37,09039
9,40,241,126,52.28,115,47.72,09040
9,41,150,90,60.0,60,40.0,09041
9,43,158,87,55.06,71,44.94,09043
9,44,187,109,58.29,78,41.71,09044
9,45,140,74,52.86,66,47.14,09045
9,46,192,121,63.02,71,36.98,09046
19,28,175,90,51.43,85,48.57,19028
19,43,46,28,60.87,18,39.13,19043
21,1,221,125,56.56,96,43.44,21001
21,2,52,25,48.08,27,51.92,21002
21,3,218,115,52.75,103,47.25,21003
