ward,precinct,total,La Shawn K. Ford,La Shawn K. Ford Percent,precinct_id
28,1,102,102,100.0,28001
28,12,130,130,100.0,28012
28,14,127,127,100.0,28014
28,31,252,252,100.0,28031
28,39,92,92,100.0,28039
28,41,116,116,100.0,28041
28,42,106,106,100.0,28042
28,43,178,178,100.0,28043
29,2,267,267,100.0,29002
29,3,180,180,100.0,29003
29,6,138,138,100.0,29006
29,8,122,122,100.0,29008
29,11,117,117,100.0,29011
29,14,185,185,100.0,29014
29,16,206,206,100.0,29016
29,18,185,185,100.0,29018
29,19,206,206,100.0,29019
29,20,218,218,100.0,29020
29,21,196,196,100.0,29021
29,22,153,153,100.0,29022
29,28,235,235,100.0,29028
29,34,102,102,100.0,29034
29,42,190,190,100.0,29042
37,1,109,109,100.0,37001
37,5,183,183,100.0,37005
37,6,157,157,100.0,37006
37,9,167,167,100.0,37009
37,10,168,168,100.0,37010
37,11,87,87,100.0,37011
37,14,178,178,100.0,37014
37,15,177,177,100.0,37015
37,16,163,163,100.0,37016
37,17,137,137,100.0,37017
37,20,82,82,100.0,37020
37,22,62,62,100.0,37022
37,23,174,174,100.0,37023
37,24,176,176,100.0,37024
37,25,154,154,100.0,37025
37,26,207,207,100.0,37026
37,27,163,163,100.0,37027
37,29,77,77,100.0,37029
37,30,139,139,100.0,37030
37,31,158,158,100.0,37031
37,32,159,159,100.0,37032
37,33,193,193,100.0,37033
37,34,136,136,100.0,37034
37,36,141,141,100.0,37036
37,38,193,193,100.0,37038
37,39,138,138,100.0,37039
37,40,187,187,100.0,37040
37,41,141,141,100.0,37041
