ward,precinct,total,Christian L. Mitchell,Christian L. Mitchell Percent,precinct_id
2,2,159,159,100.0,02002
2,10,151,151,100.0,02010
2,11,200,200,100.0,02011
2,13,176,176,100.0,02013
2,18,160,160,100.0,02018
2,19,125,125,100.0,02019
2,23,134,134,100.0,02023
2,27,117,117,100.0,02027
2,29,121,121,100.0,02029
2,34,193,193,100.0,02034
2,42,40,40,100.0,02042
3,2,28,28,100.0,03002
3,4,254,254,100.0,03004
3,11,103,103,100.0,03011
3,12,159,159,100.0,03012
3,19,225,225,100.0,03019
3,21,112,112,100.0,03021
3,27,127,127,100.0,03027
3,30,191,191,100.0,03030
3,31,136,136,100.0,03031
4,3,195,195,100.0,04003
4,4,304,304,100.0,04004
4,6,62,62,100.0,04006
4,7,342,342,100.0,04007
4,8,288,288,100.0,04008
4,11,144,144,100.0,04011
4,12,259,259,100.0,04012
4,15,52,52,100.0,04015
4,18,225,225,100.0,04018
4,19,155,155,100.0,04019
4,23,71,71,100.0,04023
4,24,222,222,100.0,04024
4,26,216,216,100.0,04026
4,28,206,206,100.0,04028
4,29,201,201,100.0,04029
4,30,249,249,100.0,04030
4,32,251,251,100.0,04032
4,33,243,243,100.0,04033
4,34,30,30,100.0,04034
4,35,309,309,100.0,04035
4,36,151,151,100.0,04036
4,38,196,196,100.0,04038
5,4,272,272,100.0,05004
5,5,167,167,100.0,05005
5,6,183,183,100.0,05006
5,10,151,151,100.0,05010
5,13,161,161,100.0,05013
5,14,20,20,100.0,05014
5,15,200,200,100.0,05015
5,16,174,174,100.0,05016
5,17,72,72,100.0,05017
5,21,105,105,100.0,05021
5,28,119,119,100.0,05028
5,30,66,66,100.0,05030
5,36,110,110,100.0,05036
7,1,153,153,100.0,07001
7,2,144,144,100.0,07002
7,3,224,224,100.0,07003
7,4,193,193,100.0,07004
7,10,209,209,100.0,07010
7,11,14,14,100.0,07011
7,15,182,182,100.0,07015
7,16,10,10,100.0,07016
7,17,15,15,100.0,07017
7,19,195,195,100.0,07019
7,20,124,124,100.0,07020
7,21,37,37,100.0,07021
7,23,226,226,100.0,07023
7,24,152,152,100.0,07024
7,25,76,76,100.0,07025
7,28,14,14,100.0,07028
7,30,12,12,100.0,07030
7,31,100,100,100.0,07031
7,33,3,3,100.0,07033
8,1,7,7,100.0,08001
8,2,113,113,100.0,08002
8,21,0,0,0.0,08021
8,42,235,235,100.0,08042
10,18,77,77,100.0,10018
10,27,128,128,100.0,10027
10,34,54,54,100.0,10034
10,36,0,0,0.0,10036
20,5,171,171,100.0,20005
20,9,228,228,100.0,20009
20,16,180,180,100.0,20016
20,22,229,229,100.0,20022
20,24,34,34,100.0,20024
42,1,173,173,100.0,42001
42,2,138,138,100.0,42002
42,4,228,228,100.0,42004
42,6,243,243,100.0,42006
42,7,197,197,100.0,42007
42,8,156,156,100.0,42008
42,11,126,126,100.0,42011
42,13,196,196,100.0,42013
42,19,51,51,100.0,42019
42,24,152,152,100.0,42024
42,26,176,176,100.0,42026
42,28,227,227,100.0,42028
42,29,151,151,100.0,42029
42,30,179,179,100.0,42030
42,31,177,177,100.0,42031
42,34,144,144,100.0,42034
42,35,235,235,100.0,42035
42,40,139,139,100.0,42040
43,35,217,217,100.0,43035
