ward,precinct,total,Jeanne Marie Wrenn,Jeanne Marie Wrenn Percent,Myron ''Mike'' Mackoff,Myron ''Mike'' Mackoff Percent,Rishi Agrawal,Rishi Agrawal Percent,precinct_id
2,2,158,78,49.37,53,33.54,27,17.09,02002
2,9,104,45,43.27,35,33.65,24,23.08,02009
2,10,154,57,37.01,74,48.05,23,14.94,02010
2,11,192,75,39.06,85,44.27,32,16.67,02011
2,12,186,104,55.91,56,30.11,26,13.98,02012
2,13,171,66,38.6,83,48.54,22,12.87,02013
2,18,174,83,47.7,65,37.36,26,14.94,02018
2,19,122,38,31.15,57,46.72,27,22.13,02019
2,20,59,29,49.15,18,30.51,12,20.34,02020
2,22,162,76,46.91,55,33.95,31,19.14,02022
2,23,137,43,31.39,72,52.55,22,16.06,02023
2,24,155,75,48.39,55,35.48,25,16.13,02024
2,26,124,63,50.81,35,28.23,26,20.97,02026
2,27,133,65,48.87,51,38.35,17,12.78,02027
2,28,166,89,53.61,53,31.93,24,14.46,02028
2,29,179,102,56.98,53,29.61,24,13.41,02029
2,30,153,65,42.48,68,44.44,20,13.07,02030
2,31,236,101,42.8,103,43.64,32,13.56,02031
2,32,133,65,48.87,45,33.83,23,17.29,02032
2,33,279,129,46.24,114,40.86,36,12.9,02033
2,34,209,81,38.76,107,51.2,21,10.05,02034
2,35,159,85,53.46,43,27.04,31,19.5,02035
2,36,142,78,54.93,40,28.17,24,16.9,02036
2,37,166,85,51.2,55,33.13,26,15.66,02037
2,38,134,69,51.49,51,38.06,14,10.45,02038
2,39,103,60,58.25,29,28.16,14,13.59,02039
2,40,168,85,50.6,52,30.95,31,18.45,02040
2,41,108,56,51.85,36,33.33,16,14.81,02041
2,42,131,61,46.56,42,32.06,28,21.37,02042
2,43,164,62,37.8,73,44.51,29,17.68,02043
2,44,104,51,49.04,40,38.46,13,12.5,02044
2,45,178,97,54.49,57,32.02,24,13.48,02045
2,46,87,55,63.22,20,22.99,12,13.79,02046
3,3,175,92,52.57,33,18.86,50,28.57,03003
3,6,219,108,49.32,50,22.83,61,27.85,03006
3,13,260,94,36.15,65,25.0,101,38.85,03013
3,14,190,87,45.79,55,28.95,48,25.26,03014
3,17,206,99,48.06,47,22.82,60,29.13,03017
3,18,42,25,59.52,6,14.29,11,26.19,03018
3,19,209,93,44.5,56,26.79,60,28.71,03019
3,21,253,130,51.38,70,27.67,53,20.95,03021
3,22,221,85,38.46,60,27.15,76,34.39,03022
3,25,310,125,40.32,100,32.26,85,27.42,03025
3,26,311,103,33.12,63,20.26,145,46.62,03026
3,27,235,96,40.85,65,27.66,74,31.49,03027
3,32,213,102,47.89,66,30.99,45,21.13,03032
3,33,195,79,40.51,44,22.56,72,36.92,03033
3,34,244,105,43.03,70,28.69,69,28.28,03034
3,39,254,100,39.37,67,26.38,87,34.25,03039
3,40,238,113,47.48,63,26.47,62,26.05,03040
4,2,249,112,44.98,77,30.92,60,24.1,04002
4,6,74,40,54.05,24,32.43,10,13.51,04006
4,13,149,55,36.91,54,36.24,40,26.85,04013
4,16,277,121,43.68,91,32.85,65,23.47,04016
4,17,262,111,42.37,74,28.24,77,29.39,04017
4,20,225,115,51.11,75,33.33,35,15.56,04020
4,21,220,84,38.18,67,30.45,69,31.36,04021
4,25,219,92,42.01,73,33.33,54,24.66,04025
4,37,316,127,40.19,98,31.01,91,28.8,04037
11,30,87,34,39.08,36,41.38,17,19.54,11030
11,36,66,26,39.39,31,46.97,9,13.64,11036
11,37,40,23,57.5,10,25.0,7,17.5,11037
25,6,61,33,54.1,17,27.87,11,18.03,25006
25,14,88,37,42.05,18,20.45,33,37.5,25014
25,18,152,33,21.71,32,21.05,87,57.24,25018
25,21,260,125,48.08,65,25.0,70,26.92,25021
25,27,49,22,44.9,19,38.78,8,16.33,25027
27,6,130,69,53.08,44,33.85,17,13.08,27006
27,9,70,44,62.86,18,25.71,8,11.43,27009
27,11,33,19,57.58,8,24.24,6,18.18,27011
27,12,82,35,42.68,35,42.68,12,14.63,27012
27,20,83,41,49.4,36,43.37,6,7.23,27020
27,21,114,48,42.11,45,39.47,21,18.42,27021
27,28,82,42,51.22,22,26.83,18,21.95,27028
27,35,140,49,35.0,46,32.86,45,32.14,27035
27,37,158,84,53.16,43,27.22,31,19.62,27037
27,38,261,146,55.94,82,31.42,33,12.64,27038
27,42,106,58,54.72,34,32.08,14,13.21,27042
27,46,82,39,47.56,31,37.8,12,14.63,27046
27,47,119,61,51.26,46,38.66,12,10.08,27047
27,48,195,104,53.33,61,31.28,30,15.38,27048
32,7,174,75,43.1,58,33.33,41,23.56,32007
32,8,172,72,41.86,69,40.12,31,18.02,32008
32,10,176,81,46.02,63,35.8,32,18.18,32010
32,13,48,18,37.5,19,39.58,11,22.92,32013
32,18,144,66,45.83,45,31.25,33,22.92,32018
32,23,147,64,43.54,55,37.41,28,19.05,32023
32,27,17,9,52.94,5,29.41,3,17.65,32027
32,39,181,86,47.51,69,38.12,26,14.36,32039
40,13,146,61,41.78,39,26.71,46,31.51,40013
40,21,95,52,54.74,25,26.32,18,18.95,40021
40,22,221,93,42.08,77,34.84,51,23.08,40022
