ward,precinct,total,Robert Rafael Reyes,Robert Rafael Reyes Percent,Elizabeth ''Lisa'' Hernandez,Elizabeth ''Lisa'' Hernandez Percent,precinct_id
12,16,7,2,28.57,5,71.43,12016
22,3,244,95,38.93,149,61.07,22003
22,4,89,41,46.07,48,53.93,22004
22,5,146,75,51.37,71,48.63,22005
22,6,155,62,40.0,93,60.0,22006
22,7,107,36,33.64,71,66.36,22007
22,9,129,59,45.74,70,54.26,22009
22,10,4,1,25.0,3,75.0,22010
22,11,166,107,64.46,59,35.54,22011
22,13,74,28,37.84,46,62.16,22013
22,15,24,9,37.5,15,62.5,22015
22,16,2,0,0.0,2,100.0,22016
22,17,149,69,46.31,80,53.69,22017
22,18,72,39,54.17,33,45.83,22018
22,20,164,72,43.9,92,56.1,22020
22,24,183,77,42.08,106,57.92,22024
22,25,169,75,44.38,94,55.62,22025
