ward,precinct,total,William H. Laws,William H. Laws Percent,Adrienne Elaine Davis,Adrienne Elaine Davis Percent,precinct_id
9,1,202,83,41.09,119,58.91,09001
9,2,171,61,35.67,110,64.33,09002
9,3,111,32,28.83,79,71.17,09003
9,4,136,52,38.24,84,61.76,09004
9,5,194,61,31.44,133,68.56,09005
9,6,182,71,39.01,111,60.99,09006
9,7,142,50,35.21,92,64.79,09007
9,8,170,66,38.82,104,61.18,09008
9,9,219,80,36.53,139,63.47,09009
9,10,148,56,37.84,92,62.16,09010
9,11,138,44,31.88,94,68.12,09011
9,13,11,5,45.45,6,54.55,09013
9,14,41,17,41.46,24,58.54,09014
9,15,112,33,29.46,79,70.54,09015
9,16,175,68,38.86,107,61.14,09016
9,17,125,41,32.8,84,67.2,09017
9,18,127,44,34.65,83,65.35,09018
9,19,179,75,41.9,104,58.1,09019
9,20,213,70,32.86,143,67.14,09020
9,21,165,69,41.82,96,58.18,09021
9,22,213,88,41.31,125,58.69,09022
9,26,137,60,43.8,77,56.2,09026
9,27,174,57,32.76,117,67.24,09027
9,28,105,46,43.81,59,56.19,09028
9,29,144,55,38.19,89,61.81,09029
9,30,138,51,36.96,87,63.04,09030
9,31,125,47,37.6,78,62.4,09031
9,32,200,82,41.0,118,59.0,09032
9,33,131,52,39.69,79,60.31,09033
9,34,137,54,39.42,83,60.58,09034
9,35,83,22,26.51,61,73.49,09035
9,37,261,64,24.52,197,75.48,09037
9,38,169,64,37.87,105,62.13,09038
9,39,219,83,37.9,136,62.1,09039
9,40,238,104,43.7,134,56.3,09040
9,41,153,54,35.29,99,64.71,09041
9,43,159,52,32.7,107,67.3,09043
9,44,185,70,37.84,115,62.16,09044
9,45,135,58,42.96,77,57.04,09045
9,46,191,59,30.89,132,69.11,09046
19,28,176,63,35.8,113,64.2,19028
19,43,44,15,34.09,29,65.91,19043
21,1,220,89,40.45,131,59.55,21001
21,2,49,20,40.82,29,59.18,21002
21,3,222,91,40.99,131,59.01,21003
21,5,242,84,34.71,158,65.29,21005
21,6,155,60,38.71,95,61.29,21006
21,7,224,82,36.61,142,63.39,21007
21,8,209,90,43.06,119,56.94,21008
21,9,236,95,40.25,141,59.75,21009
21,10,183,75,40.98,108,59.02,21010
21,11,178,86,48.31,92,51.69,21011
21,12,172,65,37.79,107,62.21,21012
21,13,101,32,31.68,69,68.32,21013
21,14,253,99,39.13,154,60.87,21014
21,16,180,80,44.44,100,55.56,21016
21,17,23,9,39.13,14,60.87,21017
21,18,222,93,41.89,129,58.11,21018
21,19,213,83,38.97,130,61.03,21019
21,20,18,6,33.33,12,66.67,21020
21,21,179,63,35.2,116,64.8,21021
21,22,182,68,37.36,114,62.64,21022
21,23,180,67,37.22,113,62.78,21023
21,24,212,93,43.87,119,56.13,21024
21,25,187,71,37.97,116,62.03,21025
21,27,181,63,34.81,118,65.19,21027
21,29,213,81,38.03,132,61.97,21029
21,32,193,80,41.45,113,58.55,21032
21,33,50,14,28.0,36,72.0,21033
21,34,22,7,31.82,15,68.18,21034
21,35,242,122,50.41,120,49.59,21035
21,36,198,80,40.4,118,59.6,21036
21,37,178,64,35.96,114,64.04,21037
21,38,168,62,36.9,106,63.1,21038
21,39,126,52,41.27,74,58.73,21039
21,40,175,69,39.43,106,60.57,21040
21,41,199,76,38.19,123,61.81,21041
21,42,214,93,43.46,121,56.54,21042
21,44,141,59,41.84,82,58.16,21044
21,45,167,60,35.93,107,64.07,21045
21,46,204,74,36.27,130,63.73,21046
21,48,107,39,36.45,68,63.55,21048
21,49,232,77,33.19,155,66.81,21049
21,50,160,52,32.5,108,67.5,21050
21,52,23,11,47.83,12,52.17,21052
34,1,239,87,36.4,152,63.6,34001
34,2,180,77,42.78,103,57.22,34002
34,3,181,76,41.99,105,58.01,34003
34,4,133,48,36.09,85,63.91,34004
34,5,169,70,41.42,99,58.58,34005
34,6,218,100,45.87,118,54.13,34006
34,7,231,83,35.93,148,64.07,34007
34,8,163,64,39.26,99,60.74,34008
34,9,141,71,50.35,70,49.65,34009
34,10,196,74,37.76,122,62.24,34010
34,11,145,74,51.03,71,48.97,34011
34,12,192,83,43.23,109,56.77,34012
34,13,208,85,40.87,123,59.13,34013
34,14,146,58,39.73,88,60.27,34014
34,15,142,64,45.07,78,54.93,34015
34,16,164,64,39.02,100,60.98,34016
34,18,152,63,41.45,89,58.55,34018
34,19,169,66,39.05,103,60.95,34019
34,20,253,112,44.27,141,55.73,34020
34,21,262,118,45.04,144,54.96,34021
34,22,206,79,38.35,127,61.65,34022
34,23,155,64,41.29,91,58.71,34023
34,24,172,67,38.95,105,61.05,34024
34,25,305,123,40.33,182,59.67,34025
34,26,220,101,45.91,119,54.09,34026
34,27,171,73,42.69,98,57.31,34027
34,28,112,68,60.71,44,39.29,34028
34,29,149,53,35.57,96,64.43,34029
34,30,226,91,40.27,135,59.73,34030
34,31,152,78,51.32,74,48.68,34031
34,32,175,64,36.57,111,63.43,34032
34,33,157,90,57.32,67,42.68,34033
34,34,225,91,40.44,134,59.56,34034
34,35,203,75,36.95,128,63.05,34035
34,36,200,93,46.5,107,53.5,34036
34,37,111,54,48.65,57,51.35,34037
34,38,77,41,53.25,36,46.75,34038
34,39,128,63,49.22,65,50.78,34039
34,40,213,72,33.8,141,66.2,34040
34,41,132,64,48.48,68,51.52,34041
34,42,232,97,41.81,135,58.19,34042
34,43,220,101,45.91,119,54.09,34043
34,44,230,91,39.57,139,60.43,34044
34,45,195,60,30.77,135,69.23,34045
34,46,142,65,45.77,77,54.23,34046
34,47,163,70,42.94,93,57.06,34047
34,48,247,90,36.44,157,63.56,34048
34,49,130,56,43.08,74,56.92,34049
34,50,136,52,38.24,84,61.76,34050
34,51,236,96,40.68,140,59.32,34051
34,52,165,73,44.24,92,55.76,34052
34,53,107,48,44.86,59,55.14,34053
