ward,precinct,total,John C. D'Amico,John C. D'Amico Percent,precinct_id
33,2,118,118,100.0,33002
33,7,50,50,100.0,33007
35,30,36,36,100.0,35030
39,1,201,201,100.0,39001
39,2,159,159,100.0,39002
39,4,184,184,100.0,39004
39,5,170,170,100.0,39005
39,6,178,178,100.0,39006
39,7,147,147,100.0,39007
39,8,183,183,100.0,39008
39,9,168,168,100.0,39009
39,10,92,92,100.0,39010
39,11,159,159,100.0,39011
39,12,100,100,100.0,39012
39,13,127,127,100.0,39013
39,14,147,147,100.0,39014
39,15,181,181,100.0,39015
39,16,123,123,100.0,39016
39,17,224,224,100.0,39017
39,18,181,181,100.0,39018
39,19,194,194,100.0,39019
39,24,19,19,100.0,39024
39,25,29,29,100.0,39025
39,26,160,160,100.0,39026
39,27,43,43,100.0,39027
39,29,98,98,100.0,39029
39,30,142,142,100.0,39030
39,31,22,22,100.0,39031
39,32,158,158,100.0,39032
39,33,195,195,100.0,39033
39,35,137,137,100.0,39035
39,36,59,59,100.0,39036
39,37,224,224,100.0,39037
39,38,129,129,100.0,39038
39,39,117,117,100.0,39039
39,40,158,158,100.0,39040
39,41,188,188,100.0,39041
39,42,224,224,100.0,39042
39,43,204,204,100.0,39043
39,44,130,130,100.0,39044
39,45,170,170,100.0,39045
41,6,221,221,100.0,41006
41,9,163,163,100.0,41009
41,14,203,203,100.0,41014
41,19,183,183,100.0,41019
41,32,147,147,100.0,41032
41,39,218,218,100.0,41039
41,47,184,184,100.0,41047
45,32,16,16,100.0,45032
50,24,123,123,100.0,50024
50,25,20,20,100.0,50025
