ward,precinct,total,John J. Cullerton,John J. Cullerton Percent,Ross Outten,Ross Outten Percent,precinct_id
1,3,198,110,55.56,88,44.44,01003
1,4,187,107,57.22,80,42.78,01004
1,5,166,73,43.98,93,56.02,01005
1,6,165,83,50.3,82,49.7,01006
1,8,157,92,58.6,65,41.4,01008
1,10,165,86,52.12,79,47.88,01010
1,11,185,83,44.86,102,55.14,01011
1,14,153,99,64.71,54,35.29,01014
1,21,179,92,51.4,87,48.6,01021
1,28,72,54,75.0,18,25.0,01028
1,32,97,48,49.48,49,50.52,01032
1,33,202,106,52.48,96,47.52,01033
1,35,210,131,62.38,79,37.62,01035
1,36,163,77,47.24,86,52.76,01036
1,37,193,110,56.99,83,43.01,01037
1,38,28,10,35.71,18,64.29,01038
1,39,151,87,57.62,64,42.38,01039
1,40,180,113,62.78,67,37.22,01040
2,1,177,86,48.59,91,51.41,02001
2,3,206,101,49.03,105,50.97,02003
2,4,140,72,51.43,68,48.57,02004
2,5,193,111,57.51,82,42.49,02005
2,6,148,80,54.05,68,45.95,02006
2,7,164,94,57.32,70,42.68,02007
2,8,180,90,50.0,90,50.0,02008
2,12,68,40,58.82,28,41.18,02012
2,14,20,14,70.0,6,30.0,02014
2,15,187,106,56.68,81,43.32,02015
2,16,155,93,60.0,62,40.0,02016
2,17,0,0,0.0,0,0.0,02017
2,20,108,74,68.52,34,31.48,02020
2,21,201,92,45.77,109,54.23,02021
2,22,185,126,68.11,59,31.89,02022
2,24,181,135,74.59,46,25.41,02024
2,25,176,97,55.11,79,44.89,02025
2,26,138,91,65.94,47,34.06,02026
2,28,150,91,60.67,59,39.33,02028
2,30,156,91,58.33,65,41.67,02030
2,31,241,152,63.07,89,36.93,02031
2,33,296,199,67.23,97,32.77,02033
2,37,180,115,63.89,65,36.11,02037
2,38,35,21,60.0,14,40.0,02038
2,44,114,82,71.93,32,28.07,02044
26,28,107,63,58.88,44,41.12,26028
26,32,146,86,58.9,60,41.1,26032
27,7,204,121,59.31,83,40.69,27007
27,12,85,49,57.65,36,42.35,27012
27,13,80,54,67.5,26,32.5,27013
27,27,5,4,80.0,1,20.0,27027
27,35,3,2,66.67,1,33.33,27035
27,37,8,7,87.5,1,12.5,27037
27,40,27,20,74.07,7,25.93,27040
27,42,33,17,51.52,16,48.48,27042
27,43,6,4,66.67,2,33.33,27043
27,46,96,62,64.58,34,35.42,27046
29,23,32,23,71.88,9,28.13,29023
29,29,151,101,66.89,50,33.11,29029
29,31,131,93,70.99,38,29.01,29031
29,32,107,75,70.09,32,29.91,29032
29,38,0,0,0.0,0,0.0,29038
29,39,73,51,69.86,22,30.14,29039
30,15,154,81,52.6,73,47.4,30015
30,17,73,46,63.01,27,36.99,30017
30,21,114,85,74.56,29,25.44,30021
32,1,218,144,66.06,74,33.94,32001
32,2,168,101,60.12,67,39.88,32002
32,4,180,119,66.11,61,33.89,32004
32,5,177,109,61.58,68,38.42,32005
32,6,182,113,62.09,69,37.91,32006
32,7,180,118,65.56,62,34.44,32007
32,8,182,112,61.54,70,38.46,32008
32,9,182,121,66.48,61,33.52,32009
32,10,198,128,64.65,70,35.35,32010
32,13,173,115,66.47,58,33.53,32013
32,15,192,125,65.1,67,34.9,32015
32,16,200,113,56.5,87,43.5,32016
32,18,149,106,71.14,43,28.86,32018
32,19,175,109,62.29,66,37.71,32019
32,21,227,151,66.52,76,33.48,32021
32,23,161,97,60.25,64,39.75,32023
32,24,98,72,73.47,26,26.53,32024
32,25,193,124,64.25,69,35.75,32025
32,27,156,97,62.18,59,37.82,32027
32,29,226,130,57.52,96,42.48,32029
32,30,139,107,76.98,32,23.02,32030
32,31,188,119,63.3,69,36.7,32031
32,32,198,124,62.63,74,37.37,32032
32,33,189,117,61.9,72,38.1,32033
32,34,172,100,58.14,72,41.86,32034
32,35,153,103,67.32,50,32.68,32035
32,36,176,106,60.23,70,39.77,32036
32,37,162,102,62.96,60,37.04,32037
32,38,155,115,74.19,40,25.81,32038
32,39,195,129,66.15,66,33.85,32039
32,40,220,144,65.45,76,34.55,32040
32,41,200,132,66.0,68,34.0,32041
32,42,157,101,64.33,56,35.67,32042
33,2,269,149,55.39,120,44.61,33002
33,3,28,14,50.0,14,50.0,33003
33,5,148,88,59.46,60,40.54,33005
33,7,139,87,62.59,52,37.41,33007
33,8,249,156,62.65,93,37.35,33008
33,10,17,7,41.18,10,58.82,33010
33,18,250,120,48.0,130,52.0,33018
33,19,107,56,52.34,51,47.66,33019
33,23,15,7,46.67,8,53.33,33023
33,24,402,224,55.72,178,44.28,33024
33,27,1,1,100.0,0,0.0,33027
36,7,204,139,68.14,65,31.86,36007
36,14,164,107,65.24,57,34.76,36014
36,15,189,130,68.78,59,31.22,36015
36,16,132,84,63.64,48,36.36,36016
36,17,188,121,64.36,67,35.64,36017
36,18,152,105,69.08,47,30.92,36018
36,20,76,57,75.0,19,25.0,36020
36,24,95,63,66.32,32,33.68,36024
36,26,113,85,75.22,28,24.78,36026
36,28,95,76,80.0,19,20.0,36028
36,29,73,47,64.38,26,35.62,36029
36,30,131,90,68.7,41,31.3,36030
38,2,178,118,66.29,60,33.71,38002
38,3,134,99,73.88,35,26.12,38003
38,4,153,106,69.28,47,30.72,38004
38,5,149,98,65.77,51,34.23,38005
38,6,129,91,70.54,38,29.46,38006
38,7,134,100,74.63,34,25.37,38007
38,8,134,88,65.67,46,34.33,38008
38,9,170,115,67.65,55,32.35,38009
38,10,126,79,62.7,47,37.3,38010
38,11,171,118,69.01,53,30.99,38011
38,12,152,105,69.08,47,30.92,38012
38,13,169,106,62.72,63,37.28,38013
38,14,162,112,69.14,50,30.86,38014
38,15,147,108,73.47,39,26.53,38015
38,16,159,107,67.3,52,32.7,38016
38,17,175,122,69.71,53,30.29,38017
38,18,171,111,64.91,60,35.09,38018
38,19,196,132,67.35,64,32.65,38019
38,20,154,100,64.94,54,35.06,38020
38,21,148,105,70.95,43,29.05,38021
38,22,181,121,66.85,60,33.15,38022
38,23,193,132,68.39,61,31.61,38023
38,24,158,115,72.78,43,27.22,38024
38,25,136,103,75.74,33,24.26,38025
38,26,150,105,70.0,45,30.0,38026
38,27,143,98,68.53,45,31.47,38027
38,28,179,120,67.04,59,32.96,38028
38,29,159,112,70.44,47,29.56,38029
38,30,147,104,70.75,43,29.25,38030
38,31,182,113,62.09,69,37.91,38031
38,32,142,99,69.72,43,30.28,38032
38,33,161,119,73.91,42,26.09,38033
38,34,164,116,70.73,48,29.27,38034
38,35,76,55,72.37,21,27.63,38035
38,36,146,102,69.86,44,30.14,38036
38,37,170,105,61.76,65,38.24,38037
38,38,147,100,68.03,47,31.97,38038
38,39,205,139,67.8,66,32.2,38039
38,40,178,124,69.66,54,30.34,38040
39,1,212,128,60.38,84,39.62,39001
39,2,166,103,62.05,63,37.95,39002
39,3,244,123,50.41,121,49.59,39003
39,4,193,126,65.28,67,34.72,39004
39,5,173,108,62.43,65,37.57,39005
39,6,187,115,61.5,72,38.5,39006
39,7,153,100,65.36,53,34.64,39007
39,8,186,114,61.29,72,38.71,39008
39,9,159,91,57.23,68,42.77,39009
39,10,103,64,62.14,39,37.86,39010
39,11,157,101,64.33,56,35.67,39011
39,12,167,100,59.88,67,40.12,39012
39,13,127,88,69.29,39,30.71,39013
39,14,152,85,55.92,67,44.08,39014
39,15,186,120,64.52,66,35.48,39015
39,16,115,62,53.91,53,46.09,39016
39,17,228,146,64.04,82,35.96,39017
39,18,197,140,71.07,57,28.93,39018
39,19,201,121,60.2,80,39.8,39019
39,20,223,156,69.96,67,30.04,39020
39,21,167,115,68.86,52,31.14,39021
39,22,118,59,50.0,59,50.0,39022
39,23,208,144,69.23,64,30.77,39023
39,24,228,137,60.09,91,39.91,39024
39,25,148,90,60.81,58,39.19,39025
39,26,155,105,67.74,50,32.26,39026
39,27,44,25,56.82,19,43.18,39027
39,28,128,73,57.03,55,42.97,39028
39,29,104,66,63.46,38,36.54,39029
39,30,218,121,55.5,97,44.5,39030
39,32,153,96,62.75,57,37.25,39032
39,33,204,120,58.82,84,41.18,39033
