ward,precinct,total,John Fritchey,John Fritchey Percent,precinct_id
1,5,182,82,45.05,01005
1,8,166,68,40.96,01008
1,11,211,71,33.65,01011
1,14,155,66,42.58,01014
1,21,184,62,33.7,01021
1,28,70,40,57.14,01028
1,38,110,40,36.36,01038
1,42,15,7,46.67,01042
2,1,127,43,33.86,02001
2,6,167,67,40.12,02006
2,7,169,72,42.6,02007
2,8,190,82,43.16,02008
2,15,191,74,38.74,02015
2,16,161,69,42.86,02016
2,20,142,60,42.25,02020
2,22,196,116,59.18,02022
2,24,195,111,56.92,02024
2,25,188,83,44.15,02025
2,26,143,81,56.64,02026
2,27,23,8,34.78,02027
2,32,138,59,42.75,02032
2,39,113,65,57.52,02039
2,40,195,87,44.62,02040
2,41,124,51,41.13,02041
2,42,105,46,43.81,02042
2,43,186,86,46.24,02043
2,45,194,94,48.45,02045
27,1,157,56,35.67,27001
27,11,94,43,45.74,27011
27,28,85,43,50.59,27028
27,35,159,56,35.22,27035
27,37,10,5,50.0,27037
30,1,187,77,41.18,30001
30,4,130,72,55.38,30004
30,9,77,39,50.65,30009
30,17,170,100,58.82,30017
30,21,65,38,58.46,30021
32,1,204,88,43.14,32001
32,2,175,67,38.29,32002
32,4,194,73,37.63,32004
32,5,131,41,31.3,32005
32,6,194,72,37.11,32006
32,7,195,67,34.36,32007
32,8,180,82,45.56,32008
32,9,185,86,46.49,32009
32,10,202,95,47.03,32010
32,13,181,108,59.67,32013
32,15,201,76,37.81,32015
32,18,163,96,58.9,32018
32,19,184,70,38.04,32019
32,21,243,99,40.74,32021
32,23,174,75,43.1,32023
32,24,109,50,45.87,32024
32,25,215,95,44.19,32025
32,27,173,90,52.02,32027
32,30,150,74,49.33,32030
32,31,206,92,44.66,32031
32,32,200,73,36.5,32032
32,33,204,80,39.22,32033
32,34,192,69,35.94,32034
32,35,158,75,47.47,32035
32,36,204,80,39.22,32036
32,37,169,59,34.91,32037
32,38,167,73,43.71,32038
32,39,197,120,60.91,32039
32,40,235,119,50.64,32040
32,41,205,94,45.85,32041
32,42,171,67,39.18,32042
33,2,296,148,50.0,33002
33,4,2,2,100.0,33004
33,7,232,110,47.41,33007
33,8,241,125,51.87,33008
33,9,247,101,40.89,33009
33,10,226,94,41.59,33010
33,18,272,91,33.46,33018
33,22,218,118,54.13,33022
33,23,258,94,36.43,33023
33,24,424,171,40.33,33024
33,25,275,123,44.73,33025
