ward,precinct,total,Maria M. Barlow,Maria M. Barlow Percent,Stanley S. Moore,Stanley S. Moore Percent,Marcel Bright,Marcel Bright Percent,Gaylon Alcaraz,Gaylon Alcaraz Percent,precinct_id
8,23,178,53,29.78,103,57.87,16,8.99,6,3.37,08023
8,24,155,48,30.97,82,52.9,19,12.26,6,3.87,08024
8,25,196,59,30.1,109,55.61,18,9.18,10,5.1,08025
8,27,264,106,40.15,108,40.91,33,12.5,17,6.44,08027
8,28,63,29,46.03,25,39.68,6,9.52,3,4.76,08028
8,29,267,85,31.84,152,56.93,22,8.24,8,3.0,08029
8,30,217,75,34.56,111,51.15,22,10.14,9,4.15,08030
8,31,172,59,34.3,95,55.23,14,8.14,4,2.33,08031
8,32,172,50,29.07,84,48.84,16,9.3,22,12.79,08032
8,33,220,53,24.09,102,46.36,62,28.18,3,1.36,08033
8,34,214,70,32.71,116,54.21,16,7.48,12,5.61,08034
8,35,254,37,14.57,120,47.24,89,35.04,8,3.15,08035
8,36,244,67,27.46,138,56.56,26,10.66,13,5.33,08036
8,37,209,64,30.62,89,42.58,42,20.1,14,6.7,08037
8,38,135,42,31.11,67,49.63,19,14.07,7,5.19,08038
8,39,218,60,27.52,109,50.0,23,10.55,26,11.93,08039
8,40,175,75,42.86,77,44.0,15,8.57,8,4.57,08040
8,41,217,84,38.71,99,45.62,22,10.14,12,5.53,08041
8,44,137,45,32.85,82,59.85,8,5.84,2,1.46,08044
8,46,164,65,39.63,73,44.51,21,12.8,5,3.05,08046
8,47,178,51,28.65,108,60.67,14,7.87,5,2.81,08047
8,48,186,69,37.1,81,43.55,25,13.44,11,5.91,08048
8,49,212,70,33.02,110,51.89,26,12.26,6,2.83,08049
8,50,247,81,32.79,141,57.09,20,8.1,5,2.02,08050
8,51,265,99,37.36,121,45.66,36,13.58,9,3.4,08051
8,52,314,105,33.44,144,45.86,58,18.47,7,2.23,08052
8,53,125,29,23.2,69,55.2,22,17.6,5,4.0,08053
8,56,259,67,25.87,127,49.03,62,23.94,3,1.16,08056
9,1,147,60,40.82,71,48.3,14,9.52,2,1.36,09001
9,2,151,56,37.09,74,49.01,16,10.6,5,3.31,09002
9,8,179,63,35.2,82,45.81,20,11.17,14,7.82,09008
9,10,155,45,29.03,85,54.84,16,10.32,9,5.81,09010
9,12,254,117,46.06,114,44.88,15,5.91,8,3.15,09012
9,17,53,24,45.28,23,43.4,4,7.55,2,3.77,09017
9,20,224,91,40.63,101,45.09,24,10.71,8,3.57,09020
9,21,168,63,37.5,85,50.6,15,8.93,5,2.98,09021
9,23,257,107,41.63,117,45.53,22,8.56,11,4.28,09023
9,24,202,60,29.7,116,57.43,20,9.9,6,2.97,09024
9,25,202,75,37.13,96,47.52,19,9.41,12,5.94,09025
9,27,173,54,31.21,103,59.54,12,6.94,4,2.31,09027
9,30,146,53,36.3,77,52.74,13,8.9,3,2.05,09030
9,36,177,62,35.03,95,53.67,16,9.04,4,2.26,09036
9,37,264,107,40.53,94,35.61,28,10.61,35,13.26,09037
9,42,224,61,27.23,130,58.04,22,9.82,11,4.91,09042
9,46,34,9,26.47,13,38.24,3,8.82,9,26.47,09046
9,47,252,103,40.87,112,44.44,17,6.75,20,7.94,09047
9,48,228,88,38.6,115,50.44,20,8.77,5,2.19,09048
9,49,210,75,35.71,105,50.0,20,9.52,10,4.76,09049
9,50,313,97,30.99,168,53.67,29,9.27,19,6.07,09050
9,51,220,65,29.55,130,59.09,18,8.18,7,3.18,09051
10,1,161,49,30.43,64,39.75,20,12.42,28,17.39,10001
10,2,153,55,35.95,47,30.72,20,13.07,31,20.26,10002
10,3,134,58,43.28,45,33.58,10,7.46,21,15.67,10003
10,4,123,53,43.09,41,33.33,5,4.07,24,19.51,10004
10,5,105,42,40.0,26,24.76,7,6.67,30,28.57,10005
10,6,117,37,31.62,30,25.64,6,5.13,44,37.61,10006
10,7,93,48,51.61,13,13.98,5,5.38,27,29.03,10007
10,8,81,30,37.04,33,40.74,8,9.88,10,12.35,10008
10,9,121,60,49.59,22,18.18,15,12.4,24,19.83,10009
10,10,147,59,40.14,30,20.41,6,4.08,52,35.37,10010
10,11,157,70,44.59,27,17.2,6,3.82,54,34.39,10011
10,12,87,43,49.43,9,10.34,3,3.45,32,36.78,10012
10,13,148,59,39.86,35,23.65,12,8.11,42,28.38,10013
10,14,167,64,38.32,29,17.37,6,3.59,68,40.72,10014
10,15,396,163,41.16,168,42.42,51,12.88,14,3.54,10015
10,16,102,49,48.04,23,22.55,10,9.8,20,19.61,10016
10,17,195,77,39.49,55,28.21,16,8.21,47,24.1,10017
10,18,89,37,41.57,26,29.21,4,4.49,22,24.72,10018
10,19,131,57,43.51,20,15.27,8,6.11,46,35.11,10019
10,20,143,64,44.76,32,22.38,11,7.69,36,25.17,10020
10,21,110,54,49.09,19,17.27,4,3.64,33,30.0,10021
10,22,82,32,39.02,15,18.29,3,3.66,32,39.02,10022
10,23,116,43,37.07,23,19.83,5,4.31,45,38.79,10023
10,24,126,45,35.71,45,35.71,6,4.76,30,23.81,10024
10,25,51,21,41.18,13,25.49,4,7.84,13,25.49,10025
10,26,97,48,49.48,24,24.74,2,2.06,23,23.71,10026
10,27,144,46,31.94,57,39.58,14,9.72,27,18.75,10027
10,28,150,66,44.0,41,27.33,7,4.67,36,24.0,10028
10,29,115,38,33.04,19,16.52,11,9.57,47,40.87,10029
10,30,127,63,49.61,18,14.17,8,6.3,38,29.92,10030
10,31,98,39,39.8,20,20.41,8,8.16,31,31.63,10031
10,32,127,53,41.73,29,22.83,9,7.09,36,28.35,10032
10,33,104,44,42.31,20,19.23,10,9.62,30,28.85,10033
10,34,87,37,42.53,31,35.63,5,5.75,14,16.09,10034
10,35,158,67,42.41,34,21.52,10,6.33,47,29.75,10035
10,36,42,16,38.1,12,28.57,6,14.29,8,19.05,10036
18,19,12,6,50.0,5,41.67,1,8.33,0,0.0,18019
18,32,229,84,36.68,122,53.28,15,6.55,8,3.49,18032
21,1,236,59,25.0,147,62.29,21,8.9,9,3.81,21001
21,2,151,47,31.13,89,58.94,10,6.62,5,3.31,21002
21,3,239,64,26.78,148,61.92,23,9.62,4,1.67,21003
