ward,precinct,total,Karen Yarbrough,Karen Yarbrough Percent,precinct_id
1,12,224,224,100.0,01012
1,14,44,44,100.0,01014
1,15,38,38,100.0,01015
1,32,56,56,100.0,01032
2,2,158,158,100.0,02002
2,9,117,117,100.0,02009
2,10,158,158,100.0,02010
2,11,188,188,100.0,02011
2,12,110,110,100.0,02012
2,13,175,175,100.0,02013
2,14,181,181,100.0,02014
2,17,233,233,100.0,02017
2,18,162,162,100.0,02018
2,19,125,125,100.0,02019
2,20,25,25,100.0,02020
2,21,6,6,100.0,02021
2,23,129,129,100.0,02023
2,27,141,141,100.0,02027
2,28,28,28,100.0,02028
2,29,171,171,100.0,02029
2,32,134,134,100.0,02032
2,34,192,192,100.0,02034
2,35,157,157,100.0,02035
2,36,143,143,100.0,02036
2,38,111,111,100.0,02038
2,39,95,95,100.0,02039
2,40,187,187,100.0,02040
2,41,122,122,100.0,02041
2,42,138,138,100.0,02042
2,43,175,175,100.0,02043
2,45,188,188,100.0,02045
2,46,88,88,100.0,02046
3,1,293,293,100.0,03001
3,2,299,299,100.0,03002
3,3,183,183,100.0,03003
3,4,132,132,100.0,03004
3,5,117,117,100.0,03005
3,6,222,222,100.0,03006
3,8,154,154,100.0,03008
3,9,223,223,100.0,03009
3,10,110,110,100.0,03010
3,11,224,224,100.0,03011
3,12,264,264,100.0,03012
3,13,267,267,100.0,03013
3,14,190,190,100.0,03014
3,15,208,208,100.0,03015
3,16,186,186,100.0,03016
3,17,223,223,100.0,03017
3,18,142,142,100.0,03018
3,19,218,218,100.0,03019
3,20,211,211,100.0,03020
3,21,273,273,100.0,03021
3,22,227,227,100.0,03022
3,23,137,137,100.0,03023
3,24,203,203,100.0,03024
3,25,310,310,100.0,03025
3,26,295,295,100.0,03026
3,27,239,239,100.0,03027
3,28,165,165,100.0,03028
3,29,200,200,100.0,03029
3,30,99,99,100.0,03030
3,31,240,240,100.0,03031
3,32,227,227,100.0,03032
3,33,209,209,100.0,03033
3,34,266,266,100.0,03034
3,35,5,5,100.0,03035
3,36,125,125,100.0,03036
3,37,176,176,100.0,03037
3,39,274,274,100.0,03039
3,40,237,237,100.0,03040
4,2,255,255,100.0,04002
4,4,269,269,100.0,04004
4,5,268,268,100.0,04005
4,6,302,302,100.0,04006
4,7,363,363,100.0,04007
4,8,34,34,100.0,04008
4,10,329,329,100.0,04010
4,11,126,126,100.0,04011
4,13,163,163,100.0,04013
4,14,30,30,100.0,04014
4,15,84,84,100.0,04015
4,16,271,271,100.0,04016
4,17,267,267,100.0,04017
4,20,229,229,100.0,04020
4,21,219,219,100.0,04021
4,22,10,10,100.0,04022
4,25,240,240,100.0,04025
4,28,144,144,100.0,04028
4,29,63,63,100.0,04029
4,30,32,32,100.0,04030
4,34,228,228,100.0,04034
4,35,314,314,100.0,04035
4,36,135,135,100.0,04036
4,37,310,310,100.0,04037
6,21,73,73,100.0,06021
11,2,12,12,100.0,11002
11,6,214,214,100.0,11006
11,7,156,156,100.0,11007
11,14,64,64,100.0,11014
11,30,73,73,100.0,11030
11,33,184,184,100.0,11033
11,34,67,67,100.0,11034
11,35,56,56,100.0,11035
11,36,71,71,100.0,11036
11,37,36,36,100.0,11037
12,10,29,29,100.0,12010
12,15,88,88,100.0,12015
12,18,8,8,100.0,12018
15,2,97,97,100.0,15002
15,3,102,102,100.0,15003
15,7,91,91,100.0,15007
15,13,15,15,100.0,15013
15,14,19,19,100.0,15014
15,16,1,1,100.0,15016
15,17,117,117,100.0,15017
15,18,77,77,100.0,15018
15,20,98,98,100.0,15020
15,21,107,107,100.0,15021
15,22,94,94,100.0,15022
15,23,123,123,100.0,15023
15,24,86,86,100.0,15024
16,2,123,123,100.0,16002
16,3,95,95,100.0,16003
16,4,104,104,100.0,16004
16,5,84,84,100.0,16005
16,6,114,114,100.0,16006
16,7,104,104,100.0,16007
16,8,74,74,100.0,16008
16,9,11,11,100.0,16009
16,10,101,101,100.0,16010
16,11,92,92,100.0,16011
16,12,85,85,100.0,16012
16,13,92,92,100.0,16013
16,14,89,89,100.0,16014
16,15,134,134,100.0,16015
16,16,119,119,100.0,16016
16,17,108,108,100.0,16017
16,18,105,105,100.0,16018
16,19,97,97,100.0,16019
16,20,94,94,100.0,16020
16,21,99,99,100.0,16021
16,22,98,98,100.0,16022
16,23,6,6,100.0,16023
16,24,67,67,100.0,16024
16,25,136,136,100.0,16025
16,26,107,107,100.0,16026
16,27,104,104,100.0,16027
16,29,100,100,100.0,16029
16,31,121,121,100.0,16031
16,33,107,107,100.0,16033
16,34,72,72,100.0,16034
16,35,96,96,100.0,16035
16,36,88,88,100.0,16036
17,6,70,70,100.0,17006
17,7,96,96,100.0,17007
17,8,0,0,0.0,17008
17,12,152,152,100.0,17012
17,13,112,112,100.0,17013
17,14,153,153,100.0,17014
