ward,precinct,total,Mary E. Flowers,Mary E. Flowers Percent,Willie Preston,Willie Preston Percent,precinct_id
6,10,115,82,71.3,33,28.7,06010
6,17,131,115,87.79,16,12.21,06017
6,19,49,41,83.67,8,16.33,06019
6,20,111,98,88.29,13,11.71,06020
6,22,114,94,82.46,20,17.54,06022
6,25,106,84,79.25,22,20.75,06025
6,26,17,14,82.35,3,17.65,06026
6,27,101,81,80.2,20,19.8,06027
17,2,171,133,77.78,38,22.22,17002
17,4,256,210,82.03,46,17.97,17004
17,5,149,128,85.91,21,14.09,17005
17,9,152,116,76.32,36,23.68,17009
17,10,253,212,83.79,41,16.21,17010
17,11,100,86,86.0,14,14.0,17011
17,15,188,157,83.51,31,16.49,17015
17,18,218,186,85.32,32,14.68,17018
17,20,275,234,85.09,41,14.91,17020
17,21,42,35,83.33,7,16.67,17021
17,22,170,136,80.0,34,20.0,17022
17,23,128,108,84.38,20,15.63,17023
17,24,222,189,85.14,33,14.86,17024
17,26,204,178,87.25,26,12.75,17026
17,27,192,171,89.06,21,10.94,17027
17,28,144,109,75.69,35,24.31,17028
17,29,170,139,81.76,31,18.24,17029
17,32,118,98,83.05,20,16.95,17032
17,34,96,84,87.5,12,12.5,17034
17,37,129,109,84.5,20,15.5,17037
17,38,169,144,85.21,25,14.79,17038
17,39,190,157,82.63,33,17.37,17039
17,40,232,203,87.5,29,12.5,17040
17,41,256,200,78.13,56,21.88,17041
18,4,258,210,81.4,48,18.6,18004
18,6,83,72,86.75,11,13.25,18006
18,7,177,158,89.27,19,10.73,18007
18,8,217,182,83.87,35,16.13,18008
18,9,102,79,77.45,23,22.55,18009
18,10,316,257,81.33,59,18.67,18010
18,12,119,101,84.87,18,15.13,18012
18,13,229,187,81.66,42,18.34,18013
18,14,220,186,84.55,34,15.45,18014
18,16,200,166,83.0,34,17.0,18016
18,18,213,179,84.04,34,15.96,18018
18,19,225,188,83.56,37,16.44,18019
18,20,176,144,81.82,32,18.18,18020
18,21,85,64,75.29,21,24.71,18021
18,22,285,238,83.51,47,16.49,18022
18,26,212,168,79.25,44,20.75,18026
18,29,4,3,75.0,1,25.0,18029
18,32,13,10,76.92,3,23.08,18032
18,33,31,29,93.55,2,6.45,18033
18,35,289,222,76.82,67,23.18,18035
18,36,200,173,86.5,27,13.5,18036
18,37,253,200,79.05,53,20.95,18037
18,38,210,173,82.38,37,17.62,18038
18,41,257,212,82.49,45,17.51,18041
21,2,98,76,77.55,22,22.45,21002
21,4,205,177,86.34,28,13.66,21004
21,13,27,22,81.48,5,18.52,21013
21,15,128,97,75.78,31,24.22,21015
21,17,5,4,80.0,1,20.0,21017
21,20,119,99,83.19,20,16.81,21020
21,26,175,146,83.43,29,16.57,21026
21,28,260,213,81.92,47,18.08,21028
21,30,175,147,84.0,28,16.0,21030
21,34,155,124,80.0,31,20.0,21034
21,43,193,162,83.94,31,16.06,21043
21,44,71,56,78.87,15,21.13,21044
21,47,170,142,83.53,28,16.47,21047
21,51,215,180,83.72,35,16.28,21051
21,52,192,158,82.29,34,17.71,21052
21,53,82,63,76.83,19,23.17,21053
21,54,198,175,88.38,23,11.62,21054
