ward,precinct,total,Stephanie Saltouros,Stephanie Saltouros Percent,Gwyn E. Ward Brown,Gwyn E. Ward Brown Percent,Lorraine Murphy,Lorraine Murphy Percent,precinct_id
30,3,63,37,58.73,14,22.22,12,19.05,30003
30,15,181,104,57.46,28,15.47,49,27.07,30015
30,20,30,16,53.33,9,30.0,5,16.67,30020
30,32,133,70,52.63,31,23.31,32,24.06,30032
32,19,133,81,60.9,23,17.29,29,21.8,32019
32,21,165,104,63.03,32,19.39,29,17.58,32021
32,25,143,86,60.14,29,20.28,28,19.58,32025
33,2,270,163,60.37,63,23.33,44,16.3,33002
33,7,218,124,56.88,42,19.27,52,23.85,33007
33,18,240,140,58.33,39,16.25,61,25.42,33018
35,9,141,80,56.74,25,17.73,36,25.53,35009
35,22,212,116,54.72,49,23.11,47,22.17,35022
35,23,82,43,52.44,17,20.73,22,26.83,35023
35,29,114,56,49.12,30,26.32,28,24.56,35029
35,30,151,86,56.95,37,24.5,28,18.54,35030
35,31,198,109,55.05,38,19.19,51,25.76,35031
38,1,133,91,68.42,12,9.02,30,22.56,38001
38,31,170,101,59.41,24,14.12,45,26.47,38031
38,32,124,69,55.65,18,14.52,37,29.84,38032
38,41,179,117,65.36,16,8.94,46,25.7,38041
39,1,218,92,42.2,9,4.13,117,53.67,39001
39,2,161,82,50.93,29,18.01,50,31.06,39002
39,3,221,151,68.33,23,10.41,47,21.27,39003
39,4,201,81,40.3,11,5.47,109,54.23,39004
39,5,161,100,62.11,15,9.32,46,28.57,39005
39,6,187,100,53.48,28,14.97,59,31.55,39006
39,7,146,74,50.68,20,13.7,52,35.62,39007
39,8,173,108,62.43,21,12.14,44,25.43,39008
39,9,158,84,53.16,24,15.19,50,31.65,39009
39,10,94,44,46.81,18,19.15,32,34.04,39010
39,11,140,87,62.14,15,10.71,38,27.14,39011
39,12,217,136,62.67,36,16.59,45,20.74,39012
39,13,109,55,50.46,28,25.69,26,23.85,39013
39,14,142,88,61.97,17,11.97,37,26.06,39014
39,15,211,66,31.28,18,8.53,127,60.19,39015
39,16,112,64,57.14,20,17.86,28,25.0,39016
39,17,225,150,66.67,25,11.11,50,22.22,39017
39,18,170,106,62.35,16,9.41,48,28.24,39018
39,19,188,106,56.38,27,14.36,55,29.26,39019
39,20,206,101,49.03,17,8.25,88,42.72,39020
39,21,159,77,48.43,10,6.29,72,45.28,39021
39,22,126,75,59.52,25,19.84,26,20.63,39022
39,23,209,130,62.2,21,10.05,58,27.75,39023
39,24,203,115,56.65,12,5.91,76,37.44,39024
39,25,148,85,57.43,26,17.57,37,25.0,39025
39,26,151,62,41.06,14,9.27,75,49.67,39026
39,27,45,24,53.33,7,15.56,14,31.11,39027
39,28,260,145,55.77,52,20.0,63,24.23,39028
39,29,88,44,50.0,12,13.64,32,36.36,39029
39,30,215,129,60.0,42,19.53,44,20.47,39030
39,31,166,92,55.42,39,23.49,35,21.08,39031
39,32,36,25,69.44,4,11.11,7,19.44,39032
39,33,191,111,58.12,31,16.23,49,25.65,39033
39,34,178,93,52.25,32,17.98,53,29.78,39034
39,35,168,106,63.1,19,11.31,43,25.6,39035
39,36,47,25,53.19,8,17.02,14,29.79,39036
39,37,242,118,48.76,17,7.02,107,44.21,39037
39,38,125,72,57.6,16,12.8,37,29.6,39038
39,39,107,55,51.4,15,14.02,37,34.58,39039
39,40,167,67,40.12,12,7.19,88,52.69,39040
39,41,197,110,55.84,21,10.66,66,33.5,39041
39,42,264,63,23.86,14,5.3,187,70.83,39042
39,43,191,105,54.97,16,8.38,70,36.65,39043
39,44,144,70,48.61,6,4.17,68,47.22,39044
39,45,197,91,46.19,17,8.63,89,45.18,39045
40,1,154,92,59.74,28,18.18,34,22.08,40001
40,2,179,89,49.72,33,18.44,57,31.84,40002
40,3,274,172,62.77,48,17.52,54,19.71,40003
40,4,109,66,60.55,14,12.84,29,26.61,40004
40,5,229,147,64.19,46,20.09,36,15.72,40005
40,6,246,165,67.07,46,18.7,35,14.23,40006
40,7,242,153,63.22,47,19.42,42,17.36,40007
40,10,124,73,58.87,22,17.74,29,23.39,40010
40,11,219,132,60.27,56,25.57,31,14.16,40011
40,12,145,105,72.41,22,15.17,18,12.41,40012
40,13,194,114,58.76,49,25.26,31,15.98,40013
40,14,121,56,46.28,33,27.27,32,26.45,40014
40,15,174,96,55.17,39,22.41,39,22.41,40015
40,16,262,178,67.94,44,16.79,40,15.27,40016
40,17,189,128,67.72,34,17.99,27,14.29,40017
40,18,17,8,47.06,4,23.53,5,29.41,40018
40,19,216,138,63.89,39,18.06,39,18.06,40019
40,20,160,96,60.0,27,16.88,37,23.13,40020
40,21,172,104,60.47,34,19.77,34,19.77,40021
40,24,138,86,62.32,24,17.39,28,20.29,40024
40,25,251,160,63.75,59,23.51,32,12.75,40025
40,29,223,138,61.88,32,14.35,53,23.77,40029
40,30,214,160,74.77,26,12.15,28,13.08,40030
40,34,157,107,68.15,18,11.46,32,20.38,40034
40,38,123,84,68.29,14,11.38,25,20.33,40038
40,39,45,17,37.78,15,33.33,13,28.89,40039
41,1,139,49,35.25,13,9.35,77,55.4,41001
41,2,179,90,50.28,8,4.47,81,45.25,41002
41,3,159,83,52.2,15,9.43,61,38.36,41003
41,4,194,101,52.06,17,8.76,76,39.18,41004
41,5,174,88,50.57,14,8.05,72,41.38,41005
41,6,139,60,43.17,9,6.47,70,50.36,41006
41,7,174,89,51.15,18,10.34,67,38.51,41007
41,8,174,87,50.0,8,4.6,79,45.4,41008
41,10,238,120,50.42,17,7.14,101,42.44,41010
41,11,178,88,49.44,13,7.3,77,43.26,41011
41,12,148,85,57.43,27,18.24,36,24.32,41012
41,13,148,80,54.05,19,12.84,49,33.11,41013
41,14,146,62,42.47,11,7.53,73,50.0,41014
41,15,227,129,56.83,12,5.29,86,37.89,41015
41,16,136,73,53.68,11,8.09,52,38.24,41016
41,17,186,102,54.84,15,8.06,69,37.1,41017
41,18,142,76,53.52,10,7.04,56,39.44,41018
41,20,121,50,41.32,14,11.57,57,47.11,41020
41,21,166,82,49.4,17,10.24,67,40.36,41021
41,22,212,91,42.92,17,8.02,104,49.06,41022
41,23,127,59,46.46,20,15.75,48,37.8,41023
41,24,118,59,50.0,21,17.8,38,32.2,41024
41,26,188,121,64.36,13,6.91,54,28.72,41026
41,30,152,88,57.89,17,11.18,47,30.92,41030
41,31,198,62,31.31,18,9.09,118,59.6,41031
41,32,146,59,40.41,14,9.59,73,50.0,41032
41,33,133,66,49.62,13,9.77,54,40.6,41033
41,34,146,79,54.11,12,8.22,55,37.67,41034
41,35,211,99,46.92,22,10.43,90,42.65,41035
41,36,162,94,58.02,21,12.96,47,29.01,41036
41,37,193,95,49.22,11,5.7,87,45.08,41037
41,38,156,87,55.77,16,10.26,53,33.97,41038
41,39,196,97,49.49,17,8.67,82,41.84,41039
41,40,198,93,46.97,17,8.59,88,44.44,41040
41,41,134,60,44.78,12,8.96,62,46.27,41041
41,42,144,65,45.14,12,8.33,67,46.53,41042
41,43,149,70,46.98,18,12.08,61,40.94,41043
41,44,170,61,35.88,9,5.29,100,58.82,41044
41,45,134,65,48.51,17,12.69,52,38.81,41045
41,46,202,119,58.91,11,5.45,72,35.64,41046
41,47,90,36,40.0,11,12.22,43,47.78,41047
45,1,155,93,60.0,23,14.84,39,25.16,45001
45,2,178,99,55.62,29,16.29,50,28.09,45002
45,3,189,112,59.26,24,12.7,53,28.04,45003
45,4,201,126,62.69,22,10.95,53,26.37,45004
45,5,39,27,69.23,2,5.13,10,25.64,45005
45,7,282,179,63.48,27,9.57,76,26.95,45007
45,8,153,75,49.02,26,16.99,52,33.99,45008
45,9,62,35,56.45,6,9.68,21,33.87,45009
45,10,94,54,57.45,10,10.64,30,31.91,45010
45,11,115,72,62.61,18,15.65,25,21.74,45011
45,12,184,102,55.43,28,15.22,54,29.35,45012
45,13,164,103,62.8,28,17.07,33,20.12,45013
45,14,210,120,57.14,25,11.9,65,30.95,45014
45,15,269,185,68.77,22,8.18,62,23.05,45015
45,16,179,109,60.89,23,12.85,47,26.26,45016
45,17,181,98,54.14,32,17.68,51,28.18,45017
45,18,160,83,51.88,28,17.5,49,30.63,45018
45,19,77,41,53.25,17,22.08,19,24.68,45019
45,20,120,69,57.5,11,9.17,40,33.33,45020
45,21,169,95,56.21,12,7.1,62,36.69,45021
45,22,159,102,64.15,8,5.03,49,30.82,45022
45,23,140,66,47.14,21,15.0,53,37.86,45023
45,24,155,98,63.23,12,7.74,45,29.03,45024
45,25,120,73,60.83,8,6.67,39,32.5,45025
45,26,86,47,54.65,14,16.28,25,29.07,45026
45,27,127,69,54.33,19,14.96,39,30.71,45027
45,28,106,58,54.72,12,11.32,36,33.96,45028
45,29,109,58,53.21,9,8.26,42,38.53,45029
45,30,168,91,54.17,29,17.26,48,28.57,45030
45,31,142,84,59.15,14,9.86,44,30.99,45031
45,32,131,76,58.02,16,12.21,39,29.77,45032
45,33,118,75,63.56,13,11.02,30,25.42,45033
45,34,182,99,54.4,21,11.54,62,34.07,45034
45,35,188,82,43.62,23,12.23,83,44.15,45035
