ward,precinct,total,Theresa Mah,Theresa Mah Percent,precinct_id
11,1,203,203,100.0,11001
11,3,165,165,100.0,11003
11,4,191,191,100.0,11004
11,5,255,255,100.0,11005
11,8,175,175,100.0,11008
11,9,164,164,100.0,11009
11,10,190,190,100.0,11010
11,11,204,204,100.0,11011
11,14,129,129,100.0,11014
11,15,90,90,100.0,11015
11,16,126,126,100.0,11016
11,17,250,250,100.0,11017
11,18,175,175,100.0,11018
11,19,255,255,100.0,11019
11,20,148,148,100.0,11020
11,22,230,230,100.0,11022
11,23,149,149,100.0,11023
11,25,227,227,100.0,11025
11,26,274,274,100.0,11026
11,27,81,81,100.0,11027
11,30,93,93,100.0,11030
11,36,81,81,100.0,11036
11,37,86,86,100.0,11037
11,38,89,89,100.0,11038
12,1,195,195,100.0,12001
12,3,273,273,100.0,12003
12,4,207,207,100.0,12004
12,5,186,186,100.0,12005
12,6,5,5,100.0,12006
12,8,201,201,100.0,12008
12,9,162,162,100.0,12009
12,13,139,139,100.0,12013
12,17,66,66,100.0,12017
12,19,155,155,100.0,12019
12,21,175,175,100.0,12021
12,23,192,192,100.0,12023
15,5,85,85,100.0,15005
15,9,145,145,100.0,15009
15,13,104,104,100.0,15013
15,14,98,98,100.0,15014
15,15,100,100,100.0,15015
20,20,0,0,0.0,20020
25,1,176,176,100.0,25001
25,2,203,203,100.0,25002
25,5,201,201,100.0,25005
25,6,68,68,100.0,25006
25,7,188,188,100.0,25007
25,8,216,216,100.0,25008
25,9,179,179,100.0,25009
25,11,212,212,100.0,25011
25,12,180,180,100.0,25012
25,13,205,205,100.0,25013
25,14,155,155,100.0,25014
25,15,153,153,100.0,25015
25,17,229,229,100.0,25017
25,18,217,217,100.0,25018
25,19,203,203,100.0,25019
25,22,184,184,100.0,25022
25,23,231,231,100.0,25023
25,24,203,203,100.0,25024
25,26,157,157,100.0,25026
25,27,17,17,100.0,25027
25,28,210,210,100.0,25028
25,30,187,187,100.0,25030
25,32,166,166,100.0,25032
28,19,1,1,100.0,28019
