ward,precinct,total,Clare Joyce Quish,Clare Joyce Quish Percent,Patrick Dankwa John,Patrick Dankwa John Percent,precinct_id
1,1,181,115,63.54,9,4.97,01001
1,2,148,92,62.16,7,4.73,01002
1,3,207,147,71.01,14,6.76,01003
1,4,191,132,69.11,12,6.28,01004
1,5,173,127,73.41,13,7.51,01005
1,6,159,101,63.52,9,5.66,01006
1,7,127,81,63.78,10,7.87,01007
1,8,160,93,58.13,14,8.75,01008
1,9,162,75,46.3,19,11.73,01009
1,10,162,127,78.4,5,3.09,01010
1,11,194,160,82.47,9,4.64,01011
1,12,221,155,70.14,21,9.5,01012
1,13,91,56,61.54,5,5.49,01013
1,14,178,137,76.97,8,4.49,01014
1,15,175,114,65.14,14,8.0,01015
1,16,205,139,67.8,9,4.39,01016
1,17,169,114,67.46,10,5.92,01017
1,18,190,125,65.79,11,5.79,01018
1,19,216,137,63.43,18,8.33,01019
1,20,157,102,64.97,11,7.01,01020
1,21,175,129,73.71,9,5.14,01021
1,22,127,82,64.57,4,3.15,01022
1,23,284,215,75.7,13,4.58,01023
1,24,165,101,61.21,12,7.27,01024
1,25,162,106,65.43,10,6.17,01025
1,26,114,57,50.0,10,8.77,01026
1,27,178,136,76.4,7,3.93,01027
1,28,66,16,24.24,15,22.73,01028
1,29,199,129,64.82,13,6.53,01029
1,30,211,127,60.19,16,7.58,01030
1,31,203,110,54.19,19,9.36,01031
1,32,168,114,67.86,11,6.55,01032
1,33,205,150,73.17,11,5.37,01033
1,34,172,133,77.33,6,3.49,01034
1,35,203,145,71.43,16,7.88,01035
1,36,170,126,74.12,6,3.53,01036
1,37,185,133,71.89,10,5.41,01037
1,38,161,110,68.32,11,6.83,01038
1,39,151,89,58.94,8,5.3,01039
1,40,196,109,55.61,22,11.22,01040
1,41,134,99,73.88,10,7.46,01041
1,42,53,30,56.6,3,5.66,01042
1,43,112,79,70.54,13,11.61,01043
1,44,182,135,74.18,9,4.95,01044
2,1,170,130,76.47,14,8.24,02001
2,2,153,115,75.16,12,7.84,02002
2,3,208,157,75.48,11,5.29,02003
2,4,140,108,77.14,7,5.0,02004
2,5,208,152,73.08,12,5.77,02005
2,6,149,112,75.17,8,5.37,02006
2,7,161,113,70.19,17,10.56,02007
2,8,174,136,78.16,14,8.05,02008
2,9,102,76,74.51,11,10.78,02009
2,10,152,118,77.63,6,3.95,02010
2,11,173,145,83.82,17,9.83,02011
2,12,186,137,73.66,16,8.6,02012
2,13,166,127,76.51,11,6.63,02013
2,14,198,145,73.23,10,5.05,02014
2,15,187,129,68.98,15,8.02,02015
2,16,159,123,77.36,15,9.43,02016
2,17,241,181,75.1,17,7.05,02017
2,18,160,126,78.75,16,10.0,02018
2,19,113,93,82.3,5,4.42,02019
2,20,131,108,82.44,6,4.58,02020
2,21,201,161,80.1,10,4.98,02021
2,22,153,128,83.66,8,5.23,02022
2,23,127,108,85.04,7,5.51,02023
2,24,152,112,73.68,10,6.58,02024
2,25,172,133,77.33,8,4.65,02025
2,26,123,89,72.36,11,8.94,02026
2,27,134,107,79.85,15,11.19,02027
2,28,164,131,79.88,12,7.32,02028
2,29,177,142,80.23,12,6.78,02029
2,30,142,120,84.51,7,4.93,02030
2,31,222,175,78.83,11,4.95,02031
2,32,135,104,77.04,5,3.7,02032
2,33,271,216,79.7,14,5.17,02033
2,34,191,158,82.72,8,4.19,02034
2,35,150,121,80.67,12,8.0,02035
2,36,138,118,85.51,11,7.97,02036
2,37,158,120,75.95,16,10.13,02037
2,38,122,105,86.07,4,3.28,02038
2,39,102,77,75.49,8,7.84,02039
2,40,165,131,79.39,13,7.88,02040
2,41,111,90,81.08,7,6.31,02041
2,42,131,94,71.76,19,14.5,02042
2,43,157,134,85.35,10,6.37,02043
2,44,102,84,82.35,7,6.86,02044
2,45,175,117,66.86,30,17.14,02045
2,46,85,70,82.35,4,4.71,02046
3,1,278,171,61.51,59,21.22,03001
3,2,335,199,59.4,81,24.18,03002
3,3,169,120,71.01,19,11.24,03003
3,4,248,160,64.52,55,22.18,03004
3,5,123,77,62.6,20,16.26,03005
3,6,210,163,77.62,18,8.57,03006
3,7,185,111,60.0,44,23.78,03007
