ward,precinct,total,Richard Gonzalez,Richard Gonzalez Percent,Sol A. Flores,Sol A. Flores Percent,Jesus ''Chuy'' Garcia,Jesus ''Chuy'' Garcia Percent,precinct_id
1,1,240,22,9.17,67,27.92,151,62.92,01001
1,2,183,22,12.02,46,25.14,115,62.84,01002
1,7,158,13,8.23,39,24.68,106,67.09,01007
1,9,225,50,22.22,55,24.44,120,53.33,01009
1,13,112,12,10.71,44,39.29,56,50.0,01013
1,15,185,27,14.59,43,23.24,115,62.16,01015
1,16,248,16,6.45,80,32.26,152,61.29,01016
1,17,221,23,10.41,54,24.43,144,65.16,01017
1,18,256,32,12.5,71,27.73,153,59.77,01018
1,19,281,12,4.27,101,35.94,168,59.79,01019
1,20,202,25,12.38,58,28.71,119,58.91,01020
1,22,165,15,9.09,50,30.3,100,60.61,01022
1,23,349,23,6.59,121,34.67,205,58.74,01023
1,24,215,26,12.09,52,24.19,137,63.72,01024
1,25,199,17,8.54,57,28.64,125,62.81,01025
1,26,151,14,9.27,27,17.88,110,72.85,01026
1,27,228,17,7.46,91,39.91,120,52.63,01027
1,29,252,31,12.3,87,34.52,134,53.17,01029
1,30,286,43,15.03,71,24.83,172,60.14,01030
1,31,256,39,15.23,60,23.44,157,61.33,01031
1,34,210,9,4.29,69,32.86,132,62.86,01034
1,38,194,18,9.28,49,25.26,127,65.46,01038
1,41,168,19,11.31,51,30.36,98,58.33,01041
1,42,69,3,4.35,20,28.99,46,66.67,01042
1,43,146,15,10.27,51,34.93,80,54.79,01043
1,44,216,16,7.41,77,35.65,123,56.94,01044
11,3,200,13,6.5,29,14.5,158,79.0,11003
11,37,1,0,0.0,0,0.0,1,100.0,11037
11,38,112,7,6.25,19,16.96,86,76.79,11038
12,2,185,7,3.78,22,11.89,156,84.32,12002
12,3,61,7,11.48,9,14.75,45,73.77,12003
12,5,136,19,13.97,15,11.03,102,75.0,12005
12,6,190,16,8.42,16,8.42,158,83.16,12006
12,7,175,10,5.71,17,9.71,148,84.57,12007
12,8,224,28,12.5,20,8.93,176,78.57,12008
12,10,182,6,3.3,22,12.09,154,84.62,12010
