ward,precinct,total,Frances Ann Hurley,Frances Ann Hurley Percent,precinct_id
19,1,227,227,100.0,19001
19,2,329,329,100.0,19002
19,4,253,253,100.0,19004
19,6,220,220,100.0,19006
19,7,229,229,100.0,19007
19,8,199,199,100.0,19008
19,10,340,340,100.0,19010
19,11,191,191,100.0,19011
19,13,305,305,100.0,19013
19,15,240,240,100.0,19015
19,16,221,221,100.0,19016
19,17,200,200,100.0,19017
19,18,203,203,100.0,19018
19,19,306,306,100.0,19019
19,21,185,185,100.0,19021
19,22,257,257,100.0,19022
19,23,246,246,100.0,19023
19,24,6,6,100.0,19024
19,25,239,239,100.0,19025
19,26,260,260,100.0,19026
19,27,247,247,100.0,19027
19,28,283,283,100.0,19028
19,29,187,187,100.0,19029
19,30,168,168,100.0,19030
19,32,210,210,100.0,19032
19,33,167,167,100.0,19033
19,34,229,229,100.0,19034
19,35,255,255,100.0,19035
19,36,292,292,100.0,19036
19,37,264,264,100.0,19037
19,38,226,226,100.0,19038
19,39,61,61,100.0,19039
19,41,181,181,100.0,19041
19,44,222,222,100.0,19044
19,45,253,253,100.0,19045
19,46,260,260,100.0,19046
19,50,182,182,100.0,19050
19,51,301,301,100.0,19051
19,52,206,206,100.0,19052
19,53,226,226,100.0,19053
19,54,147,147,100.0,19054
19,56,77,77,100.0,19056
19,57,219,219,100.0,19057
21,1,207,207,100.0,21001
21,3,195,195,100.0,21003
21,8,182,182,100.0,21008
21,14,231,231,100.0,21014
21,16,157,157,100.0,21016
21,18,186,186,100.0,21018
21,22,53,53,100.0,21022
21,29,73,73,100.0,21029
21,32,165,165,100.0,21032
21,36,40,40,100.0,21036
21,42,39,39,100.0,21042
21,48,27,27,100.0,21048
34,49,10,10,100.0,34049
