ward,precinct,total,Rhonda Sallee,Rhonda Sallee Percent,H Yvonne Coleman,H Yvonne Coleman Percent,Gino Betts,Gino Betts Percent,Gwendolyn D. Anderson,Gwendolyn D. Anderson Percent,precinct_id
3,1,319,64,20.06,55,17.24,131,41.07,69,21.63,03001
3,2,364,70,19.23,112,30.77,80,21.98,102,28.02,03002
3,4,278,58,20.86,64,23.02,105,37.77,51,18.35,03004
3,5,129,34,26.36,26,20.16,33,25.58,36,27.91,03005
3,7,199,37,18.59,55,27.64,65,32.66,42,21.11,03007
3,8,169,47,27.81,38,22.49,33,19.53,51,30.18,03008
3,9,240,65,27.08,50,20.83,94,39.17,31,12.92,03009
3,10,103,36,34.95,16,15.53,26,25.24,25,24.27,03010
3,11,235,54,22.98,63,26.81,75,31.91,43,18.3,03011
3,12,297,69,23.23,95,31.99,68,22.9,65,21.89,03012
3,15,210,53,25.24,52,24.76,58,27.62,47,22.38,03015
3,16,194,41,21.13,44,22.68,62,31.96,47,24.23,03016
3,18,248,52,20.97,59,23.79,68,27.42,69,27.82,03018
3,20,238,52,21.85,64,26.89,63,26.47,59,24.79,03020
3,23,175,40,22.86,32,18.29,48,27.43,55,31.43,03023
3,24,204,54,26.47,43,21.08,53,25.98,54,26.47,03024
3,28,155,43,27.74,38,24.52,43,27.74,31,20.0,03028
3,29,221,54,24.43,58,26.24,50,22.62,59,26.7,03029
3,30,221,53,23.98,62,28.05,56,25.34,50,22.62,03030
3,31,270,76,28.15,65,24.07,85,31.48,44,16.3,03031
3,35,86,14,16.28,26,30.23,28,32.56,18,20.93,03035
3,36,125,28,22.4,33,26.4,23,18.4,41,32.8,03036
3,37,188,39,20.74,41,21.81,72,38.3,36,19.15,03037
3,38,248,52,20.97,52,20.97,86,34.68,58,23.39,03038
3,41,195,49,25.13,55,28.21,51,26.15,40,20.51,03041
4,1,340,46,13.53,190,55.88,61,17.94,43,12.65,04001
4,3,217,56,25.81,48,22.12,57,26.27,56,25.81,04003
4,4,347,70,20.17,98,28.24,117,33.72,62,17.87,04004
4,5,278,42,15.11,93,33.45,100,35.97,43,15.47,04005
4,6,250,66,26.4,85,34.0,24,9.6,75,30.0,04006
4,7,367,73,19.89,125,34.06,100,27.25,69,18.8,04007
4,8,297,51,17.17,109,36.7,62,20.88,75,25.25,04008
4,9,364,76,20.88,144,39.56,80,21.98,64,17.58,04009
4,10,324,47,14.51,120,37.04,93,28.7,64,19.75,04010
4,11,232,50,21.55,43,18.53,90,38.79,49,21.12,04011
4,12,270,68,25.19,92,34.07,62,22.96,48,17.78,04012
4,14,274,60,21.9,99,36.13,43,15.69,72,26.28,04014
4,15,305,63,20.66,100,32.79,67,21.97,75,24.59,04015
4,18,282,92,32.62,71,25.18,58,20.57,61,21.63,04018
4,19,172,46,26.74,42,24.42,31,18.02,53,30.81,04019
4,22,245,21,8.57,132,53.88,55,22.45,37,15.1,04022
4,23,364,49,13.46,202,55.49,63,17.31,50,13.74,04023
4,24,235,36,15.32,104,44.26,44,18.72,51,21.7,04024
4,26,238,48,20.17,91,38.24,42,17.65,57,23.95,04026
4,27,293,47,16.04,145,49.49,52,17.75,49,16.72,04027
4,28,213,54,25.35,65,30.52,35,16.43,59,27.7,04028
4,29,229,68,29.69,69,30.13,47,20.52,45,19.65,04029
4,30,301,64,21.26,59,19.6,131,43.52,47,15.61,04030
4,31,326,35,10.74,145,44.48,64,19.63,82,25.15,04031
4,32,272,39,14.34,103,37.87,68,25.0,62,22.79,04032
4,33,265,50,18.87,108,40.75,57,21.51,50,18.87,04033
4,34,241,38,15.77,77,31.95,68,28.22,58,24.07,04034
4,35,320,61,19.06,115,35.94,72,22.5,72,22.5,04035
4,36,301,64,21.26,108,35.88,70,23.26,59,19.6,04036
4,38,305,52,17.05,126,41.31,55,18.03,72,23.61,04038
5,1,190,31,16.32,43,22.63,74,38.95,42,22.11,05001
5,2,145,47,32.41,35,24.14,24,16.55,39,26.9,05002
5,3,212,35,16.51,120,56.6,21,9.91,36,16.98,05003
5,4,278,68,24.46,111,39.93,43,15.47,56,20.14,05004
5,5,206,57,27.67,69,33.5,35,16.99,45,21.84,05005
5,6,193,52,26.94,61,31.61,26,13.47,54,27.98,05006
5,7,254,39,15.35,150,59.06,20,7.87,45,17.72,05007
5,8,267,26,9.74,184,68.91,29,10.86,28,10.49,05008
5,9,303,60,19.8,136,44.88,59,19.47,48,15.84,05009
5,10,179,47,26.26,53,29.61,27,15.08,52,29.05,05010
5,11,295,57,19.32,136,46.1,52,17.63,50,16.95,05011
5,12,72,16,22.22,20,27.78,9,12.5,27,37.5,05012
5,13,190,64,33.68,44,23.16,42,22.11,40,21.05,05013
5,14,241,62,25.73,76,31.54,46,19.09,57,23.65,05014
5,15,210,49,23.33,107,50.95,18,8.57,36,17.14,05015
5,16,191,68,35.6,56,29.32,31,16.23,36,18.85,05016
5,17,182,55,30.22,45,24.73,31,17.03,51,28.02,05017
5,18,234,28,11.97,116,49.57,60,25.64,30,12.82,05018
5,19,249,27,10.84,167,67.07,28,11.24,27,10.84,05019
5,20,277,38,13.72,117,42.24,62,22.38,60,21.66,05020
5,21,232,34,14.66,118,50.86,49,21.12,31,13.36,05021
5,22,305,46,15.08,157,51.48,40,13.11,62,20.33,05022
5,23,426,41,9.62,250,58.69,82,19.25,53,12.44,05023
5,24,258,33,12.79,148,57.36,36,13.95,41,15.89,05024
5,25,266,52,19.55,88,33.08,59,22.18,67,25.19,05025
5,26,240,59,24.58,66,27.5,36,15.0,79,32.92,05026
5,27,202,22,10.89,132,65.35,28,13.86,20,9.9,05027
5,28,283,69,24.38,89,31.45,59,20.85,66,23.32,05028
5,29,250,57,22.8,77,30.8,38,15.2,78,31.2,05029
5,30,155,47,30.32,38,24.52,35,22.58,35,22.58,05030
5,31,185,24,12.97,43,23.24,71,38.38,47,25.41,05031
5,32,314,111,35.35,88,28.03,47,14.97,68,21.66,05032
5,33,272,57,20.96,63,23.16,81,29.78,71,26.1,05033
5,34,240,22,9.17,173,72.08,17,7.08,28,11.67,05034
5,35,276,49,17.75,144,52.17,34,12.32,49,17.75,05035
5,36,121,38,31.4,25,20.66,24,19.83,34,28.1,05036
5,37,269,60,22.3,127,47.21,38,14.13,44,16.36,05037
5,38,224,39,17.41,56,25.0,80,35.71,49,21.88,05038
5,39,216,26,12.04,133,61.57,23,10.65,34,15.74,05039
5,40,183,35,19.13,47,25.68,62,33.88,39,21.31,05040
5,41,164,16,9.76,84,51.22,30,18.29,34,20.73,05041
6,7,188,56,29.79,55,29.26,18,9.57,59,31.38,06007
6,9,146,40,27.4,40,27.4,22,15.07,44,30.14,06009
6,11,157,62,39.49,38,24.2,18,11.46,39,24.84,06011
6,15,91,15,16.48,31,34.07,14,15.38,31,34.07,06015
6,18,19,3,15.79,3,15.79,2,10.53,11,57.89,06018
6,21,82,16,19.51,30,36.59,10,12.2,26,31.71,06021
6,23,71,24,33.8,24,33.8,5,7.04,18,25.35,06023
6,24,101,33,32.67,30,29.7,9,8.91,29,28.71,06024
6,26,103,39,37.86,24,23.3,7,6.8,33,32.04,06026
6,28,87,28,32.18,33,37.93,6,6.9,20,22.99,06028
6,30,125,33,26.4,43,34.4,16,12.8,33,26.4,06030
6,32,198,67,33.84,59,29.8,22,11.11,50,25.25,06032
6,40,68,18,26.47,20,29.41,7,10.29,23,33.82,06040
6,48,194,54,27.84,36,18.56,26,13.4,78,40.21,06048
7,1,175,48,27.43,59,33.71,27,15.43,41,23.43,07001
7,2,159,51,32.08,38,23.9,29,18.24,41,25.79,07002
7,3,241,59,24.48,69,28.63,37,15.35,76,31.54,07003
7,4,206,48,23.3,67,32.52,29,14.08,62,30.1,07004
7,5,154,41,26.62,43,27.92,20,12.99,50,32.47,07005
7,6,228,58,25.44,75,32.89,34,14.91,61,26.75,07006
7,8,151,39,25.83,32,21.19,26,17.22,54,35.76,07008
7,9,329,85,25.84,97,29.48,52,15.81,95,28.88,07009
7,13,50,11,22.0,10,20.0,13,26.0,16,32.0,07013
8,1,164,48,29.27,39,23.78,26,15.85,51,31.1,08001
8,2,151,40,26.49,42,27.81,19,12.58,50,33.11,08002
8,26,92,26,28.26,22,23.91,12,13.04,32,34.78,08026
8,42,246,68,27.64,63,25.61,32,13.01,83,33.74,08042
11,12,259,46,17.76,38,14.67,140,54.05,35,13.51,11012
11,13,239,48,20.08,36,15.06,122,51.05,33,13.81,11013
11,14,68,17,25.0,11,16.18,25,36.76,15,22.06,11014
11,15,72,19,26.39,13,18.06,23,31.94,17,23.61,11015
11,16,119,24,20.17,20,16.81,56,47.06,19,15.97,11016
11,18,139,18,12.95,24,17.27,73,52.52,24,17.27,11018
11,20,125,28,22.4,26,20.8,56,44.8,15,12.0,11020
11,23,138,24,17.39,31,22.46,63,45.65,20,14.49,11023
11,27,64,15,23.44,12,18.75,23,35.94,14,21.88,11027
11,28,78,21,26.92,10,12.82,35,44.87,12,15.38,11028
11,32,104,15,14.42,15,14.42,65,62.5,9,8.65,11032
11,34,54,14,25.93,14,25.93,19,35.19,7,12.96,11034
11,35,44,13,29.55,5,11.36,17,38.64,9,20.45,11035
15,2,100,26,26.0,29,29.0,10,10.0,35,35.0,15002
15,3,106,27,25.47,33,31.13,14,13.21,32,30.19,15003
15,7,101,33,32.67,22,21.78,13,12.87,33,32.67,15007
15,17,122,33,27.05,30,24.59,24,19.67,35,28.69,15017
15,18,83,27,32.53,18,21.69,12,14.46,26,31.33,15018
15,20,103,32,31.07,28,27.18,17,16.5,26,25.24,15020
15,21,112,24,21.43,38,33.93,19,16.96,31,27.68,15021
15,22,52,20,38.46,14,26.92,6,11.54,12,23.08,15022
15,23,127,27,21.26,33,25.98,20,15.75,47,37.01,15023
15,24,89,17,19.1,32,35.96,15,16.85,25,28.09,15024
16,2,90,25,27.78,19,21.11,11,12.22,35,38.89,16002
16,3,105,37,35.24,23,21.9,18,17.14,27,25.71,16003
16,5,100,27,27.0,41,41.0,14,14.0,18,18.0,16005
16,6,114,32,28.07,39,34.21,17,14.91,26,22.81,16006
16,8,80,26,32.5,18,22.5,14,17.5,22,27.5,16008
16,9,140,24,17.14,60,42.86,23,16.43,33,23.57,16009
16,10,104,33,31.73,38,36.54,7,6.73,26,25.0,16010
16,11,11,4,36.36,3,27.27,1,9.09,3,27.27,16011
16,12,89,33,37.08,24,26.97,10,11.24,22,24.72,16012
16,14,102,32,31.37,36,35.29,9,8.82,25,24.51,16014
16,15,147,39,26.53,48,32.65,17,11.56,43,29.25,16015
16,16,119,35,29.41,37,31.09,17,14.29,30,25.21,16016
16,20,109,38,34.86,26,23.85,20,18.35,25,22.94,16020
16,21,103,28,27.18,32,31.07,13,12.62,30,29.13,16021
16,24,67,19,28.36,22,32.84,10,14.93,16,23.88,16024
16,25,153,37,24.18,48,31.37,17,11.11,51,33.33,16025
16,26,124,38,30.65,31,25.0,28,22.58,27,21.77,16026
16,27,102,28,27.45,32,31.37,13,12.75,29,28.43,16027
16,28,123,37,30.08,40,32.52,8,6.5,38,30.89,16028
16,29,101,27,26.73,28,27.72,13,12.87,33,32.67,16029
16,30,92,23,25.0,37,40.22,5,5.43,27,29.35,16030
16,31,150,45,30.0,54,36.0,16,10.67,35,23.33,16031
16,33,112,44,39.29,27,24.11,8,7.14,33,29.46,16033
16,34,103,26,25.24,40,38.83,17,16.5,20,19.42,16034
16,36,93,23,24.73,40,43.01,11,11.83,19,20.43,16036
17,8,4,1,25.0,2,50.0,0,0.0,1,25.0,17008
17,13,129,39,30.23,46,35.66,16,12.4,28,21.71,17013
17,19,39,11,28.21,11,28.21,7,17.95,10,25.64,17019
17,35,19,6,31.58,3,15.79,1,5.26,9,47.37,17035
17,36,72,25,34.72,22,30.56,11,15.28,14,19.44,17036
20,1,198,53,26.77,36,18.18,46,23.23,63,31.82,20001
20,2,60,17,28.33,13,21.67,12,20.0,18,30.0,20002
20,3,154,47,30.52,34,22.08,33,21.43,40,25.97,20003
20,4,60,12,20.0,25,41.67,8,13.33,15,25.0,20004
20,5,205,55,26.83,56,27.32,51,24.88,43,20.98,20005
20,6,69,25,36.23,14,20.29,12,17.39,18,26.09,20006
20,7,152,45,29.61,35,23.03,29,19.08,43,28.29,20007
20,8,190,45,23.68,56,29.47,31,16.32,58,30.53,20008
20,9,252,66,26.19,66,26.19,48,19.05,72,28.57,20009
20,10,135,32,23.7,36,26.67,33,24.44,34,25.19,20010
20,11,199,44,22.11,53,26.63,45,22.61,57,28.64,20011
20,12,107,35,32.71,28,26.17,14,13.08,30,28.04,20012
20,13,183,52,28.42,52,28.42,16,8.74,63,34.43,20013
20,14,88,28,31.82,23,26.14,12,13.64,25,28.41,20014
20,16,199,61,30.65,59,29.65,37,18.59,42,21.11,20016
20,17,3,1,33.33,1,33.33,0,0.0,1,33.33,20017
20,18,129,24,18.6,39,30.23,27,20.93,39,30.23,20018
20,19,132,31,23.48,41,31.06,24,18.18,36,27.27,20019
20,21,96,26,27.08,29,30.21,18,18.75,23,23.96,20021
20,22,225,69,30.67,69,30.67,51,22.67,36,16.0,20022
20,23,167,44,26.35,35,20.96,31,18.56,57,34.13,20023
20,24,170,35,20.59,62,36.47,33,19.41,40,23.53,20024
20,25,106,30,28.3,29,27.36,18,16.98,29,27.36,20025
20,26,212,48,22.64,72,33.96,44,20.75,48,22.64,20026
20,27,82,23,28.05,33,40.24,10,12.2,16,19.51,20027
20,28,113,32,28.32,32,28.32,19,16.81,30,26.55,20028
20,29,226,62,27.43,62,27.43,24,10.62,78,34.51,20029
20,30,84,15,17.86,28,33.33,15,17.86,26,30.95,20030
20,31,181,57,31.49,44,24.31,35,19.34,45,24.86,20031
20,32,128,27,21.09,56,43.75,22,17.19,23,17.97,20032
20,33,137,37,27.01,39,28.47,34,24.82,27,19.71,20033
20,34,207,37,17.87,96,46.38,29,14.01,45,21.74,20034
20,35,69,19,27.54,13,18.84,15,21.74,22,31.88,20035
20,36,54,12,22.22,12,22.22,12,22.22,18,33.33,20036
