ward,precinct,total,John J. Cullerton,John J. Cullerton Percent,precinct_id
1,28,55,55,100.0,01028
1,42,17,17,100.0,01042
2,20,50,50,100.0,02020
2,22,166,166,100.0,02022
2,24,162,162,100.0,02024
2,26,128,128,100.0,02026
2,28,154,154,100.0,02028
2,30,150,150,100.0,02030
2,31,204,204,100.0,02031
2,33,281,281,100.0,02033
2,35,152,152,100.0,02035
2,37,163,163,100.0,02037
2,38,55,55,100.0,02038
2,44,112,112,100.0,02044
27,9,0,0,0.0,27009
27,12,83,83,100.0,27012
27,46,92,92,100.0,27046
32,1,156,156,100.0,32001
32,5,7,7,100.0,32005
32,7,187,187,100.0,32007
32,8,178,178,100.0,32008
32,9,167,167,100.0,32009
32,10,172,172,100.0,32010
32,13,173,173,100.0,32013
32,15,179,179,100.0,32015
32,16,186,186,100.0,32016
32,18,149,149,100.0,32018
32,19,166,166,100.0,32019
32,21,219,219,100.0,32021
32,23,160,160,100.0,32023
32,24,97,97,100.0,32024
32,25,197,197,100.0,32025
32,27,143,143,100.0,32027
32,29,61,61,100.0,32029
32,30,135,135,100.0,32030
32,33,86,86,100.0,32033
32,34,8,8,100.0,32034
32,36,10,10,100.0,32036
32,37,87,87,100.0,32037
32,38,164,164,100.0,32038
32,39,181,181,100.0,32039
32,40,204,204,100.0,32040
32,41,186,186,100.0,32041
32,42,154,154,100.0,32042
33,3,53,53,100.0,33003
33,5,34,34,100.0,33005
33,8,319,319,100.0,33008
33,10,188,188,100.0,33010
33,20,37,37,100.0,33020
33,23,229,229,100.0,33023
33,24,364,364,100.0,33024
43,2,155,155,100.0,43002
43,4,179,179,100.0,43004
43,6,111,111,100.0,43006
43,8,149,149,100.0,43008
43,9,211,211,100.0,43009
43,12,130,130,100.0,43012
43,13,184,184,100.0,43013
43,14,196,196,100.0,43014
43,15,155,155,100.0,43015
43,16,120,120,100.0,43016
43,17,131,131,100.0,43017
43,18,190,190,100.0,43018
43,19,198,198,100.0,43019
43,20,168,168,100.0,43020
43,21,175,175,100.0,43021
43,22,114,114,100.0,43022
43,24,120,120,100.0,43024
43,25,171,171,100.0,43025
43,26,127,127,100.0,43026
43,27,161,161,100.0,43027
43,28,195,195,100.0,43028
43,29,130,130,100.0,43029
43,30,155,155,100.0,43030
43,31,180,180,100.0,43031
43,32,200,200,100.0,43032
43,33,204,204,100.0,43033
43,34,157,157,100.0,43034
43,36,73,73,100.0,43036
43,37,166,166,100.0,43037
43,38,138,138,100.0,43038
43,39,124,124,100.0,43039
43,40,122,122,100.0,43040
43,41,237,237,100.0,43041
43,42,177,177,100.0,43042
43,43,194,194,100.0,43043
43,44,162,162,100.0,43044
43,46,85,85,100.0,43046
44,1,311,311,100.0,44001
44,2,202,202,100.0,44002
44,3,188,188,100.0,44003
44,4,197,197,100.0,44004
44,5,224,224,100.0,44005
44,6,252,252,100.0,44006
44,7,157,157,100.0,44007
44,8,269,269,100.0,44008
44,9,157,157,100.0,44009
44,10,166,166,100.0,44010
44,11,197,197,100.0,44011
44,12,227,227,100.0,44012
44,13,128,128,100.0,44013
44,14,152,152,100.0,44014
44,15,192,192,100.0,44015
44,16,206,206,100.0,44016
44,17,302,302,100.0,44017
44,18,191,191,100.0,44018
44,19,254,254,100.0,44019
44,20,189,189,100.0,44020
44,21,226,226,100.0,44021
44,22,241,241,100.0,44022
44,23,199,199,100.0,44023
44,24,175,175,100.0,44024
44,25,183,183,100.0,44025
44,26,220,220,100.0,44026
44,27,242,242,100.0,44027
44,28,207,207,100.0,44028
44,29,171,171,100.0,44029
44,30,205,205,100.0,44030
44,31,148,148,100.0,44031
44,32,201,201,100.0,44032
44,33,207,207,100.0,44033
44,34,245,245,100.0,44034
44,35,283,283,100.0,44035
44,36,189,189,100.0,44036
44,37,231,231,100.0,44037
44,38,140,140,100.0,44038
44,39,181,181,100.0,44039
44,40,127,127,100.0,44040
44,41,219,219,100.0,44041
46,3,291,291,100.0,46003
46,5,203,203,100.0,46005
46,7,273,273,100.0,46007
46,9,243,243,100.0,46009
46,10,262,262,100.0,46010
46,11,168,168,100.0,46011
46,13,193,193,100.0,46013
46,15,209,209,100.0,46015
46,17,272,272,100.0,46017
46,18,233,233,100.0,46018
46,19,179,179,100.0,46019
46,24,249,249,100.0,46024
46,26,107,107,100.0,46026
46,27,263,263,100.0,46027
46,28,256,256,100.0,46028
46,29,178,178,100.0,46029
46,30,210,210,100.0,46030
46,31,196,196,100.0,46031
46,33,245,245,100.0,46033
46,34,218,218,100.0,46034
46,35,191,191,100.0,46035
46,36,223,223,100.0,46036
46,38,164,164,100.0,46038
46,39,204,204,100.0,46039
47,1,123,123,100.0,47001
47,2,253,253,100.0,47002
47,3,267,267,100.0,47003
47,4,289,289,100.0,47004
47,5,53,53,100.0,47005
47,6,227,227,100.0,47006
47,7,212,212,100.0,47007
47,8,245,245,100.0,47008
47,9,205,205,100.0,47009
47,11,202,202,100.0,47011
47,12,280,280,100.0,47012
47,13,260,260,100.0,47013
47,14,217,217,100.0,47014
47,16,259,259,100.0,47016
47,17,224,224,100.0,47017
47,18,208,208,100.0,47018
47,21,236,236,100.0,47021
47,24,211,211,100.0,47024
47,25,248,248,100.0,47025
47,27,224,224,100.0,47027
47,28,8,8,100.0,47028
47,29,253,253,100.0,47029
47,33,181,181,100.0,47033
47,35,226,226,100.0,47035
47,39,247,247,100.0,47039
47,40,290,290,100.0,47040
47,41,134,134,100.0,47041
47,43,207,207,100.0,47043
47,44,170,170,100.0,47044
47,46,229,229,100.0,47046
47,47,245,245,100.0,47047
47,48,25,25,100.0,47048
