ward,precinct,total,Kent Delgado,Kent Delgado Percent,Sean Patrick Kelly,Sean Patrick Kelly Percent,precinct_id
1,1,191,126,65.97,11,5.76,01001
1,2,144,60,41.67,21,14.58,01002
1,3,207,121,58.45,35,16.91,01003
1,4,196,108,55.1,29,14.8,01004
1,5,168,105,62.5,31,18.45,01005
1,6,165,95,57.58,21,12.73,01006
1,7,128,71,55.47,20,15.63,01007
1,8,166,106,63.86,24,14.46,01008
1,9,166,104,62.65,14,8.43,01009
1,10,162,106,65.43,27,16.67,01010
1,11,188,121,64.36,26,13.83,01011
1,12,226,126,55.75,45,19.91,01012
1,13,100,48,48.0,17,17.0,01013
1,14,175,109,62.29,14,8.0,01014
1,15,180,108,60.0,23,12.78,01015
1,16,202,130,64.36,20,9.9,01016
1,17,183,108,59.02,18,9.84,01017
1,18,188,113,60.11,21,11.17,01018
1,19,217,128,58.99,28,12.9,01019
1,20,160,85,53.13,23,14.38,01020
1,21,172,111,64.53,22,12.79,01021
1,22,133,83,62.41,12,9.02,01022
1,23,265,152,57.36,38,14.34,01023
1,24,172,95,55.23,20,11.63,01024
1,25,168,104,61.9,21,12.5,01025
1,26,120,55,45.83,23,19.17,01026
1,27,190,115,60.53,20,10.53,01027
1,28,77,43,55.84,12,15.58,01028
1,29,210,130,61.9,33,15.71,01029
1,30,230,115,50.0,31,13.48,01030
1,31,213,120,56.34,26,12.21,01031
1,32,165,97,58.79,30,18.18,01032
1,33,194,118,60.82,27,13.92,01033
1,34,184,108,58.7,15,8.15,01034
1,35,204,116,56.86,30,14.71,01035
1,36,165,108,65.45,24,14.55,01036
1,37,176,97,55.11,28,15.91,01037
1,38,173,92,53.18,29,16.76,01038
1,39,150,91,60.67,21,14.0,01039
1,40,200,101,50.5,43,21.5,01040
1,41,134,71,52.99,30,22.39,01041
1,42,51,21,41.18,6,11.76,01042
1,43,115,59,51.3,25,21.74,01043
1,44,180,117,65.0,27,15.0,01044
2,1,167,97,58.08,33,19.76,02001
2,3,204,123,60.29,43,21.08,02003
2,4,141,83,58.87,27,19.15,02004
2,5,204,125,61.27,32,15.69,02005
2,6,151,96,63.58,18,11.92,02006
2,7,165,105,63.64,18,10.91,02007
2,8,175,111,63.43,25,14.29,02008
2,14,198,126,63.64,29,14.65,02014
2,15,188,117,62.23,31,16.49,02015
2,16,162,93,57.41,35,21.6,02016
2,17,227,137,60.35,33,14.54,02017
2,20,63,31,49.21,13,20.63,02020
2,21,201,136,67.66,30,14.93,02021
2,25,184,117,63.59,27,14.67,02025
26,1,157,83,52.87,24,15.29,26001
26,2,33,16,48.48,5,15.15,26002
26,3,163,83,50.92,35,21.47,26003
26,4,94,34,36.17,23,24.47,26004
26,5,142,59,41.55,20,14.08,26005
26,6,118,62,52.54,11,9.32,26006
26,7,135,87,64.44,7,5.19,26007
26,8,75,38,50.67,9,12.0,26008
26,9,139,58,41.73,17,12.23,26009
26,10,53,27,50.94,5,9.43,26010
26,11,150,67,44.67,19,12.67,26011
26,12,146,74,50.68,19,13.01,26012
26,13,68,29,42.65,10,14.71,26013
26,14,104,38,36.54,14,13.46,26014
26,15,68,29,42.65,8,11.76,26015
26,16,76,25,32.89,8,10.53,26016
26,18,94,47,50.0,13,13.83,26018
26,19,85,20,23.53,20,23.53,26019
26,20,118,61,51.69,15,12.71,26020
26,21,156,76,48.72,26,16.67,26021
26,22,61,17,27.87,1,1.64,26022
26,23,90,36,40.0,12,13.33,26023
26,24,129,76,58.91,7,5.43,26024
26,25,119,56,47.06,15,12.61,26025
26,26,77,43,55.84,9,11.69,26026
26,27,178,102,57.3,16,8.99,26027
26,28,196,103,52.55,37,18.88,26028
26,29,89,54,60.67,11,12.36,26029
26,30,110,63,57.27,9,8.18,26030
26,31,72,32,44.44,7,9.72,26031
26,32,140,67,47.86,29,20.71,26032
26,33,142,76,53.52,19,13.38,26033
26,34,179,113,63.13,11,6.15,26034
26,35,141,59,41.84,15,10.64,26035
26,36,110,67,60.91,16,14.55,26036
26,37,128,70,54.69,17,13.28,26037
26,38,56,25,44.64,10,17.86,26038
26,39,137,64,46.72,22,16.06,26039
26,40,96,45,46.88,10,10.42,26040
26,41,133,66,49.62,17,12.78,26041
26,42,110,54,49.09,11,10.0,26042
26,43,65,31,47.69,7,10.77,26043
26,44,93,35,37.63,12,12.9,26044
26,45,53,23,43.4,12,22.64,26045
26,47,75,30,40.0,9,12.0,26047
26,48,127,65,51.18,20,15.75,26048
26,49,66,38,57.58,5,7.58,26049
27,1,142,85,59.86,31,21.83,27001
27,5,1,0,0.0,1,100.0,27005
27,7,196,102,52.04,34,17.35,27007
27,11,85,44,51.76,26,30.59,27011
27,13,275,112,40.73,85,30.91,27013
27,16,2,1,50.0,1,50.0,27016
27,24,13,9,69.23,3,23.08,27024
27,27,3,2,66.67,0,0.0,27027
27,33,39,19,48.72,10,25.64,27033
27,35,14,8,57.14,5,35.71,27035
27,40,184,110,59.78,36,19.57,27040
27,43,12,7,58.33,3,25.0,27043
27,45,17,10,58.82,4,23.53,27045
30,14,78,24,30.77,15,19.23,30014
30,19,133,50,37.59,25,18.8,30019
31,1,79,35,44.3,7,8.86,31001
31,2,92,42,45.65,12,13.04,31002
31,4,157,78,49.68,21,13.38,31004
31,5,135,55,40.74,22,16.3,31005
31,6,87,25,28.74,19,21.84,31006
31,7,183,99,54.1,27,14.75,31007
31,10,84,34,40.48,17,20.24,31010
31,13,120,46,38.33,16,13.33,31013
31,16,145,80,55.17,17,11.72,31016
31,17,78,36,46.15,14,17.95,31017
31,18,99,35,35.35,14,14.14,31018
31,20,95,31,32.63,14,14.74,31020
31,21,102,43,42.16,14,13.73,31021
31,22,79,38,48.1,9,11.39,31022
31,23,97,50,51.55,14,14.43,31023
31,24,148,50,33.78,23,15.54,31024
31,26,115,45,39.13,18,15.65,31026
31,27,106,34,32.08,16,15.09,31027
31,28,82,31,37.8,9,10.98,31028
31,29,114,38,33.33,19,16.67,31029
31,30,68,25,36.76,6,8.82,31030
31,32,61,22,36.07,15,24.59,31032
31,35,74,29,39.19,14,18.92,31035
31,36,133,71,53.38,17,12.78,31036
31,37,87,38,43.68,17,19.54,31037
31,38,86,38,44.19,11,12.79,31038
31,39,114,50,43.86,17,14.91,31039
31,40,113,54,47.79,21,18.58,31040
31,41,101,40,39.6,13,12.87,31041
32,1,219,124,56.62,36,16.44,32001
32,2,164,100,60.98,32,19.51,32002
32,3,261,164,62.84,33,12.64,32003
32,4,176,121,68.75,23,13.07,32004
32,5,182,111,60.99,32,17.58,32005
