ward,precinct,total,Al Riley,Al Riley Percent,William Calloway,William Calloway Percent,precinct_id
5,1,181,50,27.62,131,72.38,05001
5,6,186,73,39.25,113,60.75,05006
5,10,25,15,60.0,10,40.0,05010
5,11,168,84,50.0,84,50.0,05011
5,14,224,98,43.75,126,56.25,05014
5,18,75,36,48.0,39,52.0,05018
5,23,345,174,50.43,171,49.57,05023
5,25,186,85,45.7,101,54.3,05025
5,26,225,86,38.22,139,61.78,05026
5,28,267,107,40.07,160,59.93,05028
5,29,248,86,34.68,162,65.32,05029
5,31,179,52,29.05,127,70.95,05031
5,32,291,108,37.11,183,62.89,05032
5,35,39,19,48.72,20,51.28,05035
5,36,126,50,39.68,76,60.32,05036
5,37,227,114,50.22,113,49.78,05037
5,38,218,65,29.82,153,70.18,05038
5,40,178,62,34.83,116,65.17,05040
5,41,149,79,53.02,70,46.98,05041
7,1,25,11,44.0,14,56.0,07001
7,2,152,64,42.11,88,57.89,07002
7,3,236,113,47.88,123,52.12,07003
7,4,199,80,40.2,119,59.8,07004
7,5,150,50,33.33,100,66.67,07005
7,6,224,103,45.98,121,54.02,07006
7,7,150,60,40.0,90,60.0,07007
7,8,148,53,35.81,95,64.19,07008
7,9,316,136,43.04,180,56.96,07009
7,10,208,91,43.75,117,56.25,07010
7,11,153,69,45.1,84,54.9,07011
7,12,155,75,48.39,80,51.61,07012
7,13,124,54,43.55,70,56.45,07013
7,14,173,77,44.51,96,55.49,07014
7,15,181,78,43.09,103,56.91,07015
7,16,146,78,53.42,68,46.58,07016
7,17,132,55,41.67,77,58.33,07017
7,18,145,68,46.9,77,53.1,07018
7,19,187,82,43.85,105,56.15,07019
7,20,124,61,49.19,63,50.81,07020
7,21,137,58,42.34,79,57.66,07021
7,22,157,66,42.04,91,57.96,07022
7,23,226,100,44.25,126,55.75,07023
7,24,153,76,49.67,77,50.33,07024
7,25,116,69,59.48,47,40.52,07025
7,26,163,89,54.6,74,45.4,07026
7,27,159,85,53.46,74,46.54,07027
7,28,111,59,53.15,52,46.85,07028
7,29,151,77,50.99,74,49.01,07029
7,30,115,50,43.48,65,56.52,07030
7,31,99,51,51.52,48,48.48,07031
7,32,304,151,49.67,153,50.33,07032
7,33,294,137,46.6,157,53.4,07033
7,34,249,110,44.18,139,55.82,07034
7,35,183,86,46.99,97,53.01,07035
7,36,248,121,48.79,127,51.21,07036
7,37,197,96,48.73,101,51.27,07037
7,38,155,76,49.03,79,50.97,07038
7,39,172,71,41.28,101,58.72,07039
7,40,153,69,45.1,84,54.9,07040
7,41,166,89,53.61,77,46.39,07041
7,42,160,81,50.63,79,49.38,07042
7,43,173,81,46.82,92,53.18,07043
7,44,134,57,42.54,77,57.46,07044
7,45,134,69,51.49,65,48.51,07045
7,46,103,51,49.51,52,50.49,07046
8,4,150,67,44.67,83,55.33,08004
8,5,2,0,0.0,2,100.0,08005
8,7,242,108,44.63,134,55.37,08007
8,9,155,79,50.97,76,49.03,08009
8,17,190,90,47.37,100,52.63,08017
8,27,177,89,50.28,88,49.72,08027
8,28,209,105,50.24,104,49.76,08028
8,32,144,62,43.06,82,56.94,08032
8,36,207,113,54.59,94,45.41,08036
8,39,184,92,50.0,92,50.0,08039
8,42,242,120,49.59,122,50.41,08042
8,46,145,68,46.9,77,53.1,08046
8,49,10,7,70.0,3,30.0,08049
8,50,82,43,52.44,39,47.56,08050
8,53,103,50,48.54,53,51.46,08053
9,1,192,100,52.08,92,47.92,09001
9,2,176,98,55.68,78,44.32,09002
9,3,110,48,43.64,62,56.36,09003
9,4,133,75,56.39,58,43.61,09004
9,5,189,84,44.44,105,55.56,09005
9,6,166,74,44.58,92,55.42,09006
9,7,140,64,45.71,76,54.29,09007
9,8,147,69,46.94,78,53.06,09008
9,9,213,103,48.36,110,51.64,09009
9,10,134,69,51.49,65,48.51,09010
9,11,129,61,47.29,68,52.71,09011
9,13,221,108,48.87,113,51.13,09013
9,14,235,104,44.26,131,55.74,09014
9,15,107,49,45.79,58,54.21,09015
9,16,162,79,48.77,83,51.23,09016
9,17,125,60,48.0,65,52.0,09017
9,18,127,70,55.12,57,44.88,09018
9,19,166,81,48.8,85,51.2,09019
9,20,207,96,46.38,111,53.62,09020
9,21,157,84,53.5,73,46.5,09021
9,22,201,107,53.23,94,46.77,09022
9,26,132,57,43.18,75,56.82,09026
9,27,165,82,49.7,83,50.3,09027
9,28,108,53,49.07,55,50.93,09028
9,29,146,87,59.59,59,40.41,09029
9,30,132,68,51.52,64,48.48,09030
9,31,122,52,42.62,70,57.38,09031
9,32,183,87,47.54,96,52.46,09032
9,33,120,66,55.0,54,45.0,09033
9,34,129,71,55.04,58,44.96,09034
9,35,199,94,47.24,105,52.76,09035
