ward,precinct,total,Angeles Sandoval,Angeles Sandoval Percent,Alma E. Anaya,Alma E. Anaya Percent,precinct_id
11,3,192,83,43.23,109,56.77,11003
11,7,73,29,39.73,44,60.27,11007
11,33,197,96,48.73,101,51.27,11033
11,37,82,39,47.56,43,52.44,11037
11,38,109,41,37.61,68,62.39,11038
12,1,231,83,35.93,148,64.07,12001
12,2,180,86,47.78,94,52.22,12002
12,3,291,110,37.8,181,62.2,12003
12,4,243,98,40.33,145,59.67,12004
12,5,206,76,36.89,130,63.11,12005
12,6,191,91,47.64,100,52.36,12006
12,7,171,48,28.07,123,71.93,12007
12,8,240,102,42.5,138,57.5,12008
12,9,175,84,48.0,91,52.0,12009
12,10,212,93,43.87,119,56.13,12010
12,11,197,86,43.65,111,56.35,12011
12,12,192,94,48.96,98,51.04,12012
12,13,219,109,49.77,110,50.23,12013
12,14,174,52,29.89,122,70.11,12014
12,15,179,67,37.43,112,62.57,12015
12,16,155,61,39.35,94,60.65,12016
12,17,199,104,52.26,95,47.74,12017
12,18,133,63,47.37,70,52.63,12018
12,19,51,23,45.1,28,54.9,12019
12,20,216,106,49.07,110,50.93,12020
12,21,202,86,42.57,116,57.43,12021
12,22,166,60,36.14,106,63.86,12022
12,23,28,14,50.0,14,50.0,12023
13,3,168,76,45.24,92,54.76,13003
13,5,74,38,51.35,36,48.65,13005
13,15,306,120,39.22,186,60.78,13015
13,28,164,67,40.85,97,59.15,13028
13,30,148,48,32.43,100,67.57,13030
13,34,306,70,22.88,236,77.12,13034
13,35,49,17,34.69,32,65.31,13035
13,39,34,15,44.12,19,55.88,13039
13,40,36,27,75.0,9,25.0,13040
13,46,91,37,40.66,54,59.34,13046
14,3,169,85,50.3,84,49.7,14003
14,5,259,132,50.97,127,49.03,14005
14,6,101,65,64.36,36,35.64,14006
14,10,132,66,50.0,66,50.0,14010
14,11,127,88,69.29,39,30.71,14011
14,14,214,122,57.01,92,42.99,14014
14,15,201,122,60.7,79,39.3,14015
14,16,149,88,59.06,61,40.94,14016
