ward,precinct,total,Tiana Ellis Blakely,Tiana Ellis Blakely Percent,Fredrick H. Bates,Fredrick H. Bates Percent,precinct_id
9,1,197,116,58.88,81,41.12,09001
9,2,177,128,72.32,49,27.68,09002
9,3,114,75,65.79,39,34.21,09003
9,4,141,95,67.38,46,32.62,09004
9,5,196,119,60.71,77,39.29,09005
9,6,184,114,61.96,70,38.04,09006
9,7,148,99,66.89,49,33.11,09007
9,8,171,107,62.57,64,37.43,09008
9,9,225,128,56.89,97,43.11,09009
9,10,142,97,68.31,45,31.69,09010
9,11,142,90,63.38,52,36.62,09011
9,13,11,4,36.36,7,63.64,09013
9,14,40,31,77.5,9,22.5,09014
9,15,110,67,60.91,43,39.09,09015
9,16,181,125,69.06,56,30.94,09016
9,17,125,75,60.0,50,40.0,09017
9,18,127,97,76.38,30,23.62,09018
9,19,178,114,64.04,64,35.96,09019
9,20,214,143,66.82,71,33.18,09020
9,21,166,104,62.65,62,37.35,09021
9,22,212,130,61.32,82,38.68,09022
9,26,132,71,53.79,61,46.21,09026
9,27,169,116,68.64,53,31.36,09027
9,28,107,69,64.49,38,35.51,09028
9,29,143,79,55.24,64,44.76,09029
9,30,139,93,66.91,46,33.09,09030
9,31,122,71,58.2,51,41.8,09031
9,32,200,115,57.5,85,42.5,09032
9,33,131,79,60.31,52,39.69,09033
9,34,133,86,64.66,47,35.34,09034
9,35,86,45,52.33,41,47.67,09035
9,37,292,93,31.85,199,68.15,09037
9,38,168,112,66.67,56,33.33,09038
9,39,215,145,67.44,70,32.56,09039
9,40,243,140,57.61,103,42.39,09040
9,41,148,87,58.78,61,41.22,09041
9,43,159,121,76.1,38,23.9,09043
9,44,183,115,62.84,68,37.16,09044
9,45,137,93,67.88,44,32.12,09045
9,46,199,103,51.76,96,48.24,09046
19,28,172,109,63.37,63,36.63,19028
19,43,43,21,48.84,22,51.16,19043
21,1,221,147,66.52,74,33.48,21001
21,2,51,39,76.47,12,23.53,21002
21,3,221,138,62.44,83,37.56,21003
21,5,243,170,69.96,73,30.04,21005
21,6,156,107,68.59,49,31.41,21006
21,7,219,141,64.38,78,35.62,21007
21,8,207,136,65.7,71,34.3,21008
