ward,precinct,total,Ann M. Williams,Ann M. Williams Percent,precinct_id
1,28,57,57,100.0,01028
1,42,19,19,100.0,01042
2,20,51,51,100.0,02020
2,22,168,168,100.0,02022
2,24,172,172,100.0,02024
2,26,133,133,100.0,02026
32,1,160,160,100.0,32001
32,5,8,8,100.0,32005
32,7,191,191,100.0,32007
32,8,177,177,100.0,32008
32,9,173,173,100.0,32009
32,10,185,185,100.0,32010
32,13,173,173,100.0,32013
32,15,187,187,100.0,32015
32,16,197,197,100.0,32016
32,18,154,154,100.0,32018
32,19,175,175,100.0,32019
32,21,226,226,100.0,32021
32,23,169,169,100.0,32023
32,24,107,107,100.0,32024
32,25,205,205,100.0,32025
32,27,159,159,100.0,32027
32,29,60,60,100.0,32029
32,30,141,141,100.0,32030
32,33,89,89,100.0,32033
32,34,7,7,100.0,32034
32,36,10,10,100.0,32036
32,37,92,92,100.0,32037
32,38,161,161,100.0,32038
32,39,184,184,100.0,32039
32,40,215,215,100.0,32040
32,41,192,192,100.0,32041
32,42,161,161,100.0,32042
33,3,58,58,100.0,33003
33,5,35,35,100.0,33005
33,8,352,352,100.0,33008
33,10,194,194,100.0,33010
33,20,38,38,100.0,33020
33,23,237,237,100.0,33023
33,24,392,392,100.0,33024
43,2,162,162,100.0,43002
43,6,115,115,100.0,43006
43,9,216,216,100.0,43009
43,16,125,125,100.0,43016
43,17,146,146,100.0,43017
43,18,203,203,100.0,43018
43,20,166,166,100.0,43020
43,21,178,178,100.0,43021
43,22,112,112,100.0,43022
43,24,126,126,100.0,43024
43,29,154,154,100.0,43029
43,30,162,162,100.0,43030
43,31,201,201,100.0,43031
43,37,174,174,100.0,43037
43,39,125,125,100.0,43039
43,40,123,123,100.0,43040
43,41,247,247,100.0,43041
43,44,164,164,100.0,43044
43,46,81,81,100.0,43046
44,2,208,208,100.0,44002
44,9,158,158,100.0,44009
44,11,140,140,100.0,44011
44,16,221,221,100.0,44016
44,25,184,184,100.0,44025
44,30,215,215,100.0,44030
47,1,131,131,100.0,47001
47,2,265,265,100.0,47002
47,3,291,291,100.0,47003
47,4,304,304,100.0,47004
47,5,55,55,100.0,47005
47,6,238,238,100.0,47006
47,7,218,218,100.0,47007
47,8,268,268,100.0,47008
47,9,214,214,100.0,47009
47,11,210,210,100.0,47011
47,12,294,294,100.0,47012
47,13,273,273,100.0,47013
47,14,244,244,100.0,47014
47,16,277,277,100.0,47016
47,17,238,238,100.0,47017
47,18,229,229,100.0,47018
47,21,256,256,100.0,47021
47,24,213,213,100.0,47024
47,25,249,249,100.0,47025
47,27,232,232,100.0,47027
47,28,9,9,100.0,47028
47,29,257,257,100.0,47029
47,33,192,192,100.0,47033
47,35,243,243,100.0,47035
47,39,262,262,100.0,47039
47,40,314,314,100.0,47040
47,41,138,138,100.0,47041
47,43,213,213,100.0,47043
47,44,179,179,100.0,47044
47,46,245,245,100.0,47046
47,47,259,259,100.0,47047
47,48,27,27,100.0,47048
