ward,precinct,total,James ''Jamie'' Shapiro,James ''Jamie'' Shapiro Percent,Stephen J. Feldman,Stephen J. Feldman Percent,Robin Denise Shoffner,Robin Denise Shoffner Percent,John Christopher Benson,John Christopher Benson Percent,Bonnie C. McGrath,Bonnie C. McGrath Percent,precinct_id
46,15,196,100,51.02,4,2.04,43,21.94,15,7.65,34,17.35,46015
46,16,262,120,45.8,8,3.05,69,26.34,23,8.78,42,16.03,46016
46,17,268,126,47.01,13,4.85,85,31.72,11,4.1,33,12.31,46017
46,18,216,95,43.98,5,2.31,62,28.7,19,8.8,35,16.2,46018
46,19,187,93,49.73,15,8.02,42,22.46,5,2.67,32,17.11,46019
46,20,186,74,39.78,24,12.9,48,25.81,16,8.6,24,12.9,46020
46,21,130,46,35.38,10,7.69,29,22.31,13,10.0,32,24.62,46021
46,22,128,34,26.56,1,0.78,45,35.16,27,21.09,21,16.41,46022
46,23,174,66,37.93,9,5.17,55,31.61,14,8.05,30,17.24,46023
46,24,243,125,51.44,11,4.53,63,25.93,9,3.7,35,14.4,46024
46,25,196,64,32.65,7,3.57,68,34.69,26,13.27,31,15.82,46025
46,26,221,86,38.91,5,2.26,67,30.32,24,10.86,39,17.65,46026
46,27,261,91,34.87,13,4.98,68,26.05,51,19.54,38,14.56,46027
46,28,258,135,52.33,10,3.88,67,25.97,13,5.04,33,12.79,46028
46,29,194,84,43.3,17,8.76,45,23.2,19,9.79,29,14.95,46029
46,30,199,85,42.71,14,7.04,60,30.15,11,5.53,29,14.57,46030
46,31,208,109,52.4,9,4.33,56,26.92,10,4.81,24,11.54,46031
46,32,197,75,38.07,13,6.6,63,31.98,18,9.14,28,14.21,46032
46,33,244,129,52.87,5,2.05,64,26.23,8,3.28,38,15.57,46033
46,34,227,80,35.24,10,4.41,59,25.99,51,22.47,27,11.89,46034
46,35,196,85,43.37,13,6.63,62,31.63,18,9.18,18,9.18,46035
46,36,225,105,46.67,10,4.44,64,28.44,8,3.56,38,16.89,46036
46,37,165,62,37.58,13,7.88,50,30.3,16,9.7,24,14.55,46037
46,38,161,67,41.61,10,6.21,52,32.3,11,6.83,21,13.04,46038
46,39,203,85,41.87,6,2.96,47,23.15,15,7.39,50,24.63,46039
46,40,221,107,48.42,9,4.07,65,29.41,8,3.62,32,14.48,46040
47,9,60,24,40.0,6,10.0,18,30.0,2,3.33,10,16.67,47009
47,11,181,87,48.07,5,2.76,55,30.39,11,6.08,23,12.71,47011
47,15,342,140,40.94,6,1.75,127,37.13,26,7.6,43,12.57,47015
47,18,227,107,47.14,5,2.2,70,30.84,18,7.93,27,11.89,47018
47,19,296,144,48.65,7,2.36,78,26.35,19,6.42,48,16.22,47019
47,23,313,107,34.19,6,1.92,125,39.94,40,12.78,35,11.18,47023
47,24,235,98,41.7,8,3.4,66,28.09,23,9.79,40,17.02,47024
47,33,58,25,43.1,0,0.0,16,27.59,3,5.17,14,24.14,47033
47,41,282,125,44.33,5,1.77,77,27.3,24,8.51,51,18.09,47041
47,44,170,88,51.76,8,4.71,28,16.47,14,8.24,32,18.82,47044
48,1,239,97,40.59,11,4.6,78,32.64,20,8.37,33,13.81,48001
48,2,145,88,60.69,0,0.0,39,26.9,9,6.21,9,6.21,48002
48,3,243,78,32.1,13,5.35,85,34.98,31,12.76,36,14.81,48003
48,4,230,102,44.35,19,8.26,63,27.39,15,6.52,31,13.48,48004
48,5,172,85,49.42,7,4.07,41,23.84,16,9.3,23,13.37,48005
48,6,278,121,43.53,19,6.83,62,22.3,28,10.07,48,17.27,48006
48,7,265,119,44.91,2,0.75,75,28.3,32,12.08,37,13.96,48007
48,8,143,85,59.44,2,1.4,30,20.98,8,5.59,18,12.59,48008
48,9,154,70,45.45,16,10.39,34,22.08,9,5.84,25,16.23,48009
48,10,364,151,41.48,9,2.47,118,32.42,27,7.42,59,16.21,48010
48,11,248,108,43.55,7,2.82,78,31.45,28,11.29,27,10.89,48011
48,12,297,132,44.44,8,2.69,87,29.29,24,8.08,46,15.49,48012
48,14,123,62,50.41,4,3.25,30,24.39,4,3.25,23,18.7,48014
48,16,237,94,39.66,14,5.91,63,26.58,21,8.86,45,18.99,48016
48,17,236,112,47.46,11,4.66,56,23.73,19,8.05,38,16.1,48017
48,18,188,65,34.57,12,6.38,50,26.6,19,10.11,42,22.34,48018
48,19,227,116,51.1,2,0.88,67,29.52,16,7.05,26,11.45,48019
48,20,307,126,41.04,8,2.61,90,29.32,27,8.79,56,18.24,48020
48,21,255,97,38.04,27,10.59,67,26.27,23,9.02,41,16.08,48021
48,23,275,153,55.64,10,3.64,63,22.91,14,5.09,35,12.73,48023
48,24,232,103,44.4,15,6.47,61,26.29,17,7.33,36,15.52,48024
48,25,289,118,40.83,9,3.11,76,26.3,61,21.11,25,8.65,48025
48,26,104,44,42.31,7,6.73,30,28.85,4,3.85,19,18.27,48026
48,27,110,47,42.73,1,0.91,40,36.36,6,5.45,16,14.55,48027
48,28,247,112,45.34,13,5.26,75,30.36,13,5.26,34,13.77,48028
48,29,155,66,42.58,8,5.16,44,28.39,8,5.16,29,18.71,48029
48,30,246,112,45.53,9,3.66,66,26.83,37,15.04,22,8.94,48030
48,31,140,53,37.86,7,5.0,39,27.86,19,13.57,22,15.71,48031
48,32,63,23,36.51,3,4.76,17,26.98,5,7.94,15,23.81,48032
48,34,229,108,47.16,2,0.87,44,19.21,39,17.03,36,15.72,48034
48,35,153,60,39.22,9,5.88,38,24.84,23,15.03,23,15.03,48035
48,36,167,79,47.31,9,5.39,50,29.94,8,4.79,21,12.57,48036
48,37,253,87,34.39,8,3.16,88,34.78,33,13.04,37,14.62,48037
48,38,327,148,45.26,9,2.75,81,24.77,50,15.29,39,11.93,48038
48,39,193,80,41.45,9,4.66,49,25.39,12,6.22,43,22.28,48039
48,40,241,102,42.32,11,4.56,80,33.2,19,7.88,29,12.03,48040
48,41,238,85,35.71,11,4.62,90,37.82,28,11.76,24,10.08,48041
48,42,329,132,40.12,14,4.26,106,32.22,33,10.03,44,13.37,48042
48,43,235,107,45.53,9,3.83,62,26.38,13,5.53,44,18.72,48043
48,44,314,136,43.31,2,0.64,100,31.85,27,8.6,49,15.61,48044
48,45,190,68,35.79,9,4.74,52,27.37,26,13.68,35,18.42,48045
49,2,163,72,44.17,4,2.45,44,26.99,14,8.59,29,17.79,49002
49,17,125,53,42.4,8,6.4,34,27.2,8,6.4,22,17.6,49017
