ward,precinct,total,Richard R. Boykin,Richard R. Boykin Percent,Brandon Johnson,Brandon Johnson Percent,precinct_id
1,12,72,30,41.67,42,58.33,01012
1,32,169,70,41.42,99,58.58,01032
26,28,207,113,54.59,94,45.41,26028
26,32,150,73,48.67,77,51.33,26032
27,3,107,66,61.68,41,38.32,27003
27,4,99,52,52.53,47,47.47,27004
27,5,136,74,54.41,62,45.59,27005
27,8,124,63,50.81,61,49.19,27008
27,15,87,46,52.87,41,47.13,27015
27,19,83,45,54.22,38,45.78,27019
27,22,105,57,54.29,48,45.71,27022
27,23,147,80,54.42,67,45.58,27023
27,24,103,54,52.43,49,47.57,27024
27,26,158,90,56.96,68,43.04,27026
27,29,102,53,51.96,49,48.04,27029
27,31,156,71,45.51,85,54.49,27031
27,34,146,76,52.05,70,47.95,27034
27,36,144,67,46.53,77,53.47,27036
27,43,16,7,43.75,9,56.25,27043
27,44,117,60,51.28,57,48.72,27044
28,1,103,55,53.4,48,46.6,28001
28,2,136,56,41.18,80,58.82,28002
28,3,118,52,44.07,66,55.93,28003
28,7,138,68,49.28,70,50.72,28007
28,9,89,39,43.82,50,56.18,28009
28,12,157,98,62.42,59,37.58,28012
28,13,164,70,42.68,94,57.32,28013
28,14,142,78,54.93,64,45.07,28014
28,15,47,24,51.06,23,48.94,28015
28,17,66,27,40.91,39,59.09,28017
28,20,146,89,60.96,57,39.04,28020
28,21,136,51,37.5,85,62.5,28021
28,22,140,45,32.14,95,67.86,28022
28,23,171,77,45.03,94,54.97,28023
28,24,132,63,47.73,69,52.27,28024
28,25,235,102,43.4,133,56.6,28025
28,26,166,76,45.78,90,54.22,28026
28,31,278,145,52.16,133,47.84,28031
28,33,178,98,55.06,80,44.94,28033
28,36,48,25,52.08,23,47.92,28036
28,37,200,87,43.5,113,56.5,28037
28,38,71,33,46.48,38,53.52,28038
28,39,104,61,58.65,43,41.35,28039
28,40,134,71,52.99,63,47.01,28040
28,41,121,58,47.93,63,52.07,28041
28,42,167,71,42.51,96,57.49,28042
28,43,194,88,45.36,106,54.64,28043
28,44,117,67,57.26,50,42.74,28044
29,1,316,131,41.46,185,58.54,29001
29,2,199,109,54.77,90,45.23,29002
29,3,201,105,52.24,96,47.76,29003
29,4,254,147,57.87,107,42.13,29004
29,5,145,75,51.72,70,48.28,29005
29,6,24,12,50.0,12,50.0,29006
29,7,239,102,42.68,137,57.32,29007
29,8,139,78,56.12,61,43.88,29008
29,9,256,90,35.16,166,64.84,29009
29,10,289,108,37.37,181,62.63,29010
29,11,128,74,57.81,54,42.19,29011
29,12,259,133,51.35,126,48.65,29012
29,13,215,132,61.4,83,38.6,29013
29,14,200,142,71.0,58,29.0,29014
29,15,253,136,53.75,117,46.25,29015
29,16,233,128,54.94,105,45.06,29016
29,17,217,93,42.86,124,57.14,29017
29,18,211,124,58.77,87,41.23,29018
29,19,226,153,67.7,73,32.3,29019
29,20,249,153,61.45,96,38.55,29020
29,21,227,137,60.35,90,39.65,29021
29,22,173,95,54.91,78,45.09,29022
29,23,198,94,47.47,104,52.53,29023
29,24,213,91,42.72,122,57.28,29024
29,25,269,139,51.67,130,48.33,29025
29,26,231,129,55.84,102,44.16,29026
29,27,189,93,49.21,96,50.79,29027
29,28,257,166,64.59,91,35.41,29028
29,29,152,82,53.95,70,46.05,29029
29,30,281,151,53.74,130,46.26,29030
29,31,134,76,56.72,58,43.28,29031
29,32,103,61,59.22,42,40.78,29032
29,33,198,101,51.01,97,48.99,29033
29,34,111,62,55.86,49,44.14,29034
29,35,156,87,55.77,69,44.23,29035
29,36,189,92,48.68,97,51.32,29036
29,37,212,135,63.68,77,36.32,29037
