ward,precinct,total,Danny K. Davis,Danny K. Davis Percent,Anthony V. Clark,Anthony V. Clark Percent,precinct_id
1,12,258,147,56.98,111,43.02,01012
1,14,48,31,64.58,17,35.42,01014
1,15,43,28,65.12,15,34.88,01015
1,32,73,46,63.01,27,36.99,01032
2,2,190,129,67.89,61,32.11,02002
2,9,147,105,71.43,42,28.57,02009
2,10,194,137,70.62,57,29.38,02010
2,11,241,170,70.54,71,29.46,02011
2,12,145,120,82.76,25,17.24,02012
2,13,209,144,68.9,65,31.1,02013
2,14,222,138,62.16,84,37.84,02014
2,17,279,186,66.67,93,33.33,02017
2,18,202,152,75.25,50,24.75,02018
2,19,170,110,64.71,60,35.29,02019
2,20,28,18,64.29,10,35.71,02020
2,21,6,3,50.0,3,50.0,02021
2,23,173,119,68.79,54,31.21,02023
2,27,179,120,67.04,59,32.96,02027
2,28,29,17,58.62,12,41.38,02028
2,29,201,131,65.17,70,34.83,02029
2,32,157,93,59.24,64,40.76,02032
2,34,237,177,74.68,60,25.32,02034
2,35,193,122,63.21,71,36.79,02035
2,36,168,116,69.05,52,30.95,02036
2,38,133,90,67.67,43,32.33,02038
2,39,133,87,65.41,46,34.59,02039
2,40,199,137,68.84,62,31.16,02040
2,41,134,95,70.9,39,29.1,02041
2,42,174,113,64.94,61,35.06,02042
2,43,214,153,71.5,61,28.5,02043
2,45,219,156,71.23,63,28.77,02045
2,46,112,83,74.11,29,25.89,02046
3,1,361,307,85.04,54,14.96,03001
3,2,392,352,89.8,40,10.2,03002
3,3,240,184,76.67,56,23.33,03003
3,4,142,123,86.62,19,13.38,03004
3,5,141,120,85.11,21,14.89,03005
3,6,265,182,68.68,83,31.32,03006
3,8,203,173,85.22,30,14.78,03008
3,9,266,221,83.08,45,16.92,03009
3,10,130,125,96.15,5,3.85,03010
3,11,253,207,81.82,46,18.18,03011
3,12,314,273,86.94,41,13.06,03012
3,13,311,218,70.1,93,29.9,03013
3,14,225,157,69.78,68,30.22,03014
3,15,245,218,88.98,27,11.02,03015
3,16,230,201,87.39,29,12.61,03016
3,17,263,201,76.43,62,23.57,03017
3,18,187,157,83.96,30,16.04,03018
3,19,259,184,71.04,75,28.96,03019
3,20,274,238,86.86,36,13.14,03020
3,21,327,272,83.18,55,16.82,03021
3,22,257,176,68.48,81,31.52,03022
3,23,174,151,86.78,23,13.22,03023
3,24,250,215,86.0,35,14.0,03024
3,25,376,265,70.48,111,29.52,03025
3,26,353,272,77.05,81,22.95,03026
3,27,268,189,70.52,79,29.48,03027
3,28,194,176,90.72,18,9.28,03028
3,29,245,216,88.16,29,11.84,03029
3,30,128,119,92.97,9,7.03,03030
3,31,284,247,86.97,37,13.03,03031
3,32,274,208,75.91,66,24.09,03032
3,33,226,146,64.6,80,35.4,03033
3,34,302,212,70.2,90,29.8,03034
3,35,6,5,83.33,1,16.67,03035
3,36,137,120,87.59,17,12.41,03036
3,37,212,173,81.6,39,18.4,03037
3,39,303,201,66.34,102,33.66,03039
3,40,280,243,86.79,37,13.21,03040
4,2,297,206,69.36,91,30.64,04002
4,4,344,303,88.08,41,11.92,04004
4,5,305,254,83.28,51,16.72,04005
4,6,388,337,86.86,51,13.14,04006
4,7,415,353,85.06,62,14.94,04007
4,8,39,35,89.74,4,10.26,04008
4,10,368,288,78.26,80,21.74,04010
4,11,148,132,89.19,16,10.81,04011
4,13,173,104,60.12,69,39.88,04013
4,14,43,38,88.37,5,11.63,04014
4,15,100,82,82.0,18,18.0,04015
4,16,327,230,70.34,97,29.66,04016
4,17,311,198,63.67,113,36.33,04017
4,20,268,176,65.67,92,34.33,04020
4,21,258,173,67.05,85,32.95,04021
4,22,12,10,83.33,2,16.67,04022
4,25,271,190,70.11,81,29.89,04025
4,28,174,143,82.18,31,17.82,04028
4,29,73,60,82.19,13,17.81,04029
4,30,42,33,78.57,9,21.43,04030
4,34,279,236,84.59,43,15.41,04034
4,35,360,302,83.89,58,16.11,04035
4,36,157,134,85.35,23,14.65,04036
4,37,365,236,64.66,129,35.34,04037
6,21,102,90,88.24,12,11.76,06021
11,2,15,11,73.33,4,26.67,11002
11,6,261,164,62.84,97,37.16,11006
11,7,172,118,68.6,54,31.4,11007
11,14,82,57,69.51,25,30.49,11014
11,30,100,61,61.0,39,39.0,11030
11,33,207,140,67.63,67,32.37,11033
11,34,95,60,63.16,35,36.84,11034
11,35,67,55,82.09,12,17.91,11035
11,36,83,52,62.65,31,37.35,11036
11,37,65,55,84.62,10,15.38,11037
12,10,34,25,73.53,9,26.47,12010
12,15,98,70,71.43,28,28.57,12015
12,18,8,6,75.0,2,25.0,12018
15,2,113,101,89.38,12,10.62,15002
15,3,122,108,88.52,14,11.48,15003
15,7,120,101,84.17,19,15.83,15007
15,13,18,16,88.89,2,11.11,15013
15,14,20,12,60.0,8,40.0,15014
15,16,2,1,50.0,1,50.0,15016
15,17,154,138,89.61,16,10.39,15017
15,18,96,89,92.71,7,7.29,15018
15,20,118,106,89.83,12,10.17,15020
15,21,132,120,90.91,12,9.09,15021
15,22,117,97,82.91,20,17.09,15022
15,23,139,126,90.65,13,9.35,15023
15,24,109,98,89.91,11,10.09,15024
16,2,161,139,86.34,22,13.66,16002
16,3,117,103,88.03,14,11.97,16003
16,4,131,107,81.68,24,18.32,16004
16,5,110,96,87.27,14,12.73,16005
16,6,149,132,88.59,17,11.41,16006
16,7,130,111,85.38,19,14.62,16007
16,8,97,77,79.38,20,20.62,16008
16,9,13,11,84.62,2,15.38,16009
16,10,122,106,86.89,16,13.11,16010
16,11,115,97,84.35,18,15.65,16011
16,12,115,102,88.7,13,11.3,16012
16,13,112,88,78.57,24,21.43,16013
16,14,117,105,89.74,12,10.26,16014
16,15,164,143,87.2,21,12.8,16015
16,16,158,146,92.41,12,7.59,16016
16,17,135,104,77.04,31,22.96,16017
16,18,133,114,85.71,19,14.29,16018
16,19,120,98,81.67,22,18.33,16019
16,20,123,107,86.99,16,13.01,16020
16,21,118,100,84.75,18,15.25,16021
16,22,113,102,90.27,11,9.73,16022
16,23,9,5,55.56,4,44.44,16023
16,24,81,71,87.65,10,12.35,16024
16,25,174,149,85.63,25,14.37,16025
16,26,137,118,86.13,19,13.87,16026
16,27,123,104,84.55,19,15.45,16027
16,29,127,105,82.68,22,17.32,16029
16,31,135,121,89.63,14,10.37,16031
16,33,125,108,86.4,17,13.6,16033
16,34,84,73,86.9,11,13.1,16034
16,35,115,78,67.83,37,32.17,16035
16,36,110,91,82.73,19,17.27,16036
17,6,92,78,84.78,14,15.22,17006
17,7,112,81,72.32,31,27.68,17007
17,8,0,0,0.0,0,0.0,17008
17,12,176,127,72.16,49,27.84,17012
17,13,170,151,88.82,19,11.18,17013
17,14,183,134,73.22,49,26.78,17014
17,16,41,30,73.17,11,26.83,17016
17,19,111,95,85.59,16,14.41,17019
17,25,3,3,100.0,0,0.0,17025
17,31,107,99,92.52,8,7.48,17031
17,33,57,46,80.7,11,19.3,17033
17,35,112,97,86.61,15,13.39,17035
17,36,33,28,84.85,5,15.15,17036
20,2,76,69,90.79,7,9.21,20002
20,4,63,55,87.3,8,12.7,20004
20,6,81,73,90.12,8,9.88,20006
20,11,169,144,85.21,25,14.79,20011
20,15,57,42,73.68,15,26.32,20015
20,17,95,80,84.21,15,15.79,20017
20,20,112,79,70.54,33,29.46,20020
20,21,116,97,83.62,19,16.38,20021
20,25,143,119,83.22,24,16.78,20025
20,27,24,19,79.17,5,20.83,20027
20,30,94,85,90.43,9,9.57,20030
20,31,166,135,81.33,31,18.67,20031
20,32,168,157,93.45,11,6.55,20032
20,36,57,50,87.72,7,12.28,20036
20,37,0,0,0.0,0,0.0,20037
20,38,70,62,88.57,8,11.43,20038
20,39,17,16,94.12,1,5.88,20039
22,14,70,51,72.86,19,27.14,22014
22,15,9,6,66.67,3,33.33,22015
22,19,38,31,81.58,7,18.42,22019
22,21,198,182,91.92,16,8.08,22021
23,17,33,21,63.64,12,36.36,23017
23,19,46,25,54.35,21,45.65,23019
23,31,56,34,60.71,22,39.29,23031
24,1,155,139,89.68,16,10.32,24001
24,2,150,139,92.67,11,7.33,24002
24,3,146,129,88.36,17,11.64,24003
24,4,125,112,89.6,13,10.4,24004
24,5,80,70,87.5,10,12.5,24005
24,6,164,147,89.63,17,10.37,24006
24,7,95,56,58.95,39,41.05,24007
24,8,81,76,93.83,5,6.17,24008
24,9,126,106,84.13,20,15.87,24009
24,10,75,68,90.67,7,9.33,24010
24,11,157,142,90.45,15,9.55,24011
24,12,90,77,85.56,13,14.44,24012
24,13,69,64,92.75,5,7.25,24013
24,14,130,116,89.23,14,10.77,24014
24,15,67,63,94.03,4,5.97,24015
24,16,76,58,76.32,18,23.68,24016
24,17,133,122,91.73,11,8.27,24017
24,18,173,160,92.49,13,7.51,24018
24,19,208,186,89.42,22,10.58,24019
24,20,125,116,92.8,9,7.2,24020
24,21,70,62,88.57,8,11.43,24021
24,22,201,177,88.06,24,11.94,24022
24,23,126,104,82.54,22,17.46,24023
24,24,181,164,90.61,17,9.39,24024
24,25,129,122,94.57,7,5.43,24025
24,26,269,250,92.94,19,7.06,24026
24,27,173,151,87.28,22,12.72,24027
24,28,131,116,88.55,15,11.45,24028
24,29,140,124,88.57,16,11.43,24029
24,30,96,84,87.5,12,12.5,24030
24,31,174,156,89.66,18,10.34,24031
24,32,92,81,88.04,11,11.96,24032
24,33,89,78,87.64,11,12.36,24033
24,34,144,131,90.97,13,9.03,24034
24,35,132,119,90.15,13,9.85,24035
24,36,197,167,84.77,30,15.23,24036
24,37,95,88,92.63,7,7.37,24037
24,38,148,129,87.16,19,12.84,24038
24,39,200,168,84.0,32,16.0,24039
24,40,163,148,90.8,15,9.2,24040
24,41,139,125,89.93,14,10.07,24041
25,3,210,117,55.71,93,44.29,25003
25,4,176,129,73.3,47,26.7,25004
25,6,69,56,81.16,13,18.84,25006
25,10,212,134,63.21,78,36.79,25010
25,14,96,68,70.83,28,29.17,25014
25,16,183,119,65.03,64,34.97,25016
25,18,142,112,78.87,30,21.13,25018
25,20,139,115,82.73,24,17.27,25020
25,21,316,201,63.61,115,36.39,25021
25,25,177,117,66.1,60,33.9,25025
25,27,156,95,60.9,61,39.1,25027
25,29,206,166,80.58,40,19.42,25029
25,31,203,145,71.43,58,28.57,25031
26,1,93,58,62.37,35,37.63,26001
26,3,180,107,59.44,73,40.56,26003
26,4,98,77,78.57,21,21.43,26004
26,10,114,76,66.67,38,33.33,26010
26,17,117,66,56.41,51,43.59,26017
26,19,94,71,75.53,23,24.47,26019
26,21,172,106,61.63,66,38.37,26021
26,27,80,40,50.0,40,50.0,26027
26,28,99,59,59.6,40,40.4,26028
26,33,157,102,64.97,55,35.03,26033
26,36,86,51,59.3,35,40.7,26036
26,39,88,56,63.64,32,36.36,26039
26,45,7,6,85.71,1,14.29,26045
26,46,93,56,60.22,37,39.78,26046
27,1,181,117,64.64,64,35.36,27001
27,2,194,150,77.32,44,22.68,27002
27,3,117,96,82.05,21,17.95,27003
27,4,106,75,70.75,31,29.25,27004
27,5,148,132,89.19,16,10.81,27005
27,6,168,125,74.4,43,25.6,27006
27,8,132,107,81.06,25,18.94,27008
27,9,85,57,67.06,28,32.94,27009
27,10,237,215,90.72,22,9.28,27010
27,11,152,104,68.42,48,31.58,27011
27,13,228,203,89.04,25,10.96,27013
27,14,91,80,87.91,11,12.09,27014
27,15,103,86,83.5,17,16.5,27015
27,16,120,75,62.5,45,37.5,27016
27,17,171,149,87.13,22,12.87,27017
27,18,136,113,83.09,23,16.91,27018
27,19,83,69,83.13,14,16.87,27019
27,20,103,90,87.38,13,12.62,27020
27,21,142,106,74.65,36,25.35,27021
27,22,116,103,88.79,13,11.21,27022
27,23,161,142,88.2,19,11.8,27023
27,24,105,88,83.81,17,16.19,27024
27,25,181,145,80.11,36,19.89,27025
27,26,175,150,85.71,25,14.29,27026
27,27,181,146,80.66,35,19.34,27027
27,28,96,76,79.17,20,20.83,27028
27,29,108,92,85.19,16,14.81,27029
27,30,107,97,90.65,10,9.35,27030
27,31,168,143,85.12,25,14.88,27031
27,32,159,122,76.73,37,23.27,27032
27,33,153,111,72.55,42,27.45,27033
27,34,150,133,88.67,17,11.33,27034
27,35,165,107,64.85,58,35.15,27035
27,36,151,124,82.12,27,17.88,27036
27,37,221,182,82.35,39,17.65,27037
27,38,310,248,80.0,62,20.0,27038
27,39,155,135,87.1,20,12.9,27039
27,40,167,124,74.25,43,25.75,27040
27,41,217,206,94.93,11,5.07,27041
27,42,85,77,90.59,8,9.41,27042
27,43,114,98,85.96,16,14.04,27043
27,44,128,116,90.63,12,9.38,27044
27,45,239,161,67.36,78,32.64,27045
27,47,162,138,85.19,24,14.81,27047
27,48,245,186,75.92,59,24.08,27048
27,49,138,122,88.41,16,11.59,27049
27,50,182,162,89.01,20,10.99,27050
28,1,115,102,88.7,13,11.3,28001
28,2,142,122,85.92,20,14.08,28002
28,3,134,116,86.57,18,13.43,28003
28,4,105,67,63.81,38,36.19,28004
28,5,124,104,83.87,20,16.13,28005
28,6,119,99,83.19,20,16.81,28006
28,7,151,137,90.73,14,9.27,28007
28,8,130,83,63.85,47,36.15,28008
28,9,155,135,87.1,20,12.9,28009
28,10,207,159,76.81,48,23.19,28010
28,11,251,162,64.54,89,35.46,28011
28,12,166,153,92.17,13,7.83,28012
28,13,178,155,87.08,23,12.92,28013
28,14,151,137,90.73,14,9.27,28014
28,15,54,47,87.04,7,12.96,28015
28,16,100,88,88.0,12,12.0,28016
28,17,129,112,86.82,17,13.18,28017
28,18,149,133,89.26,16,10.74,28018
28,19,148,102,68.92,46,31.08,28019
28,20,163,139,85.28,24,14.72,28020
28,21,140,123,87.86,17,12.14,28021
28,22,149,127,85.23,22,14.77,28022
