ward,precinct,total,Edward J. Underhill,Edward J. Underhill Percent,Charles ''Charlie'' Beach,Charles ''Charlie'' Beach Percent,Andrea Michelle Webber,Andrea Michelle Webber Percent,precinct_id
27,35,13,2,15.38,4,30.77,7,53.85,27035
27,40,184,43,23.37,76,41.3,65,35.33,27040
27,43,13,2,15.38,3,23.08,8,61.54,27043
27,45,15,5,33.33,4,26.67,6,40.0,27045
30,14,74,18,24.32,14,18.92,42,56.76,30014
30,19,128,28,21.88,28,21.88,72,56.25,30019
31,1,73,21,28.77,23,31.51,29,39.73,31001
31,2,84,19,22.62,35,41.67,30,35.71,31002
31,4,165,36,21.82,65,39.39,64,38.79,31004
31,5,126,24,19.05,46,36.51,56,44.44,31005
31,6,77,9,11.69,30,38.96,38,49.35,31006
31,7,185,33,17.84,57,30.81,95,51.35,31007
31,10,84,15,17.86,18,21.43,51,60.71,31010
31,13,118,20,16.95,45,38.14,53,44.92,31013
31,16,146,32,21.92,32,21.92,82,56.16,31016
31,17,78,23,29.49,22,28.21,33,42.31,31017
31,18,92,24,26.09,24,26.09,44,47.83,31018
31,20,95,22,23.16,33,34.74,40,42.11,31020
31,21,93,26,27.96,26,27.96,41,44.09,31021
31,22,81,15,18.52,36,44.44,30,37.04,31022
31,23,93,18,19.35,32,34.41,43,46.24,31023
31,24,142,31,21.83,58,40.85,53,37.32,31024
31,26,110,26,23.64,40,36.36,44,40.0,31026
31,27,106,29,27.36,30,28.3,47,44.34,31027
31,28,77,17,22.08,24,31.17,36,46.75,31028
31,29,105,18,17.14,40,38.1,47,44.76,31029
31,30,69,12,17.39,15,21.74,42,60.87,31030
31,32,62,16,25.81,19,30.65,27,43.55,31032
31,35,72,19,26.39,18,25.0,35,48.61,31035
31,36,129,32,24.81,46,35.66,51,39.53,31036
31,37,85,15,17.65,31,36.47,39,45.88,31037
31,38,77,15,19.48,24,31.17,38,49.35,31038
31,39,117,14,11.97,34,29.06,69,58.97,31039
31,40,112,23,20.54,32,28.57,57,50.89,31040
31,41,93,13,13.98,41,44.09,39,41.94,31041
32,1,215,47,21.86,63,29.3,105,48.84,32001
