ward,precinct,total,Marina E. Ammendola,Marina E. Ammendola Percent,Beatriz A. Frausto-Sandoval,Beatriz A. Frausto-Sandoval Percent,precinct_id
3,28,2,0,0.0,2,100.0,03028
11,1,199,124,62.31,75,37.69,11001
11,2,13,6,46.15,7,53.85,11002
11,3,154,73,47.4,81,52.6,11003
11,4,179,99,55.31,80,44.69,11004
11,5,239,129,53.97,110,46.03,11005
11,7,111,70,63.06,41,36.94,11007
11,8,158,88,55.7,70,44.3,11008
11,9,150,82,54.67,68,45.33,11009
11,10,154,102,66.23,52,33.77,11010
11,11,188,113,60.11,75,39.89,11011
11,17,222,121,54.5,101,45.5,11017
11,19,221,118,53.39,103,46.61,11019
11,21,267,177,66.29,90,33.71,11021
11,22,203,119,58.62,84,41.38,11022
11,24,274,208,75.91,66,24.09,11024
11,25,204,146,71.57,58,28.43,11025
11,26,238,149,62.61,89,37.39,11026
11,29,251,160,63.75,91,36.25,11029
11,31,183,115,62.84,68,37.16,11031
11,33,172,110,63.95,62,36.05,11033
11,37,1,1,100.0,0,0.0,11037
11,38,94,46,48.94,48,51.06,11038
12,1,203,84,41.38,119,58.62,12001
12,2,144,53,36.81,91,63.19,12002
12,3,265,105,39.62,160,60.38,12003
12,4,216,88,40.74,128,59.26,12004
12,5,166,78,46.99,88,53.01,12005
12,6,161,52,32.3,109,67.7,12006
12,7,154,47,30.52,107,69.48,12007
12,8,195,71,36.41,124,63.59,12008
12,9,159,66,41.51,93,58.49,12009
12,10,183,53,28.96,130,71.04,12010
12,11,172,46,26.74,126,73.26,12011
12,12,156,66,42.31,90,57.69,12012
12,13,180,68,37.78,112,62.22,12013
12,14,156,42,26.92,114,73.08,12014
12,15,147,53,36.05,94,63.95,12015
12,16,127,41,32.28,86,67.72,12016
12,17,165,53,32.12,112,67.88,12017
12,18,114,35,30.7,79,69.3,12018
12,19,165,69,41.82,96,58.18,12019
12,20,192,72,37.5,120,62.5,12020
12,21,164,79,48.17,85,51.83,12021
12,22,134,49,36.57,85,63.43,12022
12,23,185,81,43.78,104,56.22,12023
14,5,236,85,36.02,151,63.98,14005
14,6,93,42,45.16,51,54.84,14006
14,10,120,53,44.17,67,55.83,14010
14,11,116,66,56.9,50,43.1,14011
14,14,187,85,45.45,102,54.55,14014
14,15,179,83,46.37,96,53.63,14015
14,16,122,50,40.98,72,59.02,14016
14,17,148,48,32.43,100,67.57,14017
14,19,187,76,40.64,111,59.36,14019
14,20,113,38,33.63,75,66.37,14020
14,21,183,66,36.07,117,63.93,14021
14,25,112,52,46.43,60,53.57,14025
14,26,133,49,36.84,84,63.16,14026
14,29,170,74,43.53,96,56.47,14029
14,30,103,35,33.98,68,66.02,14030
14,31,91,28,30.77,63,69.23,14031
15,1,160,50,31.25,110,68.75,15001
15,4,162,44,27.16,118,72.84,15004
15,5,142,56,39.44,86,60.56,15005
15,6,139,51,36.69,88,63.31,15006
15,8,148,44,29.73,104,70.27,15008
15,9,191,60,31.41,131,68.59,15009
15,10,186,74,39.78,112,60.22,15010
15,11,166,49,29.52,117,70.48,15011
15,12,173,58,33.53,115,66.47,15012
15,13,143,57,39.86,86,60.14,15013
15,14,135,34,25.19,101,74.81,15014
15,15,107,39,36.45,68,63.55,15015
15,16,164,49,29.88,115,70.12,15016
15,19,150,60,40.0,90,60.0,15019
16,1,176,65,36.93,111,63.07,16001
16,2,41,26,63.41,15,36.59,16002
16,4,94,63,67.02,31,32.98,16004
16,6,3,3,100.0,0,0.0,16006
16,7,103,65,63.11,38,36.89,16007
16,11,82,48,58.54,34,41.46,16011
16,13,102,44,43.14,58,56.86,16013
16,17,112,49,43.75,63,56.25,16017
16,18,107,60,56.07,47,43.93,16018
16,19,97,61,62.89,36,37.11,16019
16,22,96,64,66.67,32,33.33,16022
16,23,105,42,40.0,63,60.0,16023
16,32,130,45,34.62,85,65.38,16032
16,35,164,66,40.24,98,59.76,16035
17,6,109,63,57.8,46,42.2,17006
17,7,106,41,38.68,65,61.32,17007
17,12,124,52,41.94,72,58.06,17012
17,14,75,34,45.33,41,54.67,17014
17,16,122,60,49.18,62,50.82,17016
17,25,85,55,64.71,30,35.29,17025
20,4,10,3,30.0,7,70.0,20004
20,15,115,43,37.39,72,62.61,20015
20,17,76,36,47.37,40,52.63,20017
20,20,113,40,35.4,73,64.6,20020
22,3,232,71,30.6,161,69.4,22003
22,4,133,38,28.57,95,71.43,22004
22,5,132,36,27.27,96,72.73,22005
22,6,147,44,29.93,103,70.07,22006
22,7,108,28,25.93,80,74.07,22007
22,9,118,25,21.19,93,78.81,22009
22,10,208,49,23.56,159,76.44,22010
22,11,135,34,25.19,101,74.81,22011
22,12,161,75,46.58,86,53.42,22012
22,13,157,60,38.22,97,61.78,22013
22,14,133,47,35.34,86,64.66,22014
22,15,119,36,30.25,83,69.75,22015
22,16,119,37,31.09,82,68.91,22016
22,17,177,47,26.55,130,73.45,22017
22,18,132,34,25.76,98,74.24,22018
22,19,56,34,60.71,22,39.29,22019
22,20,149,46,30.87,103,69.13,22020
22,22,139,45,32.37,94,67.63,22022
22,24,162,50,30.86,112,69.14,22024
22,25,156,42,26.92,114,73.08,22025
24,7,85,40,47.06,45,52.94,24007
24,10,0,0,0.0,0,0.0,24010
24,16,189,72,38.1,117,61.9,24016
24,39,152,115,75.66,37,24.34,24039
25,1,176,62,35.23,114,64.77,25001
25,2,206,96,46.6,110,53.4,25002
25,4,27,19,70.37,8,29.63,25004
