ward,precinct,total,Joanne F. Rosado,Joanne F. Rosado Percent,Scott J. Frankel,Scott J. Frankel Percent,precinct_id
29,1,274,195,71.17,79,28.83,29001
29,7,210,156,74.29,54,25.71,29007
29,9,214,164,76.64,50,23.36,29009
29,10,245,199,81.22,46,18.78,29010
29,12,230,181,78.7,49,21.3,29012
29,15,220,173,78.64,47,21.36,29015
29,17,193,152,78.76,41,21.24,29017
29,23,177,131,74.01,46,25.99,29023
29,24,171,112,65.5,59,34.5,29024
29,29,138,107,77.54,31,22.46,29029
29,30,239,184,76.99,55,23.01,29030
29,31,127,95,74.8,32,25.2,29031
29,32,98,76,77.55,22,22.45,29032
29,36,163,122,74.85,41,25.15,29036
29,38,130,108,83.08,22,16.92,29038
29,39,140,117,83.57,23,16.43,29039
29,43,232,181,78.02,51,21.98,29043
30,1,186,139,74.73,47,25.27,30001
30,2,115,93,80.87,22,19.13,30002
30,3,68,60,88.24,8,11.76,30003
30,4,119,90,75.63,29,24.37,30004
30,5,79,62,78.48,17,21.52,30005
30,6,118,87,73.73,31,26.27,30006
30,7,145,118,81.38,27,18.62,30007
30,8,188,150,79.79,38,20.21,30008
30,9,98,80,81.63,18,18.37,30009
30,10,127,100,78.74,27,21.26,30010
30,11,115,98,85.22,17,14.78,30011
30,12,89,66,74.16,23,25.84,30012
30,13,111,90,81.08,21,18.92,30013
30,16,47,38,80.85,9,19.15,30016
30,17,158,128,81.01,30,18.99,30017
30,18,164,121,73.78,43,26.22,30018
30,20,109,77,70.64,32,29.36,30020
30,21,102,76,74.51,26,25.49,30021
30,22,187,151,80.75,36,19.25,30022
30,23,123,97,78.86,26,21.14,30023
30,24,175,143,81.71,32,18.29,30024
30,25,203,167,82.27,36,17.73,30025
30,26,86,62,72.09,24,27.91,30026
30,27,85,72,84.71,13,15.29,30027
30,28,172,137,79.65,35,20.35,30028
30,29,69,59,85.51,10,14.49,30029
30,30,43,36,83.72,7,16.28,30030
30,31,83,65,78.31,18,21.69,30031
31,3,68,58,85.29,10,14.71,31003
31,8,90,78,86.67,12,13.33,31008
31,9,105,88,83.81,17,16.19,31009
31,11,72,55,76.39,17,23.61,31011
31,12,79,58,73.42,21,26.58,31012
31,14,98,78,79.59,20,20.41,31014
31,15,90,72,80.0,18,20.0,31015
31,17,15,14,93.33,1,6.67,31017
31,19,82,67,81.71,15,18.29,31019
31,25,88,68,77.27,20,22.73,31025
31,31,80,66,82.5,14,17.5,31031
31,33,76,57,75.0,19,25.0,31033
31,34,92,65,70.65,27,29.35,31034
31,35,21,20,95.24,1,4.76,31035
36,1,123,107,86.99,16,13.01,36001
36,2,100,76,76.0,24,24.0,36002
36,3,121,95,78.51,26,21.49,36003
36,4,99,79,79.8,20,20.2,36004
36,5,117,95,81.2,22,18.8,36005
36,7,174,131,75.29,43,24.71,36007
36,10,151,122,80.79,29,19.21,36010
36,14,134,109,81.34,25,18.66,36014
36,15,176,134,76.14,42,23.86,36015
36,16,153,125,81.7,28,18.3,36016
36,17,169,131,77.51,38,22.49,36017
36,18,141,107,75.89,34,24.11,36018
36,19,153,126,82.35,27,17.65,36019
36,20,132,105,79.55,27,20.45,36020
36,21,7,7,100.0,0,0.0,36021
36,23,56,47,83.93,9,16.07,36023
36,24,117,88,75.21,29,24.79,36024
36,26,109,77,70.64,32,29.36,36026
36,27,128,95,74.22,33,25.78,36027
36,28,94,71,75.53,23,24.47,36028
36,29,140,108,77.14,32,22.86,36029
36,30,121,101,83.47,20,16.53,36030
37,16,112,78,69.64,34,30.36,37016
37,24,80,60,75.0,20,25.0,37024
37,26,183,131,71.58,52,28.42,37026
38,2,150,103,68.67,47,31.33,38002
38,3,124,92,74.19,32,25.81,38003
38,4,126,100,79.37,26,20.63,38004
38,5,124,93,75.0,31,25.0,38005
38,6,106,84,79.25,22,20.75,38006
38,7,114,86,75.44,28,24.56,38007
38,8,121,93,76.86,28,23.14,38008
38,9,148,107,72.3,41,27.7,38009
38,10,109,82,75.23,27,24.77,38010
38,11,153,109,71.24,44,28.76,38011
38,12,126,91,72.22,35,27.78,38012
38,13,144,111,77.08,33,22.92,38013
38,14,154,105,68.18,49,31.82,38014
38,15,126,102,80.95,24,19.05,38015
38,16,140,100,71.43,40,28.57,38016
38,17,147,114,77.55,33,22.45,38017
38,18,146,92,63.01,54,36.99,38018
