ward,precinct,total,Mary Ann Kosiak,Mary Ann Kosiak Percent,precinct_id
39,1,212,56,26.42,39001
39,2,175,60,34.29,39002
39,4,197,60,30.46,39004
39,13,130,48,36.92,39013
39,15,185,52,28.11,39015
39,16,112,45,40.18,39016
39,18,189,53,28.04,39018
39,20,212,67,31.6,39020
39,21,160,58,36.25,39021
39,22,96,29,30.21,39022
39,23,210,64,30.48,39023
39,24,221,83,37.56,39024
39,26,154,51,33.12,39026
39,27,47,17,36.17,39027
39,32,154,48,31.17,39032
39,36,55,23,41.82,39036
39,37,231,66,28.57,39037
39,39,65,13,20.0,39039
39,40,163,54,33.13,39040
39,41,203,50,24.63,39041
39,42,239,56,23.43,39042
39,43,209,66,31.58,39043
39,44,147,30,20.41,39044
39,45,196,56,28.57,39045
40,2,182,58,31.87,40002
40,4,118,33,27.97,40004
40,9,139,32,23.02,40009
40,10,164,39,23.78,40010
40,13,347,78,22.48,40013
40,15,180,49,27.22,40015
40,16,176,34,19.32,40016
40,18,143,50,34.97,40018
40,19,137,43,31.39,40019
40,21,216,42,19.44,40021
40,22,219,53,24.2,40022
40,23,283,67,23.67,40023
40,24,114,41,35.96,40024
40,25,265,59,22.26,40025
40,26,242,65,26.86,40026
40,27,279,74,26.52,40027
40,28,257,54,21.01,40028
40,29,222,58,26.13,40029
40,30,77,16,20.78,40030
40,31,272,56,20.59,40031
40,32,280,74,26.43,40032
40,33,278,75,26.98,40033
40,35,120,45,37.5,40035
40,36,207,59,28.5,40036
40,37,207,50,24.15,40037
40,39,43,16,37.21,40039
41,19,31,12,38.71,41019
43,1,101,22,21.78,43001
43,3,179,31,17.32,43003
43,4,186,40,21.51,43004
43,7,109,30,27.52,43007
43,8,144,27,18.75,43008
43,9,219,53,24.2,43009
43,12,133,41,30.83,43012
43,13,182,67,36.81,43013
43,14,213,40,18.78,43014
43,15,162,50,30.86,43015
43,17,136,29,21.32,43017
43,19,204,41,20.1,43019
43,20,175,39,22.29,43020
43,21,174,38,21.84,43021
43,22,115,29,25.22,43022
43,24,129,42,32.56,43024
43,25,180,37,20.56,43025
43,26,142,31,21.83,43026
43,27,168,51,30.36,43027
43,29,150,31,20.67,43029
43,32,193,41,21.24,43032
43,34,160,33,20.63,43034
43,36,75,8,10.67,43036
43,37,161,50,31.06,43037
43,40,123,30,24.39,43040
43,42,188,44,23.4,43042
43,44,157,31,19.75,43044
43,45,124,30,24.19,43045
44,1,316,68,21.52,44001
44,2,194,48,24.74,44002
44,3,184,43,23.37,44003
44,4,208,48,23.08,44004
44,5,208,41,19.71,44005
44,6,241,49,20.33,44006
44,7,174,42,24.14,44007
44,8,275,75,27.27,44008
44,9,151,32,21.19,44009
44,10,155,38,24.52,44010
44,11,195,50,25.64,44011
44,12,222,49,22.07,44012
44,13,126,22,17.46,44013
44,14,148,35,23.65,44014
44,15,185,42,22.7,44015
44,16,207,45,21.74,44016
44,17,306,63,20.59,44017
44,18,185,45,24.32,44018
44,19,256,59,23.05,44019
44,20,178,37,20.79,44020
44,21,220,51,23.18,44021
44,22,260,75,28.85,44022
44,23,188,45,23.94,44023
44,24,176,31,17.61,44024
44,25,195,53,27.18,44025
44,26,203,42,20.69,44026
44,27,235,64,27.23,44027
44,28,205,54,26.34,44028
44,29,168,30,17.86,44029
44,30,205,51,24.88,44030
44,31,144,33,22.92,44031
44,32,212,54,25.47,44032
44,33,205,61,29.76,44033
44,34,227,63,27.75,44034
44,35,281,84,29.89,44035
44,36,176,30,17.05,44036
44,37,227,47,20.7,44037
44,38,142,38,26.76,44038
44,39,181,43,23.76,44039
44,40,144,34,23.61,44040
44,41,225,54,24.0,44041
45,26,36,11,30.56,45026
45,27,73,23,31.51,45027
45,35,198,81,40.91,45035
45,36,190,62,32.63,45036
45,37,170,50,29.41,45037
45,38,140,49,35.0,45038
45,39,158,55,34.81,45039
45,40,187,72,38.5,45040
45,41,154,51,33.12,45041
45,42,185,68,36.76,45042
45,43,180,78,43.33,45043
45,44,156,46,29.49,45044
45,45,95,35,36.84,45045
45,46,118,38,32.2,45046
45,47,119,35,29.41,45047
45,48,117,57,48.72,45048
46,1,175,47,26.86,46001
46,2,193,53,27.46,46002
46,3,289,76,26.3,46003
46,4,208,54,25.96,46004
46,5,199,48,24.12,46005
46,6,167,55,32.93,46006
46,7,269,69,25.65,46007
46,8,160,40,25.0,46008
46,9,243,66,27.16,46009
46,10,245,63,25.71,46010
46,11,177,42,23.73,46011
46,12,243,56,23.05,46012
46,13,200,49,24.5,46013
46,14,222,68,30.63,46014
46,15,201,55,27.36,46015
46,16,270,59,21.85,46016
46,17,260,59,22.69,46017
46,18,218,63,28.9,46018
46,19,182,42,23.08,46019
46,20,187,43,22.99,46020
46,21,130,37,28.46,46021
46,22,126,41,32.54,46022
46,23,162,50,30.86,46023
46,24,247,71,28.74,46024
46,25,185,44,23.78,46025
46,26,216,65,30.09,46026
46,27,254,65,25.59,46027
46,28,263,66,25.1,46028
46,29,188,47,25.0,46029
46,30,201,54,26.87,46030
46,31,196,46,23.47,46031
46,32,199,61,30.65,46032
46,33,242,78,32.23,46033
46,34,213,59,27.7,46034
46,35,200,63,31.5,46035
46,36,212,52,24.53,46036
46,37,171,41,23.98,46037
46,38,153,44,28.76,46038
46,39,206,58,28.16,46039
46,40,216,59,27.31,46040
47,5,209,38,18.18,47005
47,10,261,42,16.09,47010
47,15,339,77,22.71,47015
47,18,239,51,21.34,47018
47,19,292,59,20.21,47019
47,20,240,56,23.33,47020
47,22,293,50,17.06,47022
47,23,311,59,18.97,47023
47,24,222,42,18.92,47024
47,26,283,64,22.61,47026
47,28,72,14,19.44,47028
47,30,305,73,23.93,47030
47,31,212,46,21.7,47031
47,32,304,51,16.78,47032
47,33,57,14,24.56,47033
47,34,268,52,19.4,47034
47,36,293,46,15.7,47036
47,38,249,55,22.09,47038
47,41,296,75,25.34,47041
47,42,178,47,26.4,47042
47,44,171,40,23.39,47044
47,45,265,48,18.11,47045
48,1,234,44,18.8,48001
48,2,147,23,15.65,48002
48,3,253,67,26.48,48003
48,4,223,66,29.6,48004
48,5,171,37,21.64,48005
48,6,291,68,23.37,48006
48,7,272,59,21.69,48007
48,8,146,30,20.55,48008
48,9,158,45,28.48,48009
48,10,349,76,21.78,48010
48,11,246,38,15.45,48011
48,12,304,75,24.67,48012
48,13,306,86,28.1,48013
48,14,137,43,31.39,48014
48,15,126,28,22.22,48015
48,16,242,77,31.82,48016
48,17,249,65,26.1,48017
48,18,186,67,36.02,48018
48,19,231,47,20.35,48019
48,20,310,64,20.65,48020
48,21,263,84,31.94,48021
48,22,276,66,23.91,48022
48,23,268,75,27.99,48023
48,24,230,68,29.57,48024
48,25,277,69,24.91,48025
48,26,108,35,32.41,48026
48,27,244,72,29.51,48027
48,28,259,92,35.52,48028
48,29,164,49,29.88,48029
48,30,244,42,17.21,48030
48,31,255,83,32.55,48031
48,32,218,68,31.19,48032
48,33,169,43,25.44,48033
48,34,210,45,21.43,48034
48,35,157,50,31.85,48035
48,36,164,36,21.95,48036
48,37,247,62,25.1,48037
48,38,320,61,19.06,48038
48,39,213,67,31.46,48039
48,40,239,62,25.94,48040
48,41,239,60,25.1,48041
48,42,331,87,26.28,48042
48,43,244,69,28.28,48043
48,44,314,78,24.84,48044
48,45,193,46,23.83,48045
48,46,153,41,26.8,48046
49,2,164,32,19.51,49002
49,4,282,67,23.76,49004
49,18,317,84,26.5,49018
49,28,294,64,21.77,49028
50,17,107,40,37.38,50017
50,23,91,38,41.76,50023
50,24,109,41,37.61,50024
50,25,127,48,37.8,50025
50,26,133,54,40.6,50026
50,29,94,35,37.23,50029
50,30,108,35,32.41,50030
50,31,145,50,34.48,50031
50,32,139,43,30.94,50032
50,39,75,29,38.67,50039
