ward,precinct,total,Arthur Noah Siegel,Arthur Noah Siegel Percent,precinct_id
40,28,273,31,11.36,40028
40,37,4,0,0.0,40037
48,1,262,32,12.21,48001
48,2,153,18,11.76,48002
48,3,272,47,17.28,48003
48,5,190,18,9.47,48005
48,6,298,38,12.75,48006
48,7,291,21,7.22,48007
48,8,160,21,13.13,48008
48,9,162,30,18.52,48009
48,10,398,34,8.54,48010
48,11,266,20,7.52,48011
48,12,320,33,10.31,48012
48,13,334,59,17.66,48013
48,14,128,25,19.53,48014
48,15,138,25,18.12,48015
48,16,259,38,14.67,48016
48,18,199,37,18.59,48018
48,19,255,40,15.69,48019
48,20,111,14,12.61,48020
48,21,0,0,0.0,48021
48,22,284,50,17.61,48022
48,25,302,39,12.91,48025
48,26,109,18,16.51,48026
48,27,260,43,16.54,48027
48,28,262,59,22.52,48028
48,29,173,35,20.23,48029
48,30,270,23,8.52,48030
48,31,272,62,22.79,48031
48,32,243,42,17.28,48032
48,33,181,37,20.44,48033
48,34,230,27,11.74,48034
48,36,184,30,16.3,48036
48,37,267,37,13.86,48037
48,38,299,26,8.7,48038
48,39,228,31,13.6,48039
48,40,260,40,15.38,48040
48,41,268,43,16.04,48041
48,42,354,45,12.71,48042
48,43,265,55,20.75,48043
48,44,336,42,12.5,48044
48,45,214,22,10.28,48045
48,46,171,30,17.54,48046
49,1,150,25,16.67,49001
49,2,170,18,10.59,49002
49,3,288,30,10.42,49003
49,4,313,36,11.5,49004
49,5,309,51,16.5,49005
49,6,236,29,12.29,49006
49,7,244,28,11.48,49007
49,8,186,36,19.35,49008
49,9,259,26,10.04,49009
49,10,292,49,16.78,49010
49,11,344,26,7.56,49011
49,12,367,31,8.45,49012
49,13,321,34,10.59,49013
49,14,229,49,21.4,49014
49,15,181,30,16.57,49015
49,16,275,48,17.45,49016
49,17,140,25,17.86,49017
49,18,344,49,14.24,49018
49,19,191,38,19.9,49019
49,20,399,47,11.78,49020
49,21,137,27,19.71,49021
49,22,285,56,19.65,49022
49,23,323,42,13.0,49023
49,24,181,35,19.34,49024
49,25,331,39,11.78,49025
49,26,291,37,12.71,49026
49,27,271,39,14.39,49027
49,28,322,46,14.29,49028
49,29,333,38,11.41,49029
49,30,310,51,16.45,49030
49,31,216,29,13.43,49031
49,32,254,31,12.2,49032
49,33,214,31,14.49,49033
50,8,132,17,12.88,50008
50,28,0,0,0.0,50028
