ward,precinct,total,Silvana Tabares,Silvana Tabares Percent,precinct_id
12,2,129,129,100.0,12002
12,6,144,144,100.0,12006
12,7,135,135,100.0,12007
12,10,145,145,100.0,12010
12,11,161,161,100.0,12011
12,12,158,158,100.0,12012
12,13,33,33,100.0,12013
12,14,147,147,100.0,12014
12,15,147,147,100.0,12015
12,16,112,112,100.0,12016
12,17,97,97,100.0,12017
12,18,103,103,100.0,12018
12,20,181,181,100.0,12020
12,22,119,119,100.0,12022
14,1,19,19,100.0,14001
15,6,125,125,100.0,15006
15,9,0,0,0.0,15009
15,10,87,87,100.0,15010
15,11,80,80,100.0,15011
15,12,3,3,100.0,15012
22,4,44,44,100.0,22004
22,5,4,4,100.0,22005
22,7,13,13,100.0,22007
22,10,187,187,100.0,22010
22,13,83,83,100.0,22013
22,14,122,122,100.0,22014
22,15,90,90,100.0,22015
22,16,105,105,100.0,22016
22,17,20,20,100.0,22017
22,18,59,59,100.0,22018
22,19,21,21,100.0,22019
22,22,117,117,100.0,22022
23,1,62,62,100.0,23001
23,12,166,166,100.0,23012
23,16,187,187,100.0,23016
23,21,169,169,100.0,23021
23,27,160,160,100.0,23027
23,36,151,151,100.0,23036
23,37,109,109,100.0,23037
24,16,159,159,100.0,24016
