ward,precinct,total,Bill Cunningham,Bill Cunningham Percent,precinct_id
17,18,4,4,100.0,17018
18,9,129,129,100.0,18009
18,19,11,11,100.0,18019
18,26,61,61,100.0,18026
18,32,181,181,100.0,18032
18,34,226,226,100.0,18034
19,1,233,233,100.0,19001
19,2,335,335,100.0,19002
19,3,136,136,100.0,19003
19,4,250,250,100.0,19004
19,5,303,303,100.0,19005
19,6,221,221,100.0,19006
19,7,230,230,100.0,19007
19,8,195,195,100.0,19008
19,9,182,182,100.0,19009
19,10,323,323,100.0,19010
19,11,186,186,100.0,19011
19,12,169,169,100.0,19012
19,13,311,311,100.0,19013
19,15,234,234,100.0,19015
19,16,229,229,100.0,19016
19,17,199,199,100.0,19017
19,18,234,234,100.0,19018
19,19,313,313,100.0,19019
19,21,173,173,100.0,19021
19,22,261,261,100.0,19022
19,23,244,244,100.0,19023
19,24,167,167,100.0,19024
19,25,242,242,100.0,19025
19,26,247,247,100.0,19026
19,27,245,245,100.0,19027
19,28,271,271,100.0,19028
19,29,183,183,100.0,19029
19,30,176,176,100.0,19030
19,32,204,204,100.0,19032
19,33,194,194,100.0,19033
19,34,227,227,100.0,19034
19,35,259,259,100.0,19035
19,36,283,283,100.0,19036
19,37,259,259,100.0,19037
19,38,219,219,100.0,19038
19,39,59,59,100.0,19039
19,41,180,180,100.0,19041
19,44,213,213,100.0,19044
19,45,248,248,100.0,19045
19,46,258,258,100.0,19046
19,50,186,186,100.0,19050
19,51,293,293,100.0,19051
19,52,200,200,100.0,19052
19,53,223,223,100.0,19053
19,54,137,137,100.0,19054
19,55,162,162,100.0,19055
19,56,269,269,100.0,19056
19,57,216,216,100.0,19057
21,1,195,195,100.0,21001
21,3,191,191,100.0,21003
21,7,194,194,100.0,21007
21,8,183,183,100.0,21008
21,9,211,211,100.0,21009
21,13,143,143,100.0,21013
21,14,233,233,100.0,21014
21,15,44,44,100.0,21015
21,16,153,153,100.0,21016
21,18,181,181,100.0,21018
21,22,50,50,100.0,21022
21,26,16,16,100.0,21026
21,29,191,191,100.0,21029
21,32,165,165,100.0,21032
21,36,36,36,100.0,21036
21,42,41,41,100.0,21042
21,48,26,26,100.0,21048
34,49,8,8,100.0,34049
