ward,precinct,total,Martin A. Sandoval,Martin A. Sandoval Percent,precinct_id
12,2,125,125,100.0,12002
12,6,146,146,100.0,12006
12,7,127,127,100.0,12007
12,10,144,144,100.0,12010
12,11,150,150,100.0,12011
12,12,148,148,100.0,12012
12,13,32,32,100.0,12013
12,14,138,138,100.0,12014
12,15,139,139,100.0,12015
12,16,106,106,100.0,12016
12,17,95,95,100.0,12017
12,18,100,100,100.0,12018
12,20,170,170,100.0,12020
12,22,117,117,100.0,12022
13,1,154,154,100.0,13001
13,2,172,172,100.0,13002
13,3,140,140,100.0,13003
13,4,173,173,100.0,13004
13,5,208,208,100.0,13005
13,6,186,186,100.0,13006
13,7,129,129,100.0,13007
13,8,138,138,100.0,13008
13,9,146,146,100.0,13009
13,10,156,156,100.0,13010
13,11,197,197,100.0,13011
13,12,141,141,100.0,13012
13,13,172,172,100.0,13013
13,14,146,146,100.0,13014
13,15,274,274,100.0,13015
13,16,104,104,100.0,13016
13,17,154,154,100.0,13017
13,18,141,141,100.0,13018
13,19,131,131,100.0,13019
13,20,108,108,100.0,13020
13,21,175,175,100.0,13021
13,22,183,183,100.0,13022
13,23,122,122,100.0,13023
13,24,177,177,100.0,13024
13,25,154,154,100.0,13025
13,26,148,148,100.0,13026
13,27,174,174,100.0,13027
13,28,133,133,100.0,13028
13,29,129,129,100.0,13029
13,30,138,138,100.0,13030
13,31,188,188,100.0,13031
13,32,139,139,100.0,13032
13,33,195,195,100.0,13033
13,34,230,230,100.0,13034
13,35,176,176,100.0,13035
13,36,99,99,100.0,13036
13,37,204,204,100.0,13037
13,38,152,152,100.0,13038
13,39,169,169,100.0,13039
13,40,174,174,100.0,13040
13,41,162,162,100.0,13041
13,42,178,178,100.0,13042
13,43,198,198,100.0,13043
13,44,197,197,100.0,13044
13,45,173,173,100.0,13045
13,46,200,200,100.0,13046
13,47,168,168,100.0,13047
13,48,180,180,100.0,13048
14,1,18,18,100.0,14001
14,3,123,123,100.0,14003
14,6,16,16,100.0,14006
14,10,0,0,0.0,14010
14,11,77,77,100.0,14011
14,15,169,169,100.0,14015
14,18,75,75,100.0,14018
14,22,154,154,100.0,14022
14,23,32,32,100.0,14023
15,6,133,133,100.0,15006
15,9,0,0,0.0,15009
15,10,81,81,100.0,15010
15,11,72,72,100.0,15011
15,12,3,3,100.0,15012
18,15,188,188,100.0,18015
18,43,104,104,100.0,18043
18,46,132,132,100.0,18046
22,4,41,41,100.0,22004
22,5,4,4,100.0,22005
22,7,12,12,100.0,22007
22,10,176,176,100.0,22010
22,13,81,81,100.0,22013
22,14,135,135,100.0,22014
22,15,83,83,100.0,22015
22,16,103,103,100.0,22016
22,17,18,18,100.0,22017
22,18,57,57,100.0,22018
22,19,22,22,100.0,22019
22,22,112,112,100.0,22022
23,1,168,168,100.0,23001
23,2,147,147,100.0,23002
23,4,187,187,100.0,23004
23,5,161,161,100.0,23005
23,6,30,30,100.0,23006
23,7,136,136,100.0,23007
23,8,193,193,100.0,23008
23,9,149,149,100.0,23009
23,10,180,180,100.0,23010
23,11,164,164,100.0,23011
23,12,151,151,100.0,23012
23,13,128,128,100.0,23013
23,14,10,10,100.0,23014
23,15,133,133,100.0,23015
23,16,186,186,100.0,23016
23,17,31,31,100.0,23017
23,18,134,134,100.0,23018
23,20,82,82,100.0,23020
23,21,181,181,100.0,23021
23,22,91,91,100.0,23022
23,23,158,158,100.0,23023
23,24,47,47,100.0,23024
23,25,32,32,100.0,23025
23,26,152,152,100.0,23026
23,27,158,158,100.0,23027
23,28,153,153,100.0,23028
23,29,143,143,100.0,23029
23,30,171,171,100.0,23030
23,32,142,142,100.0,23032
23,33,151,151,100.0,23033
23,34,151,151,100.0,23034
23,35,104,104,100.0,23035
23,36,156,156,100.0,23036
23,37,110,110,100.0,23037
23,38,125,125,100.0,23038
23,39,147,147,100.0,23039
24,16,165,165,100.0,24016
