ward,precinct,total,Marcelino Garcia,Marcelino Garcia Percent,Debra Shore,Debra Shore Percent,Kari K. Steele,Kari K. Steele Percent,Martin J. Durkan,Martin J. Durkan Percent,precinct_id
1,1,388,111,28.61,106,27.32,112,28.87,59,15.21,01001
1,2,277,82,29.6,94,33.94,66,23.83,35,12.64,01002
1,3,434,95,21.89,159,36.64,120,27.65,60,13.82,01003
1,4,404,102,25.25,133,32.92,108,26.73,61,15.1,01004
1,5,375,73,19.47,137,36.53,108,28.8,57,15.2,01005
1,6,334,94,28.14,90,26.95,91,27.25,59,17.66,01006
1,7,273,74,27.11,88,32.23,72,26.37,39,14.29,01007
1,8,317,85,26.81,97,30.6,81,25.55,54,17.03,01008
1,9,329,105,31.91,97,29.48,76,23.1,51,15.5,01009
1,10,364,86,23.63,121,33.24,103,28.3,54,14.84,01010
1,11,436,82,18.81,148,33.94,139,31.88,67,15.37,01011
1,12,482,105,21.78,156,32.37,151,31.33,70,14.52,01012
1,13,200,51,25.5,57,28.5,61,30.5,31,15.5,01013
1,14,380,95,25.0,119,31.32,113,29.74,53,13.95,01014
1,15,333,79,23.72,99,29.73,96,28.83,59,17.72,01015
1,16,443,109,24.6,140,31.6,122,27.54,72,16.25,01016
1,17,368,97,26.36,120,32.61,103,27.99,48,13.04,01017
1,18,382,110,28.8,122,31.94,96,25.13,54,14.14,01018
1,19,420,96,22.86,150,35.71,115,27.38,59,14.05,01019
1,20,319,74,23.2,110,34.48,85,26.65,50,15.67,01020
1,21,383,86,22.45,132,34.46,110,28.72,55,14.36,01021
1,22,274,79,28.83,87,31.75,79,28.83,29,10.58,01022
1,23,589,113,19.19,208,35.31,170,28.86,98,16.64,01023
1,24,339,94,27.73,99,29.2,92,27.14,54,15.93,01024
1,25,366,96,26.23,117,31.97,106,28.96,47,12.84,01025
1,26,219,70,31.96,66,30.14,53,24.2,30,13.7,01026
1,27,373,95,25.47,124,33.24,108,28.95,46,12.33,01027
1,28,103,49,47.57,19,18.45,18,17.48,17,16.5,01028
1,29,434,101,23.27,146,33.64,133,30.65,54,12.44,01029
1,30,419,122,29.12,128,30.55,107,25.54,62,14.8,01030
1,31,386,129,33.42,109,28.24,94,24.35,54,13.99,01031
1,32,343,86,25.07,110,32.07,96,27.99,51,14.87,01032
1,33,420,100,23.81,128,30.48,125,29.76,67,15.95,01033
1,34,371,91,24.53,127,34.23,106,28.57,47,12.67,01034
1,35,426,106,24.88,144,33.8,108,25.35,68,15.96,01035
1,36,365,78,21.37,122,33.42,109,29.86,56,15.34,01036
1,37,384,77,20.05,114,29.69,119,30.99,74,19.27,01037
1,38,315,88,27.94,97,30.79,80,25.4,50,15.87,01038
1,39,313,93,29.71,95,30.35,80,25.56,45,14.38,01039
1,40,359,96,26.74,100,27.86,99,27.58,64,17.83,01040
1,41,259,52,20.08,91,35.14,76,29.34,40,15.44,01041
1,42,110,36,32.73,32,29.09,29,26.36,13,11.82,01042
