ward,precinct,total,Thaddeus Jones,Thaddeus Jones Percent,Corean Davis,Corean Davis Percent,precinct_id
9,3,128,76,59.38,52,40.63,09003
9,4,122,78,63.93,44,36.07,09004
9,7,151,86,56.95,65,43.05,09007
9,11,148,102,68.92,46,31.08,09011
9,15,123,77,62.6,46,37.4,09015
9,16,190,127,66.84,63,33.16,09016
9,18,141,95,67.38,46,32.62,09018
9,26,151,79,52.32,72,47.68,09026
9,28,91,58,63.74,33,36.26,09028
9,31,5,1,20.0,4,80.0,09031
9,33,141,92,65.25,49,34.75,09033
9,41,160,109,68.13,51,31.88,09041
9,44,158,95,60.13,63,39.87,09044
9,45,150,109,72.67,41,27.33,09045
