ward,precinct,total,Michelle A. Harris,Michelle A. Harris Percent,precinct_id
3,2,27,27,100.0,03002
3,4,133,133,100.0,03004
3,7,176,176,100.0,03007
3,12,21,21,100.0,03012
3,18,117,117,100.0,03018
3,23,27,27,100.0,03023
3,29,0,0,0.0,03029
3,30,96,96,100.0,03030
3,31,15,15,100.0,03031
3,35,71,71,100.0,03035
3,38,236,236,100.0,03038
3,41,203,203,100.0,03041
4,1,312,312,100.0,04001
4,3,181,181,100.0,04003
4,4,33,33,100.0,04004
4,8,261,261,100.0,04008
4,9,320,320,100.0,04009
4,11,89,89,100.0,04011
4,12,260,260,100.0,04012
4,14,219,219,100.0,04014
4,15,207,207,100.0,04015
4,18,236,236,100.0,04018
4,19,142,142,100.0,04019
4,22,228,228,100.0,04022
4,23,347,347,100.0,04023
4,24,212,212,100.0,04024
4,26,200,200,100.0,04026
4,27,291,291,100.0,04027
4,28,63,63,100.0,04028
4,29,141,141,100.0,04029
4,30,219,219,100.0,04030
4,31,309,309,100.0,04031
4,32,250,250,100.0,04032
4,33,239,239,100.0,04033
4,36,144,144,100.0,04036
4,38,286,286,100.0,04038
5,2,134,134,100.0,05002
5,3,206,206,100.0,05003
5,4,267,267,100.0,05004
5,5,185,185,100.0,05005
5,7,236,236,100.0,05007
5,8,239,239,100.0,05008
5,9,287,287,100.0,05009
5,10,127,127,100.0,05010
5,11,101,101,100.0,05011
5,12,144,144,100.0,05012
5,13,161,161,100.0,05013
5,15,191,191,100.0,05015
5,16,176,176,100.0,05016
5,17,165,165,100.0,05017
5,18,136,136,100.0,05018
5,19,247,247,100.0,05019
5,20,276,276,100.0,05020
5,21,227,227,100.0,05021
5,22,298,298,100.0,05022
5,24,247,247,100.0,05024
5,25,52,52,100.0,05025
5,27,186,186,100.0,05027
5,30,148,148,100.0,05030
5,33,225,225,100.0,05033
5,34,228,228,100.0,05034
5,35,224,224,100.0,05035
5,39,198,198,100.0,05039
6,1,231,231,100.0,06001
6,2,201,201,100.0,06002
6,3,215,215,100.0,06003
6,4,112,112,100.0,06004
6,5,87,87,100.0,06005
6,6,206,206,100.0,06006
6,7,184,184,100.0,06007
6,8,190,190,100.0,06008
