ward,precinct,total,"Marcus C. Evans, Jr.","Marcus C. Evans, Jr. Percent",precinct_id
7,26,171,171,100.0,07026
7,27,160,160,100.0,07027
7,28,96,96,100.0,07028
7,29,153,153,100.0,07029
7,30,103,103,100.0,07030
7,32,142,142,100.0,07032
7,36,253,253,100.0,07036
7,37,18,18,100.0,07037
7,38,160,160,100.0,07038
7,39,165,165,100.0,07039
7,40,160,160,100.0,07040
7,41,168,168,100.0,07041
7,42,177,177,100.0,07042
7,43,182,182,100.0,07043
7,44,137,137,100.0,07044
7,45,134,134,100.0,07045
8,3,270,270,100.0,08003
8,4,255,255,100.0,08004
8,5,255,255,100.0,08005
8,6,217,217,100.0,08006
8,7,252,252,100.0,08007
8,8,243,243,100.0,08008
8,10,312,312,100.0,08010
8,11,182,182,100.0,08011
8,12,165,165,100.0,08012
8,14,102,102,100.0,08014
8,15,151,151,100.0,08015
8,17,206,206,100.0,08017
8,18,128,128,100.0,08018
8,19,267,267,100.0,08019
8,23,169,169,100.0,08023
8,24,148,148,100.0,08024
8,25,173,173,100.0,08025
8,27,248,248,100.0,08027
8,29,250,250,100.0,08029
8,30,205,205,100.0,08030
8,33,200,200,100.0,08033
8,35,232,232,100.0,08035
8,36,240,240,100.0,08036
8,37,200,200,100.0,08037
8,38,112,112,100.0,08038
8,40,163,163,100.0,08040
8,41,197,197,100.0,08041
8,44,128,128,100.0,08044
8,45,98,98,100.0,08045
8,46,158,158,100.0,08046
8,48,165,165,100.0,08048
8,49,188,188,100.0,08049
8,50,236,236,100.0,08050
8,51,238,238,100.0,08051
8,52,290,290,100.0,08052
8,53,109,109,100.0,08053
8,54,12,12,100.0,08054
8,56,239,239,100.0,08056
10,2,142,142,100.0,10002
10,3,122,122,100.0,10003
10,5,96,96,100.0,10005
10,9,106,106,100.0,10009
10,13,122,122,100.0,10013
10,14,0,0,0.0,10014
10,15,360,360,100.0,10015
10,16,92,92,100.0,10016
10,17,169,169,100.0,10017
10,21,1,1,100.0,10021
10,23,0,0,0.0,10023
10,24,102,102,100.0,10024
10,27,6,6,100.0,10027
10,33,0,0,0.0,10033
