ward,precinct,total,Patrick Thomas Stanton,Patrick Thomas Stanton Percent,Michael Hayes,Michael Hayes Percent,Kevin Patrick Cunningham,Kevin Patrick Cunningham Percent,precinct_id
13,1,166,63,37.95,40,24.1,63,37.95,13001
13,2,181,44,24.31,46,25.41,91,50.28,13002
13,3,142,40,28.17,62,43.66,40,28.17,13003
13,4,181,35,19.34,55,30.39,91,50.28,13004
13,5,202,51,25.25,79,39.11,72,35.64,13005
13,6,206,37,17.96,82,39.81,87,42.23,13006
13,7,123,25,20.33,35,28.46,63,51.22,13007
13,8,143,59,41.26,35,24.48,49,34.27,13008
13,9,146,31,21.23,49,33.56,66,45.21,13009
13,10,188,60,31.91,77,40.96,51,27.13,13010
13,11,204,62,30.39,59,28.92,83,40.69,13011
13,12,149,50,33.56,51,34.23,48,32.21,13012
13,13,199,31,15.58,38,19.1,130,65.33,13013
13,14,137,33,24.09,35,25.55,69,50.36,13014
13,15,282,68,24.11,84,29.79,130,46.1,13015
13,16,107,25,23.36,26,24.3,56,52.34,13016
13,17,163,31,19.02,51,31.29,81,49.69,13017
13,18,143,34,23.78,53,37.06,56,39.16,13018
13,19,151,70,46.36,36,23.84,45,29.8,13019
13,20,121,16,13.22,26,21.49,79,65.29,13020
13,21,196,49,25.0,61,31.12,86,43.88,13021
13,22,192,45,23.44,61,31.77,86,44.79,13022
13,23,133,28,21.05,37,27.82,68,51.13,13023
13,24,176,46,26.14,52,29.55,78,44.32,13024
13,25,159,47,29.56,53,33.33,59,37.11,13025
13,26,163,29,17.79,38,23.31,96,58.9,13026
13,27,178,47,26.4,41,23.03,90,50.56,13027
13,28,146,34,23.29,47,32.19,65,44.52,13028
13,29,135,17,12.59,48,35.56,70,51.85,13029
13,30,160,40,25.0,44,27.5,76,47.5,13030
13,31,197,49,24.87,54,27.41,94,47.72,13031
13,32,156,35,22.44,38,24.36,83,53.21,13032
13,33,198,60,30.3,46,23.23,92,46.46,13033
13,34,279,40,14.34,47,16.85,192,68.82,13034
13,35,194,52,26.8,46,23.71,96,49.48,13035
13,36,107,29,27.1,39,36.45,39,36.45,13036
13,37,234,47,20.09,79,33.76,108,46.15,13037
13,38,173,39,22.54,60,34.68,74,42.77,13038
13,39,184,34,18.48,64,34.78,86,46.74,13039
13,40,172,47,27.33,52,30.23,73,42.44,13040
13,41,190,79,41.58,43,22.63,68,35.79,13041
13,42,185,33,17.84,60,32.43,92,49.73,13042
13,43,211,50,23.7,47,22.27,114,54.03,13043
13,44,219,31,14.16,35,15.98,153,69.86,13044
13,45,243,44,18.11,70,28.81,129,53.09,13045
13,46,203,42,20.69,60,29.56,101,49.75,13046
13,47,172,41,23.84,51,29.65,80,46.51,13047
13,48,188,36,19.15,67,35.64,85,45.21,13048
14,1,229,39,17.03,100,43.67,90,39.3,14001
14,2,220,64,29.09,70,31.82,86,39.09,14002
14,3,136,32,23.53,60,44.12,44,32.35,14003
14,4,220,69,31.36,43,19.55,108,49.09,14004
14,7,177,54,30.51,77,43.5,46,25.99,14007
14,8,169,49,28.99,81,47.93,39,23.08,14008
14,9,226,47,20.8,98,43.36,81,35.84,14009
14,12,194,66,34.02,70,36.08,58,29.9,14012
14,13,163,41,25.15,55,33.74,67,41.1,14013
14,18,86,17,19.77,36,41.86,33,38.37,14018
14,22,219,63,28.77,82,37.44,74,33.79,14022
14,23,142,39,27.46,47,33.1,56,39.44,14023
14,24,262,84,32.06,64,24.43,114,43.51,14024
14,27,155,40,25.81,64,41.29,51,32.9,14027
14,28,125,34,27.2,52,41.6,39,31.2,14028
15,22,44,14,31.82,20,45.45,10,22.73,15022
16,29,4,1,25.0,3,75.0,0,0.0,16029
17,1,138,54,39.13,59,42.75,25,18.12,17001
17,3,152,44,28.95,76,50.0,32,21.05,17003
17,8,102,21,20.59,54,52.94,27,26.47,17008
17,11,110,44,40.0,44,40.0,22,20.0,17011
17,12,61,21,34.43,33,54.1,7,11.48,17012
17,14,86,31,36.05,43,50.0,12,13.95,17014
17,17,144,48,33.33,67,46.53,29,20.14,17017
17,19,51,10,19.61,33,64.71,8,15.69,17019
17,25,16,5,31.25,7,43.75,4,25.0,17025
17,30,99,25,25.25,45,45.45,29,29.29,17030
17,31,84,34,40.48,40,47.62,10,11.9,17031
17,32,111,26,23.42,53,47.75,32,28.83,17032
17,33,90,29,32.22,36,40.0,25,27.78,17033
17,34,117,35,29.91,56,47.86,26,22.22,17034
17,35,73,30,41.1,32,43.84,11,15.07,17035
17,36,94,30,31.91,38,40.43,26,27.66,17036
17,37,139,42,30.22,61,43.88,36,25.9,17037
17,40,0,0,0.0,0,0.0,0,0.0,17040
18,1,133,45,33.83,51,38.35,37,27.82,18001
18,2,126,30,23.81,57,45.24,39,30.95,18002
18,3,125,29,23.2,51,40.8,45,36.0,18003
18,4,227,75,33.04,97,42.73,55,24.23,18004
18,5,111,30,27.03,57,51.35,24,21.62,18005
18,6,153,41,26.8,59,38.56,53,34.64,18006
18,7,160,39,24.38,75,46.88,46,28.75,18007
18,8,188,58,30.85,88,46.81,42,22.34,18008
18,9,226,84,37.17,93,41.15,49,21.68,18009
18,10,269,64,23.79,130,48.33,75,27.88,18010
18,11,138,44,31.88,66,47.83,28,20.29,18011
18,12,173,43,24.86,77,44.51,53,30.64,18012
18,13,194,37,19.07,90,46.39,67,34.54,18013
18,14,190,63,33.16,84,44.21,43,22.63,18014
