ward,precinct,total,Kimberly Neely Dubuclet,Kimberly Neely Dubuclet Percent,precinct_id
1,1,174,174,100.0,01001
1,2,142,142,100.0,01002
1,3,192,192,100.0,01003
1,4,179,179,100.0,01004
1,5,153,153,100.0,01005
1,6,145,145,100.0,01006
1,7,119,119,100.0,01007
1,8,143,143,100.0,01008
1,9,150,150,100.0,01009
1,10,156,156,100.0,01010
1,11,165,165,100.0,01011
1,12,202,202,100.0,01012
1,13,82,82,100.0,01013
1,14,163,163,100.0,01014
1,15,158,158,100.0,01015
1,16,184,184,100.0,01016
1,17,160,160,100.0,01017
1,18,190,190,100.0,01018
1,19,189,189,100.0,01019
1,20,135,135,100.0,01020
1,21,159,159,100.0,01021
1,22,123,123,100.0,01022
1,23,252,252,100.0,01023
1,24,146,146,100.0,01024
1,25,151,151,100.0,01025
1,26,107,107,100.0,01026
1,27,176,176,100.0,01027
1,28,56,56,100.0,01028
1,29,189,189,100.0,01029
1,30,181,181,100.0,01030
1,31,191,191,100.0,01031
1,32,153,153,100.0,01032
1,33,163,163,100.0,01033
1,34,154,154,100.0,01034
1,35,193,193,100.0,01035
1,36,140,140,100.0,01036
1,37,168,168,100.0,01037
1,38,152,152,100.0,01038
1,39,143,143,100.0,01039
1,40,180,180,100.0,01040
1,41,111,111,100.0,01041
1,42,47,47,100.0,01042
1,43,97,97,100.0,01043
1,44,173,173,100.0,01044
2,1,167,167,100.0,02001
2,2,134,134,100.0,02002
2,3,194,194,100.0,02003
2,4,129,129,100.0,02004
2,5,174,174,100.0,02005
2,6,140,140,100.0,02006
2,7,150,150,100.0,02007
2,8,162,162,100.0,02008
2,9,101,101,100.0,02009
2,10,132,132,100.0,02010
2,11,160,160,100.0,02011
2,12,167,167,100.0,02012
2,13,143,143,100.0,02013
2,14,176,176,100.0,02014
2,15,163,163,100.0,02015
2,16,147,147,100.0,02016
2,17,204,204,100.0,02017
2,18,145,145,100.0,02018
2,19,103,103,100.0,02019
2,20,124,124,100.0,02020
2,21,177,177,100.0,02021
2,22,144,144,100.0,02022
2,23,107,107,100.0,02023
2,24,148,148,100.0,02024
2,25,166,166,100.0,02025
2,26,99,99,100.0,02026
2,27,127,127,100.0,02027
2,28,137,137,100.0,02028
2,29,153,153,100.0,02029
2,30,117,117,100.0,02030
2,31,180,180,100.0,02031
2,32,109,109,100.0,02032
2,33,251,251,100.0,02033
2,34,169,169,100.0,02034
2,35,129,129,100.0,02035
2,36,135,135,100.0,02036
2,37,130,130,100.0,02037
2,38,115,115,100.0,02038
2,39,94,94,100.0,02039
2,40,164,164,100.0,02040
2,41,106,106,100.0,02041
2,42,128,128,100.0,02042
2,43,150,150,100.0,02043
2,44,94,94,100.0,02044
2,45,179,179,100.0,02045
2,46,78,78,100.0,02046
3,1,280,280,100.0,03001
3,2,323,323,100.0,03002
3,3,167,167,100.0,03003
3,4,240,240,100.0,03004
3,5,123,123,100.0,03005
3,6,212,212,100.0,03006
3,7,178,178,100.0,03007
3,8,154,154,100.0,03008
3,9,217,217,100.0,03009
3,10,103,103,100.0,03010
3,11,213,213,100.0,03011
3,12,278,278,100.0,03012
3,13,234,234,100.0,03013
3,14,181,181,100.0,03014
3,15,198,198,100.0,03015
3,16,190,190,100.0,03016
3,17,215,215,100.0,03017
3,18,263,263,100.0,03018
3,19,181,181,100.0,03019
3,20,208,208,100.0,03020
3,21,244,244,100.0,03021
3,22,203,203,100.0,03022
3,23,172,172,100.0,03023
3,24,187,187,100.0,03024
3,25,296,296,100.0,03025
3,26,263,263,100.0,03026
3,27,203,203,100.0,03027
3,28,170,170,100.0,03028
3,29,192,192,100.0,03029
3,30,202,202,100.0,03030
3,31,242,242,100.0,03031
3,32,196,196,100.0,03032
3,33,190,190,100.0,03033
3,34,242,242,100.0,03034
3,35,73,73,100.0,03035
3,36,125,125,100.0,03036
3,37,175,175,100.0,03037
3,38,239,239,100.0,03038
3,39,259,259,100.0,03039
3,40,240,240,100.0,03040
3,41,194,194,100.0,03041
4,1,291,291,100.0,04001
4,2,230,230,100.0,04002
4,3,194,194,100.0,04003
4,4,302,302,100.0,04004
